#Table Version   6
#[Z/Z_SOLAR]=-0.25 [A/Fe]= 0.0 A09      | VALID RANGE:  105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105
#Teff(K)| Pgas@  log g =-2.00   log g =-1.50   log g =-1.00   log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00   log g = 6.50   log g = 7.00   log g = 7.50   log g = 8.00   log g = 8.50   log g = 9.00   log g = 9.50   log g =10.00 
  2.0000000e+03  6.8001070e-01  1.9425738e+00  5.5493139e+00  1.5852621e+01  4.5285883e+01  1.2936733e+02  3.6956122e+02  1.0557186e+03  3.0158514e+03  8.6153260e+03  2.4611240e+04  7.0306465e+04  2.0084316e+05  5.7374487e+05  1.6390062e+06  4.6821181e+06  1.3375319e+07  3.8209021e+07  1.0915099e+08  3.1180958e+08  8.9074057e+08  2.5445618e+09  7.2690019e+09  2.0765221e+10  5.9319616e+10
  2.1000000e+03  1.6165078e+00  4.0767623e+00  1.0400481e+01  2.6812122e+01  6.9781040e+01  1.8319018e+02  4.8471936e+02  1.2918054e+03  3.4653243e+03  9.3513764e+03  2.5372184e+04  6.9179226e+04  1.8946603e+05  5.2100674e+05  1.4379546e+06  3.9818464e+06  1.1059158e+07  3.0798598e+07  8.5979656e+07  2.4055343e+08  6.7434732e+08  1.8937654e+09  5.3267445e+09  1.5004483e+10  4.2319548e+10
  2.2000000e+03  3.0877422e+00  7.2282191e+00  1.7168410e+01  4.1327708e+01  1.0072175e+02  2.4830208e+02  6.1866694e+02  1.5567985e+03  3.9538194e+03  1.0128535e+04  2.6156563e+04  6.8060720e+04  1.7835580e+05  4.7049874e+05  1.2488960e+06  3.3343831e+06  8.9507307e+06  2.4148743e+07  6.5459008e+07  1.7821138e+08  4.8713728e+08  1.3365427e+09  3.6796146e+09  1.0162242e+10  2.8146955e+10
  2.3000000e+03  5.9174210e+00  1.2884093e+01  2.8523284e+01  6.4143583e+01  1.4639683e+02  3.3882389e+02  7.9457767e+02  1.8866435e+03  4.5323296e+03  1.1008690e+04  2.7018151e+04  6.6961388e+04  1.6749612e+05  4.2264684e+05  1.0753275e+06  2.7574398e+06  7.1235569e+06  1.8533010e+07  4.8539218e+07  1.2793283e+08  3.3920497e+08  9.0445088e+08  2.4244025e+09  6.5309830e+09  1.7675295e+10
  2.4000000e+03  1.1332051e+01  2.3151025e+01  4.8070467e+01  1.0138248e+02  2.1707317e+02  4.7165195e+02  1.0395275e+03  2.3231382e+03  5.2620485e+03  1.2074735e+04  2.8056389e+04  6.5977373e+04  1.5694198e+05  3.7742900e+05  9.1718885e+05  2.2510908e+06  5.5773994e+06  1.3943766e+07  3.5160442e+07  8.9388291e+07  2.2903060e+08  5.9119914e+08  1.5369042e+09  4.0223585e+09  1.0594630e+10
  2.5000000e+03  2.0220424e+01  3.9411091e+01  7.7933390e+01  1.5625428e+02  3.1750958e+02  6.5371150e+02  1.3635338e+03  2.8812596e+03  6.1679832e+03  1.3377028e+04  2.9392152e+04  6.5423616e+04  1.4750746e+05  3.3680629e+05  7.7859290e+05  1.8216000e+06  4.3115549e+06  1.0319633e+07  2.4965909e+07  6.1021813e+07  1.5061978e+08  3.7527377e+08  9.4341027e+08  2.3920082e+09  6.1145378e+09
  2.8000000e+03  3.1548353e+01  5.9705954e+01  1.1445760e+02  2.2205983e+02  4.3570595e+02  8.6418231e+02  1.7321487e+03  3.5082980e+03  7.1808823e+03  1.4856966e+04  3.1081420e+04  6.5775636e+04  1.4086572e+05  3.0541560e+05  6.7059632e+05  1.4914467e+06  3.3602277e+06  7.6687388e+06  1.7725492e+07  4.1482888e+07  9.8259804e+07  2.3546853e+08  5.7060863e+08  1.3976037e+09  3.4582907e+09
  3.0000000e+03  4.1549607e+01  7.7629738e+01  1.4677442e+02  2.8047625e+02  5.4112208e+02  1.0530758e+03  2.0658252e+03  4.0832053e+03  8.1299976e+03  1.6306961e+04  3.2958021e+04  6.7151911e+04  1.3802142e+05  2.8639538e+05  6.0047116e+05  1.2732305e+06  2.7325645e+06  5.9400786e+06  1.3086095e+07  2.9226390e+07  6.6183113e+07  1.5194930e+08  3.5361217e+08  8.3381840e+08  1.9912676e+09
  3.2000000e+03  4.5928799e+01  8.6039134e+01  1.6299894e+02  3.1176878e+02  6.0114087e+02  1.1668904e+03  2.2777379e+03  4.4669942e+03  8.7963147e+03  1.7386786e+04  3.4495085e+04  6.8711216e+04  1.3748881e+05  2.7658545e+05  5.5997636e+05  1.1424256e+06  2.3517968e+06  4.8921884e+06  1.0297671e+07  2.1960958e+07  4.7499690e+07  1.0427700e+08  2.3245703e+08  5.2628364e+08  1.2099570e+09
  3.5000000e+03  4.3862780e+01  8.3381555e+01  1.6014288e+02  3.1010039e+02  6.0425051e+02  1.1827960e+03  2.3224763e+03  4.5691431e+03  8.9987518e+03  1.7731564e+04  3.4947373e+04  6.8897388e+04  1.3591344e+05  2.6845795e+05  5.3144325e+05  1.0557015e+06  2.1075553e+06  4.2355975e+06  8.5853539e+06  1.7585164e+07  3.6466662e+07  7.6692466e+07  1.6381124e+08  3.5574730e+08  7.8604264e+08
