#Table Version   6
#[Z/Z_SOLAR]=-1.25 [A/Fe]= 0.0 A09      | VALID RANGE:  105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105
#Teff(K)| Pgas@  log g =-2.00   log g =-1.50   log g =-1.00   log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00   log g = 6.50   log g = 7.00   log g = 7.50   log g = 8.00   log g = 8.50   log g = 9.00   log g = 9.50   log g =10.00 
  2.0000000e+03  2.5364654e+00  8.6458204e+00  2.9470227e+01  1.0045250e+02  3.4240336e+02  1.1671194e+03  3.9782545e+03  1.3560317e+04  4.6221826e+04  1.5755216e+05  5.3703383e+05  1.8305387e+06  6.2395919e+06  2.1268333e+07  7.2495446e+07  2.4710868e+08  8.4229702e+08  2.8710618e+09  9.7863289e+09  3.3357775e+10  1.1370363e+11  3.8757131e+11  1.3210793e+12  4.5030437e+12  1.5349118e+13
  2.1000000e+03  5.1678023e+00  1.5364727e+01  4.6472929e+01  1.4258026e+02  4.4282239e+02  1.3901026e+03  4.4052263e+03  1.4077598e+04  4.5323034e+04  1.4688430e+05  4.7881934e+05  1.5689734e+06  5.1647020e+06  1.7069735e+07  5.6617641e+07  1.8838018e+08  6.2851164e+08  2.1020428e+09  7.0451886e+09  2.3656731e+10  7.9566420e+10  2.6799830e+11  9.0382899e+11  3.0515947e+12  1.0313271e+13
  2.2000000e+03  9.1826694e+00  2.4730493e+01  6.8500919e+01  1.9393227e+02  5.5904122e+02  1.6368361e+03  4.8593655e+03  1.4608059e+04  4.4419732e+04  1.3649828e+05  4.2353168e+05  1.3259296e+06  4.1852390e+06  1.3310417e+07  4.2624173e+07  1.3735641e+08  4.4516489e+08  1.4502318e+09  4.7465674e+09  1.5600723e+10  5.1469028e+10  1.7037763e+11  5.6570413e+11  1.8833713e+12  6.2853029e+12
  2.3000000e+03  1.7082077e+01  4.1002209e+01  1.0287397e+02  2.6690596e+02  7.1109846e+02  1.9366177e+03  5.3749121e+03  1.5169547e+04  4.3465755e+04  1.2628339e+05  3.7163788e+05  1.1068409e+06  3.3335232e+06  1.0145328e+07  3.1180532e+07  9.6711625e+07  3.0253986e+08  9.5396499e+08  3.0301993e+09  9.6905518e+09  3.1183304e+10  1.0091593e+11  3.2827727e+11  1.0728977e+12  3.5214385e+12
  2.4000000e+03  3.3542417e+01  7.1354701e+01  1.6065809e+02  3.7829205e+02  9.2323979e+02  2.3207159e+03  5.9818301e+03  1.5761099e+04  4.2351574e+04  1.1585174e+05  3.2214961e+05  9.0952369e+05  2.6045325e+06  7.5582631e+06  2.2210174e+07  6.6040871e+07  1.9857262e+08  6.0339296e+08  1.8517903e+09  5.7363392e+09  1.7925580e+10  5.6474816e+10  1.7928098e+11  5.7316146e+11  1.8444469e+12
  2.5000000e+03  6.3897027e+01  1.2295030e+02  2.5102874e+02  5.3861382e+02  1.2044350e+03  2.7888004e+03  6.6540418e+03  1.6302731e+04  4.0908186e+04  1.0492083e+05  2.7460294e+05  7.3238024e+05  1.9880435e+06  5.4865626e+06  1.5379303e+07  4.3747710e+07  1.2618731e+08  3.6881636e+08  1.0915881e+09  3.2696730e+09  9.9062600e+09  3.0343052e+10  9.3921437e+10  2.9368297e+11  9.2750992e+11
  2.8000000e+03  1.0760319e+02  1.9338479e+02  3.6715548e+02  7.3137028e+02  1.5186431e+03  3.2689271e+03  7.2628593e+03  1.6602305e+04  3.8956119e+04  9.3666795e+04  2.3047387e+05  5.7969432e+05  1.4889387e+06  3.9015198e+06  1.0419867e+07  2.8338171e+07  7.8415196e+07  2.2060927e+08  6.3062081e+08  1.8307133e+09  5.3956066e+09  1.6142913e+10  4.9036951e+10  1.5132720e+11  4.7496841e+11
  3.0000000e+03  1.5108639e+02  2.6171804e+02  4.7579415e+02  9.0296759e+02  1.7797875e+03  3.6272847e+03  7.6170676e+03  1.6438841e+04  3.6397811e+04  8.2589058e+04  1.9192286e+05  4.5657422e+05  1.1115871e+06  2.7687768e+06  7.0531779e+06  1.8367440e+07  4.8874841e+07  1.3283829e+08  3.6868220e+08  1.0448860e+09  3.0250241e+09  8.9537526e+09  2.7136771e+10  8.4414339e+10  2.7043213e+11
  3.2000000e+03  1.7353219e+02  2.9782684e+02  5.3307521e+02  9.8999525e+02  1.8987937e+03  3.7466865e+03  7.5835651e+03  1.5714308e+04  3.3298327e+04  7.2123433e+04  1.5970618e+05  3.6173727e+05  8.3873477e+05  1.9924351e+06  4.8531679e+06  1.2129948e+07  3.1128121e+07  8.2065315e+07  2.2241729e+08  6.2026296e+08  1.7822223e+09  5.2864470e+09  1.6230411e+10  5.1752460e+10  1.7207462e+11
  3.5000000e+03  1.6646872e+02  2.8953697e+02  5.2209305e+02  9.7054978e+02  1.8511678e+03  3.6092618e+03  7.1744001e+03  1.4515551e+04  2.9870528e+04  6.2523639e+04  1.3322133e+05  2.8935270e+05  6.4181706e+05  1.4570771e+06  3.3938067e+06  8.1300884e+06  2.0079337e+07  5.1243107e+07  1.3542144e+08  3.7138367e+08  1.0592443e+09  3.1495303e+09  9.7882792e+09  3.1883387e+10  1.0913233e+11
  3.7500000e+03  1.4093597e+02  2.5235460e+02  4.6539589e+02  8.7863061e+02  1.6899887e+03  3.3000846e+03  6.5266396e+03  1.3054579e+04  2.6393946e+04  5.3952722e+04  1.1161206e+05  2.3406385e+05  4.9880858e+05  1.0835986e+06  2.4086926e+06  5.5023781e+06  1.2977860e+07  3.1754236e+07  8.0968420e+07  2.1602683e+08  6.0514150e+08  1.7845421e+09  5.5508916e+09  1.8234645e+10  6.3292014e+10
  4.0000000e+03  1.1201518e+02  2.0810603e+02  3.9510060e+02  7.6211211e+02  1.4871993e+03  2.9272629e+03  5.8001379e+03  1.1555654e+04  2.3137996e+04  4.6569475e+04  9.4289686e+04  1.9233235e+05  3.9613241e+05  8.2641012e+05  1.7536369e+06  3.8053584e+06  8.4994078e+06  1.9685991e+07  4.7657855e+07  1.2150656e+08  3.2829860e+08  9.4396789e+08  2.8936162e+09  9.4527542e+09  3.2844984e+10
  4.2500000e+03  8.6905495e+01  1.6758759e+02  3.2763042e+02  6.4624945e+02  1.2818501e+03  2.5508990e+03  5.0850581e+03  1.0144385e+04  2.0242904e+04  4.0403637e+04  8.0695902e+04  1.6142720e+05  3.2395738e+05  6.5379162e+05  1.3315663e+06  2.7505167e+06  5.8014368e+06  1.2605961e+07  2.8527515e+07  6.8057066e+07  1.7317371e+08  4.7420053e+08  1.4033032e+09  4.4843208e+09  1.5403745e+10
  4.5000000e+03  6.5975526e+01  1.3169932e+02  2.6481601e+02  5.3442903e+02  1.0797230e+03  2.1798067e+03  4.3917322e+03  8.8219169e+03  1.7657807e+04  3.5206801e+04  6.9926244e+04  1.3840333e+05  2.7322283e+05  5.3875802e+05  1.0636464e+06  2.1100384e+06  4.2287968e+06  8.6301586e+06  1.8137482e+07  3.9845861e+07  9.3144685e+07  2.3578125e+08  6.5434363e+08  1.9974898e+09  6.6700131e+09
  4.7500000e+03  4.8204079e+01  9.9463946e+01  2.0581800e+02  4.2589005e+02  8.7940490e+02  1.8090536e+03  3.7028095e+03  7.5334543e+03  1.5223282e+04  3.0537962e+04  6.0793485e+04  1.2009925e+05  2.3550928e+05  4.5872955e+05  8.8864968e+05  1.7156888e+06  3.3124502e+06  6.4300064e+06  1.2657424e+07  2.5603801e+07  5.4258873e+07  1.2349825e+08  3.0976162e+08  8.7099701e+08  2.7488050e+09
  5.0000000e+03  3.3564949e+01  7.1613943e+01  1.5274674e+02  3.2489089e+02  6.8778646e+02  1.4469085e+03  3.0209529e+03  6.2532811e+03  1.2822369e+04  2.6028142e+04  5.2279578e+04  1.0387665e+05  2.0416242e+05  3.9700000e+05  7.6416975e+05  1.4574872e+06  2.7591706e+06  5.1995458e+06  9.8014362e+06  1.8637026e+07  3.6254384e+07  7.3814342e+07  1.6251175e+08  4.0128573e+08  1.1390821e+09
  5.2500000e+03  2.2411347e+01  4.9453807e+01  1.0878954e+02  2.3804621e+02  5.1718612e+02  1.1140741e+03  2.3765648e+03  5.0157766e+03  1.0465230e+04  2.1573751e+04  4.3921952e+04  8.8286483e+04  1.7518837e+05  3.4318250e+05  6.6381009e+05  1.2683945e+06  2.3960586e+06  4.4807270e+06  8.3135391e+06  1.5364633e+07  2.8487095e+07  5.3681610e+07  1.0523758e+08  2.2286427e+08  5.3500766e+08
  5.5000000e+03  1.4613760e+01  3.3284554e+01  7.5363566e+01  1.6931368e+02  3.7686354e+02  8.3008568e+02  1.8076026e+03  3.8887411e+03  8.2604206e+03  1.7318439e+04  3.5827183e+04  7.3122247e+04  1.4723239e+05  2.9248636e+05  5.7337300e+05  1.1095206e+06  2.1203510e+06  4.0046239e+06  7.4827654e+06  1.3856367e+07  2.5502648e+07  4.6899590e+07  8.7056312e+07  1.6633581e+08  3.3902900e+08
  5.7500000e+03  9.5143052e+00  2.2248947e+01  5.1590317e+01  1.1845168e+02  2.6900645e+02  6.0378162e+02  1.3385368e+03  2.9297151e+03  6.3290478e+03  1.3492592e+04  2.8383681e+04  5.8921264e+04  1.2071384e+05  2.4412449e+05  4.8748088e+05  9.6151076e+05  1.8741226e+06  3.6118655e+06  6.8874394e+06  1.3006848e+07  2.4357440e+07  4.5321870e+07  8.4086201e+07  1.5660711e+08  2.9683016e+08
  6.0000000e+03  6.2855143e+00  1.4976157e+01  3.5321655e+01  8.2390880e+01  1.8994821e+02  4.3262436e+02  9.7313601e+02  2.1614454e+03  4.7401333e+03  1.0264072e+04  2.1946951e+04  4.6347703e+04  9.6690660e+04  1.9932971e+05  4.0620339e+05  8.1860394e+05  1.6321422e+06  3.2211476e+06  6.2960303e+06  1.2195160e+07  2.3424724e+07  4.4658846e+07  8.4611913e+07  1.5964724e+08  3.0120418e+08
  6.2500000e+03  4.2250052e+00  1.0183424e+01  2.4281898e+01  5.7251264e+01  1.3343145e+02  3.0733471e+02  6.9951742e+02  1.5732916e+03  3.4967604e+03  7.6810142e+03  1.6677918e+04  3.5804004e+04  7.6015517e+04  1.5965551e+05  3.3183300e+05  6.8275085e+05  1.3911442e+06  2.8081097e+06  5.6176563e+06  1.1142030e+07  2.1918665e+07  4.2784737e+07  8.2909977e+07  1.5961474e+08  3.0563790e+08
