#Table Version   6
#[Z/Z_SOLAR]=-4.00 [A/Fe]= 0.0 A09     | VALID RANGE:   25  25  25  25  25  25  25  25  25  25  25
#Teff(K)| Pgas@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  1.5000000e+03  3.6448307e+07  7.5807804e+07  1.5767051e+08  3.2793444e+08  6.8206159e+08  1.4186006e+09  2.9505074e+09  6.1366771e+09  1.2763501e+10  2.6546446e+10  5.5213204e+10
  1.6000000e+03  2.6681933e+07  5.5788684e+07  1.1664737e+08  2.4389549e+08  5.0995588e+08  1.0662559e+09  2.2294116e+09  4.6614292e+09  9.7464829e+09  2.0378713e+10  4.2609416e+10
  1.7000000e+03  1.9905455e+07  4.1826757e+07  8.7889355e+07  1.8467936e+08  3.8806141e+08  8.1542222e+08  1.7134231e+09  3.6003665e+09  7.5653462e+09  1.5896843e+10  3.3403577e+10
  1.8000000e+03  1.5100877e+07  3.1879712e+07  6.7301791e+07  1.4208193e+08  2.9995153e+08  6.3323268e+08  1.3368281e+09  2.8222000e+09  5.9579934e+09  1.2578019e+10  2.6553666e+10
  1.9000000e+03  1.1628410e+07  2.4657720e+07  5.2286009e+07  1.1087103e+08  2.3509894e+08  4.9852076e+08  1.0570994e+09  2.2415499e+09  4.7531444e+09  1.0078911e+10  2.1372050e+10
  2.0000000e+03  9.0752937e+06  1.9324804e+07  4.1149970e+07  8.7624173e+07  1.8658570e+08  3.9731299e+08  8.4603275e+08  1.8015304e+09  3.8361537e+09  8.1686524e+09  1.7394215e+10
  2.1000000e+03  7.1689390e+06  1.5326473e+07  3.2766463e+07  7.0051412e+07  1.4976290e+08  3.2017806e+08  6.8450859e+08  1.4634107e+09  3.1286255e+09  6.6886876e+09  1.4299744e+10
  2.2000000e+03  5.7255064e+06  1.2287217e+07  2.6368970e+07  5.6589100e+07  1.2144298e+08  2.6062258e+08  5.5930882e+08  1.2003041e+09  2.5759114e+09  5.5280321e+09  1.1863428e+10
  2.3000000e+03  4.6186386e+06  9.9479236e+06  2.1426483e+07  4.6149751e+07  9.9400329e+07  2.1409488e+08  4.6113145e+08  9.9321484e+08  2.1392506e+09  4.6076568e+09  9.9242702e+09
  2.4000000e+03  3.7599796e+06  8.1267253e+06  1.7564899e+07  3.7964331e+07  8.2055149e+07  1.7735193e+08  3.8332400e+08  8.2850684e+08  1.7907138e+09  3.8704038e+09  8.3653933e+09
  2.5000000e+03  3.0867688e+06  6.6939752e+06  1.4516573e+07  3.1480679e+07  6.8269086e+07  1.4804853e+08  3.2105843e+08  6.9624819e+08  1.5098857e+09  3.2743423e+09  7.1007475e+09
  2.8000000e+03  1.7850000e+06  3.9070000e+06  8.5516241e+06  1.8717756e+07  4.0969341e+07  8.9673511e+07  1.9627698e+08  4.2961017e+08  9.4032882e+08  2.0581875e+09  4.5049516e+09
  3.0000000e+03  1.2788774e+06  2.8150400e+06  6.1964113e+06  1.3639420e+07  3.0022827e+07  6.6085663e+07  1.4546648e+08  3.2019798e+08  7.0481358e+08  1.5514220e+09  3.4149599e+09
  3.2000000e+03  7.6621726e+05  1.7437583e+06  3.9684474e+06  9.0313980e+06  2.0553668e+07  4.6776065e+07  1.0645303e+08  2.4226595e+08  5.5134918e+08  1.2547612e+09  2.8555872e+09
  3.5000000e+03  2.3149898e+05  6.0085363e+05  1.5595105e+06  4.0476960e+06  1.0505760e+07  2.7267611e+07  7.0772851e+07  1.8369033e+08  4.7676668e+08  1.2374438e+09  3.2117749e+09
  3.7500000e+03  7.9981820e+04  2.2495854e+05  6.3272312e+05  1.7796103e+06  5.0053693e+06  1.4078207e+07  3.9596660e+07  1.1137040e+08  3.1324271e+08  8.8103302e+08  2.4780119e+09
  4.0000000e+03  3.6718240e+04  1.0069252e+05  2.7612932e+05  7.5723007e+05  2.0765538e+06  5.6945382e+06  1.5616145e+07  4.2824191e+07  1.1743688e+08  3.2204742e+08  8.8315139e+08
  4.2500000e+03  2.3915488e+04  5.3969702e+04  1.2704719e+05  3.1197825e+05  7.9914913e+05  2.1353821e+06  5.9520641e+06  1.7306285e+07  5.2490938e+07  1.6607684e+08  5.4812303e+08
  4.5000000e+03  1.3996909e+04  3.1143163e+04  7.1252619e+04  1.6762796e+05  4.0550820e+05  1.0086961e+06  2.5800527e+06  6.7858513e+06  1.8352179e+07  5.1036215e+07  1.4594083e+08
  4.7500000e+03  8.1489105e+03  1.8870255e+04  4.3916456e+04  1.0271836e+05  2.4145722e+05  5.7043164e+05  1.3543731e+06  3.2317988e+06  7.7503552e+06  1.8679713e+07  4.5247031e+07
  5.0000000e+03  5.0491730e+03  1.1877437e+04  2.7853202e+04  6.5114457e+04  1.5175032e+05  3.5255890e+05  8.1655163e+05  1.8853219e+06  4.3394759e+06  9.9572392e+06  2.2776684e+07
  5.2500000e+03  3.3060903e+03  7.7468216e+03  1.8108512e+04  4.2227209e+04  9.8231860e+04  2.2796214e+05  5.2774421e+05  1.2188061e+06  2.8079936e+06  6.4536885e+06  1.4796884e+07
  5.5000000e+03  2.2190078e+03  5.1832057e+03  1.2095905e+04  2.8201918e+04  6.5693019e+04  1.5288333e+05  3.5546869e+05  8.2573920e+05  1.9163939e+06  4.4435183e+06  1.0293652e+07
  5.7500000e+03  1.5375130e+03  3.5767178e+03  8.3262459e+03  1.9396012e+04  4.5214147e+04  1.0547145e+05  2.4620344e+05  5.7511145e+05  1.3443383e+06  3.1445883e+06  7.3606757e+06
  6.0000000e+03  1.0450026e+03  2.4612446e+03  5.7902935e+03  1.3606762e+04  3.1938710e+04  7.4883885e+04  1.7537503e+05  4.1025659e+05  9.5863164e+05  2.2374655e+06  5.2163815e+06
#Teff(K)|    T@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00
  1.5000000E+03  2.5693000E+03  2.5693000E+03  2.5693000E+03  2.5693000E+03  2.5693000E+03  2.5693000E+03  2.5693000E+03  2.5693000E+03  2.5693000E+03  2.5693000E+03  2.5693000E+03
  1.6000000E+03  2.6693000E+03  2.6693000E+03  2.6693000E+03  2.6693000E+03  2.6693000E+03  2.6693000E+03  2.6693000E+03  2.6693000E+03  2.6693000E+03  2.6693000E+03  2.6693000E+03
