#Table Version   6
#[Z/Z_SOLAR]=-7.00 [A/Fe]= 0.0 A09      | VALID RANGE:  105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105
#Teff(K)| Pgas@  log g =-2.00   log g =-1.50   log g =-1.00   log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00   log g = 6.50   log g = 7.00   log g = 7.50   log g = 8.00   log g = 8.50   log g = 9.00   log g = 9.50   log g =10.00 
  2.0000000e+03  5.8795298e+02  1.4367585e+03  3.5109523e+03  8.5795813e+03  2.0965598e+04  5.1232840e+04  1.2519575e+05  3.0593612e+05  7.4760454e+05  1.8268929e+06  4.4643091e+06  1.0909263e+07  2.6658554e+07  6.5144501e+07  1.5919115e+08  3.8900940e+08  9.5060755e+08  2.3229637e+09  5.6765386e+09  1.3871543e+10  3.3897364e+10  8.2833706e+10  2.0241759e+11  4.9464022e+11  1.2087336e+12
  2.1000000e+03  6.0023991e+02  1.4548939e+03  3.5269418e+03  8.5511541e+03  2.0735267e+04  5.0286565e+04  1.2196937e+05  2.9587287e+05  7.1781752e+05  1.7417130e+06  4.2266071e+06  1.0257912e+07  2.4898720e+07  6.0442878e+07  1.4674471e+08  3.5631012e+08  8.6524960e+08  2.1013644e+09  5.1039603e+09  1.2398191e+10  3.0119914e+10  7.3180056e+10  1.7781754e+11  4.3211422e+11  1.0501804e+12
  2.2000000e+03  6.1288235e+02  1.4735043e+03  3.5434169e+03  8.5229184e+03  2.0504460e+04  4.9340216e+04  1.1875317e+05  2.8587729e+05  6.8834032e+05  1.6577336e+06  3.9931269e+06  9.6204914e+06  2.3182811e+07  5.5875133e+07  1.3469568e+08  3.2476585e+08  7.8319091e+08  1.8890548e+09  4.5572212e+09  1.0995965e+10  2.6536485e+10  6.4051492e+10  1.5462867e+11  3.7335746e+11  9.0163916e+11
  2.3000000e+03  6.2677804e+02  1.4939124e+03  3.5618287e+03  8.4948370e+03  2.0266039e+04  4.8362897e+04  1.1544714e+05  2.7566366e+05  6.5841435e+05  1.5730432e+06  3.7592550e+06  8.9863009e+06  2.1487035e+07  5.1390963e+07  1.2294481e+08  2.9420183e+08  7.0419147e+08  1.6859511e+09  4.0374457e+09  9.6710713e+09  2.3171138e+10  5.5529508e+10  1.3310757e+11  3.1914128e+11  7.6535581e+11
  2.4000000e+03  6.4336568e+02  1.5181381e+03  3.5839926e+03  8.4648786e+03  2.0001736e+04  4.7282856e+04  1.1182133e+05  2.6456144e+05  6.2618927e+05  1.4827168e+06  3.5122125e+06  8.3228105e+06  1.9729797e+07  4.6788113e+07  1.1099560e+08  2.6340889e+08  6.2532647e+08  1.4850198e+09  3.5278023e+09  8.3834029e+09  1.9928665e+10  4.7388788e+10  1.1272244e+11  2.6821340e+11  6.3838677e+11
  2.5000000e+03  6.6285626e+02  1.5453848e+03  3.6053572e+03  8.4168148e+03  1.9662042e+04  4.5960478e+04  1.0750023e+05  2.5159223e+05  5.8917207e+05  1.3805066e+06  3.2365381e+06  7.5921267e+06  1.7818922e+07  4.1843649e+07  9.8311175e+07  2.3109824e+08  5.4350822e+08  1.2788713e+09  3.0106095e+09  7.0906271e+09  1.6707575e+10  3.9385537e+10  9.2886136e+10  2.1915538e+11  5.1729336e+11
  2.8000000e+03  6.7977902e+02  1.5632109e+03  3.5978882e+03  8.2880402e+03  1.9108389e+04  4.4091854e+04  1.0182367e+05  2.3533650e+05  5.4434492e+05  1.2600784e+06  2.9191318e+06  6.7676325e+06  1.5701495e+07  3.6455301e+07  8.4701294e+07  1.9693520e+08  4.5819976e+08  1.0667899e+09  2.4853629e+09  5.7940469e+09  1.3516055e+10  3.1549188e+10  7.3687086e+10  1.7220839e+11  4.0269089e+11
  3.0000000e+03  6.7907772e+02  1.5400386e+03  3.4959586e+03  7.9436215e+03  1.8066910e+04  4.1129958e+04  9.3721247e+04  2.1375685e+05  4.8797924e+05  1.1150116e+06  2.5500684e+06  5.8373572e+06  1.3374278e+07  3.0669838e+07  7.0394195e+07  1.6171237e+08  3.7181523e+08  8.5562750e+08  1.9706602e+09  4.5425921e+09  1.0479873e+10  2.4197127e+10  5.5914202e+10  1.2930819e+11  2.9927508e+11
  3.2000000e+03  6.4124596e+02  1.4365932e+03  3.2215721e+03  7.2312871e+03  1.6246793e+04  3.6535632e+04  8.2235142e+04  1.8526251e+05  4.1774083e+05  9.4279647e+05  2.1297325e+06  4.8154206e+06  1.0898135e+07  2.4688003e+07  5.5981182e+07  1.2706508e+08  2.8869744e+08  6.5659201e+08  1.4948111e+09  3.4065614e+09  7.7711561e+09  1.7745748e+10  4.0564079e+10  9.2816858e+10  2.1259319e+11
  3.5000000e+03  5.5802903e+02  1.2387255e+03  2.7524803e+03  6.1216214e+03  1.3625966e+04  3.0352698e+04  6.7660307e+04  1.5092585e+05  3.3688570e+05  7.5248395e+05  1.6819902e+06  3.7625712e+06  8.4238318e+06  1.8876848e+07  4.2342368e+07  9.5076992e+07  2.1372511e+08  4.8099043e+08  1.0837646e+09  2.4449184e+09  5.5224947e+09  1.2489835e+10  2.8283734e+10  6.4133322e+10  1.4561521e+11
  3.7500000e+03  4.4197582e+02  9.7607043e+02  2.1579472e+03  4.7749766e+03  1.0572264e+04  2.3417233e+04  5.1879441e+04  1.1494569e+05  2.5468490e+05  5.6433195e+05  1.2506224e+06  2.7723237e+06  6.1485596e+06  1.3646169e+07  3.0314734e+07  6.7420832e+07  1.5014532e+08  3.3486698e+08  7.4804299e+08  1.6738338e+09  3.7519549e+09  8.4252714e+09  1.8954384e+10  4.2722166e+10  9.6479524e+10
  4.0000000e+03  3.1764935e+02  7.0187788e+02  1.5528942e+03  3.4382292e+03  7.6134131e+03  1.6851089e+04  3.7262214e+04  8.2289870e+04  1.8145923e+05  3.9954589e+05  8.7860002e+05  1.9302250e+06  4.2386604e+06  9.3089241e+06  2.0458654e+07  4.5020010e+07  9.9242861e+07  2.1924585e+08  4.8554650e+08  1.0781653e+09  2.4007634e+09  5.3611014e+09  1.2006523e+10  2.6968245e+10  6.0754175e+10
  4.2500000e+03  2.0776737e+02  4.6293459e+02  1.0330655e+03  2.3060837e+03  5.1429907e+03  1.1445398e+04  2.5390654e+04  5.6106191e+04  1.2343853e+05  2.7037318e+05  5.8977053e+05  1.2820212e+06  2.7797955e+06  6.0191910e+06  1.3032159e+07  2.8247982e+07  6.1367851e+07  1.3374643e+08  2.9262656e+08  6.4303326e+08  1.4195380e+09  3.1484006e+09  7.0154027e+09  1.5703751e+10  3.5310800e+10
  4.5000000e+03  1.2523570e+02  2.8392249e+02  6.4464150e+02  1.4626606e+03  3.3092813e+03  7.4510845e+03  1.6667471e+04  3.6994779e+04  8.1415767e+04  1.7761919e+05  3.8427703e+05  8.2521658e+05  1.7614490e+06  3.7440069e+06  7.9409983e+06  1.6843982e+07  3.5807823e+07  7.6436783e+07  1.6408916e+08  3.5462648e+08  7.7202976e+08  1.6933661e+09  3.7417497e+09  8.3268636e+09  1.8655893e+10
  4.7500000e+03  7.1241486e+01  1.6572732e+02  3.8570541e+02  8.9517385e+02  2.0654962e+03  4.7255384e+03  1.0696868e+04  2.3920124e+04  5.2791410e+04  1.1495317e+05  2.4704442e+05  5.2448837e+05  1.1017418e+06  2.2947500e+06  4.7517496e+06  9.8119513e+06  2.0269886e+07  4.2027571e+07  8.7712144e+07  1.8468642e+08  3.9295730e+08  8.4554270e+08  1.8401251e+09  4.0485380e+09  8.9985885e+09
  5.0000000e+03  3.9521796e+01  9.4870903e+01  2.2721019e+02  5.4073950e+02  1.2744225e+03  2.9660580e+03  6.8021933e+03  1.5348342e+04  3.4042378e+04  7.4195216e+04  1.5893607e+05  3.3488335e+05  6.9497775e+05  1.4232941e+06  2.8838459e+06  5.7992884e+06  1.1617477e+07  2.3279058e+07  4.6857471e+07  9.5126689e+07  1.9544309e+08  4.0738259e+08  8.6263007e+08  1.8560197e+09  4.0549869e+09
  5.2500000e+03  2.2187750e+01  5.4966637e+01  1.3525554e+02  3.2929462e+02  7.9073192e+02  1.8683025e+03  4.3358870e+03  9.8720021e+03  2.2035633e+04  4.8208712e+04  1.0338786e+05  2.1746872e+05  4.4908492e+05  9.1176602e+05  1.8234806e+06  3.6013780e+06  7.0460322e+06  1.3707845e+07  2.6634502e+07  5.1935680e+07  1.0213810e+08  2.0353149e+08  4.1253662e+08  8.5270689e+08  1.7993826e+09
