#Table Version   6
#[Z/Z_SOLAR]=-1.75 [A/Fe]= 0.0 A09      | VALID RANGE:  105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105
#Teff(K)| Pgas@  log g =-2.00   log g =-1.50   log g =-1.00   log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00   log g = 6.50   log g = 7.00   log g = 7.50   log g = 8.00   log g = 8.50   log g = 9.00   log g = 9.50   log g =10.00 
  2.0000000e+03  1.4134811e+01  4.5764851e+01  1.4817471e+02  4.7975127e+02  1.5533101e+03  5.0292152e+03  1.6283294e+04  5.2721081e+04  1.7069718e+05  5.5267318e+05  1.7894124e+06  5.7936529e+06  1.8758345e+07  6.0734654e+07  1.9664305e+08  6.3667918e+08  2.0614020e+09  6.6742847e+09  2.1609602e+10  6.9966285e+10  2.2653268e+11  7.3345403e+11  2.3747339e+12  7.6887720e+12  2.4894249e+13
  2.1000000e+03  2.0876373e+01  6.2187627e+01  1.8685470e+02  5.6565282e+02  1.7237317e+03  5.2840089e+03  1.6284562e+04  5.0429179e+04  1.5684782e+05  4.8975903e+05  1.5347122e+06  4.8245873e+06  1.5210521e+07  4.8078772e+07  1.5232615e+08  4.8362055e+08  1.5383372e+09  4.9015274e+09  1.5641177e+10  4.9980221e+10  1.5990327e+11  5.1214495e+11  1.6419369e+12  5.2687168e+12  1.6919964e+13
  2.2000000e+03  2.9519605e+01  8.2047289e+01  2.3144927e+02  6.6077744e+02  1.9059628e+03  5.5480256e+03  1.6284272e+04  4.8163806e+04  1.4346851e+05  4.3019292e+05  1.2979141e+06  3.9384196e+06  1.2014845e+07  3.6835735e+07  1.1345341e+08  3.5092330e+08  1.0897072e+09  3.3960524e+09  1.0618853e+10  3.3304194e+10  1.0474316e+11  3.3025776e+11  1.0437200e+12  3.3054396e+12  1.0488339e+13
  2.3000000e+03  4.3321324e+01  1.1070259e+02  2.9057080e+02  7.7808544e+02  2.1168137e+03  5.8357131e+03  1.6275243e+04  4.5864442e+04  1.3048685e+05  3.7454823e+05  1.0840722e+06  3.1623474e+06  9.2933905e+06  2.7502856e+07  8.1932257e+07  2.4560985e+08  7.4061858e+08  2.2456848e+09  6.8447683e+09  2.0964194e+10  6.4500743e+10  1.9928785e+11  6.1815116e+11  1.9243386e+12  6.0106943e+12
  2.4000000e+03  6.8323538e+01  1.5717251e+02  3.7734935e+02  9.3543972e+02  2.3768553e+03  6.1600113e+03  1.6230771e+04  4.3382518e+04  1.1744412e+05  3.2165544e+05  8.9045361e+05  2.4899261e+06  7.0284935e+06  2.0017991e+07  5.7500042e+07  1.6650589e+08  4.8589346e+08  1.4283894e+09  4.2285911e+09  1.2602061e+10  3.7795600e+10  1.1403982e+11  3.4606411e+11  1.0558984e+12  3.2385668e+12
  2.5000000e+03  1.1160174e+02  2.3068277e+02  5.0278826e+02  1.1433856e+03  2.6896645e+03  6.5025194e+03  1.6080682e+04  4.0542770e+04  1.0395992e+05  2.7064321e+05  7.1437747e+05  1.9098689e+06  5.1672164e+06  1.4137773e+07  3.9094613e+07  1.0920452e+08  3.0800478e+08  8.7679303e+08  2.5183190e+09  7.2957600e+09  2.1314325e+10  6.2782404e+10  1.8643801e+11  5.5819705e+11  1.6854651e+12
  2.8000000e+03  1.7300021e+02  3.2861107e+02  6.5828869e+02  1.3805691e+03  3.0097872e+03  6.7793983e+03  1.5699326e+04  3.7234991e+04  9.0188764e+04  2.2260920e+05  5.5899062e+05  1.4261810e+06  3.6931877e+06  9.6986701e+06  2.5810456e+07  6.9565236e+07  1.8979764e+08  5.2399884e+08  1.4635446e+09  4.1350488e+09  1.1819640e+10  3.4193565e+10  1.0019230e+11  2.9774620e+11  8.9928832e+11
  3.0000000e+03  2.3524977e+02  4.2403657e+02  8.0128895e+02  1.5801570e+03  3.2364507e+03  6.8540724e+03  1.4949875e+04  3.3475466e+04  7.6752427e+04  1.7982798e+05  4.2987598e+05  1.0471802e+06  2.5970214e+06  6.5519979e+06  1.6805604e+07  4.3804704e+07  1.1599793e+08  3.1203856e+08  8.5285670e+08  2.3696746e+09  6.7001954e+09  1.9310310e+10  5.6868742e+10  1.7174417e+11  5.3445136e+11
  3.2000000e+03  2.6989270e+02  4.7581933e+02  8.7300978e+02  1.6611500e+03  3.2669120e+03  6.6201294e+03  1.3786400e+04  2.9441553e+04  6.4368726e+04  1.4389892e+05  3.2864380e+05  7.6632855e+05  1.8237021e+06  4.4283463e+06  1.0970879e+07  2.7732326e+07  7.1548075e+07  1.8850399e+08  5.0765341e+08  1.3995177e+09  3.9580869e+09  1.1517860e+10  3.4618789e+10  1.0798291e+11  3.5141551e+11
  3.5000000e+03  2.6229145e+02  4.6343888e+02  8.4647174e+02  1.5925588e+03  3.0767616e+03  6.0884998e+03  1.2317305e+04  2.5441557e+04  5.3612910e+04  1.1523347e+05  2.5265731e+05  5.6536187e+05  1.2919970e+06  3.0179259e+06  7.2126413e+06  1.7656231e+07  4.4326859e+07  1.1430107e+08  3.0328164e+08  8.2995308e+08  2.3491661e+09  6.9011083e+09  2.1123405e+10  6.7642995e+10  2.2748379e+11
