#Table Version   6
#[Z/Z_SOLAR]=-2.00 [A/Fe]= 0.0 A09      | VALID RANGE:  105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105
#Teff(K)| Pgas@  log g =-2.00   log g =-1.50   log g =-1.00   log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00   log g = 6.50   log g = 7.00   log g = 7.50   log g = 8.00   log g = 8.50   log g = 9.00   log g = 9.50   log g =10.00 
  2.0000000e+03  3.3041042e+01  1.0215249e+02  3.1582331e+02  9.7642616e+02  3.0188020e+03  9.3331844e+03  2.8855265e+04  8.9211386e+04  2.7581349e+05  8.5272841e+05  2.6363675e+06  8.1508176e+06  2.5199759e+07  7.7909715e+07  2.4087229e+08  7.4470121e+08  2.3023815e+09  7.1182379e+09  2.2007349e+10  6.8039787e+10  2.1035758e+11  6.5035934e+11  2.0107061e+12  6.2164698e+12  1.9219366e+13
  2.1000000e+03  4.3389817e+01  1.2593468e+02  3.6759961e+02  1.0784490e+03  3.1783589e+03  9.4059863e+03  2.7941254e+04  8.3288669e+04  2.4905519e+05  7.4689037e+05  2.2457492e+06  6.7687591e+06  2.0446009e+07  6.1883592e+07  1.8764316e+08  5.6991428e+08  1.7335695e+09  5.2804252e+09  1.6104182e+10  4.9170160e+10  1.5028417e+11  4.5976200e+11  1.4077464e+12  4.3137405e+12  1.3227924e+13
  2.2000000e+03  5.5782291e+01  1.5318821e+02  4.2479349e+02  1.1876385e+03  3.3444099e+03  9.4795939e+03  2.7031724e+04  7.7516074e+04  2.2345428e+05  6.4732867e+05  1.8839565e+06  5.5068691e+06  1.6162563e+07  4.7618521e+07  1.4079746e+08  4.1769987e+08  1.2430429e+09  3.7099336e+09  1.1102351e+10  3.3307928e+10  1.0015759e+11  3.0182012e+11  9.1131751e+11  2.7566546e+12  8.3526583e+12
  2.3000000e+03  7.3681610e+01  1.8942401e+02  4.9573553e+02  1.3152099e+03  3.5282644e+03  9.5553350e+03  2.6096568e+04  7.1820136e+04  1.9906284e+05  5.5542080e+05  1.5594843e+06  4.4048005e+06  1.2512117e+07  3.5733564e+07  1.0257711e+08  2.9589977e+08  8.5753759e+08  2.4961607e+09  7.2962741e+09  2.1411119e+10  6.3065224e+10  1.8640537e+11  5.5278188e+11  1.6443323e+12  4.9055180e+12
  2.4000000e+03  1.0348452e+02  2.4400602e+02  5.9347750e+02  1.4773595e+03  3.7443362e+03  9.6287999e+03  2.5065825e+04  6.5951710e+04  1.7519692e+05  4.6949683e+05  1.2684591e+06  3.4533774e+06  9.4701860e+06  2.6149802e+07  7.2684235e+07  2.0330737e+08  5.7213079e+08  1.6194278e+09  4.6094775e+09  1.3190754e+10  3.7942307e+10  1.0968012e+11  3.1856936e+11  9.2957866e+11  2.7247571e+12
  2.5000000e+03  1.5269568e+02  3.2656140e+02  7.2903173e+02  1.6834086e+03  3.9920105e+03  9.6709699e+03  2.3844809e+04  5.9677176e+04  1.5131768e+05  3.8818564e+05  1.0064928e+06  2.6354769e+06  6.9648564e+06  1.8567232e+07  4.9909044e+07  1.3522358e+08  3.6917677e+08  1.0153446e+09  2.8125347e+09  7.8454273e+09  2.2035520e+10  6.2316639e+10  1.7745596e+11  5.0895917e+11  1.4709075e+12
  2.8000000e+03  2.2123083e+02  4.3426610e+02  8.9312371e+02  1.9109126e+03  4.2256880e+03  9.6044112e+03  2.2337668e+04  5.2981140e+04  1.2782282e+05  3.1308752e+05  7.7743825e+05  1.9549241e+06  4.9737748e+06  1.2795050e+07  3.3263357e+07  8.7353069e+07  2.3165686e+08  6.2027251e+08  1.6767216e+09  4.5763500e+09  1.2614946e+10  3.5140660e+10  9.9018354e+10  2.8266488e+11  8.1940482e+11
  3.0000000e+03  2.9072347e+02  5.3827181e+02  1.0404172e+03  2.0904031e+03  4.3462518e+03  9.3111524e+03  2.0476177e+04  4.6075090e+04  1.0581164e+05  2.4749411e+05  5.8867075e+05  1.4220917e+06  3.4860068e+06  8.6651188e+06  2.1830004e+07  5.5723047e+07  1.4410238e+08  3.7758420e+08  1.0028472e+09  2.7018558e+09  7.3931542e+09  2.0584607e+10  5.8473240e+10  1.7008591e+11  5.0907295e+11
  3.2000000e+03  3.3004320e+02  5.9347852e+02  1.1070740e+03  2.1362872e+03  4.2519636e+03  8.7045691e+03  1.8281940e+04  3.9305197e+04  8.6342761e+04  1.9350971e+05  4.4195362e+05  1.0277095e+06  2.4317384e+06  5.8526017e+06  1.4325039e+07  3.5660612e+07  9.0318701e+07  2.3289374e+08  6.1207979e+08  1.6422455e+09  4.5085940e+09  1.2704034e+10  3.6882496e+10  1.1083779e+11  3.4655809e+11
  3.5000000e+03  3.2147317e+02  5.7531155e+02  1.0615207e+03  2.0141559e+03  3.9206307e+03  7.8128105e+03  1.5910972e+04  3.3070855e+04  7.0088181e+04  1.5137145e+05  3.3306636e+05  7.4663771e+05  1.7056223e+06  3.9722225e+06  9.4367829e+06  2.2887658e+07  5.6730826e+07  1.4390278e+08  3.7421608e+08  9.9992874e+08  2.7532540e+09  7.8385588e+09  2.3163972e+10  7.1338522e+10  2.2983038e+11
