#Table Version   6
#[Z/Z_SOLAR]=-2.50 [A/Fe]= 0.0 A09     | VALID RANGE:   25  25  25  25  25  25  25  25  25  25  25
#Teff(K)| Pgas@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  1.5000000e+03  1.9612260e+07  3.1770555e+07  5.1466182e+07  8.3371785e+07  1.3505674e+08  2.1878292e+08  3.5441375e+08  5.7412666e+08  9.3004694e+08  1.5066141e+09  2.4406144e+09
  1.6000000e+03  1.3817842e+07  2.3038997e+07  3.8413769e+07  6.4048693e+07  1.0679075e+08  1.7805615e+08  2.9687958e+08  4.9499827e+08  8.2532886e+08  1.3761012e+09  2.2944243e+09
  1.7000000e+03  9.9443418e+06  1.7035934e+07  2.9184742e+07  4.9997209e+07  8.5651637e+07  1.4673225e+08  2.5137118e+08  4.3063109e+08  7.3772634e+08  1.2638199e+09  2.1650858e+09
  1.8000000e+03  7.2925617e+06  1.2816334e+07  2.2524104e+07  3.9585054e+07  6.9568870e+07  1.2226402e+08  2.1487326e+08  3.7762964e+08  6.6366633e+08  1.1663624e+09  2.0498270e+09
  1.9000000e+03  5.4383693e+06  9.7914327e+06  1.7628842e+07  3.1739592e+07  5.7145085e+07  1.0288603e+08  1.8523966e+08  3.3351204e+08  6.0046689e+08  1.0811019e+09  1.9464541e+09
  2.0000000e+03  4.1171259e+06  7.5845032e+06  1.3972050e+07  2.5739086e+07  4.7416132e+07  8.7349238e+07  1.6091336e+08  2.9643202e+08  5.4608230e+08  1.0059841e+09  1.8532077e+09
  2.1000000e+03  3.1594996e+06  5.9486843e+06  1.1200142e+07  2.1087551e+07  3.9703498e+07  7.4753474e+07  1.4074533e+08  2.6499435e+08  4.9892955e+08  9.3938115e+08  1.7686604e+09
  2.2000000e+03  2.4546646e+06  4.7187154e+06  9.0710051e+06  1.7437613e+07  3.3521131e+07  6.4439221e+07  1.2387450e+08  2.3812968e+08  4.5776771e+08  8.7998807e+08  1.6916418e+09
  2.3000000e+03  1.9285901e+06  3.7818051e+06  7.4158058e+06  1.4541780e+07  2.8515223e+07  5.5915985e+07  1.0964661e+08  2.1500789e+08  4.2161263e+08  8.2674736e+08  1.6211830e+09
  2.4000000e+03  1.5308993e+06  3.0596107e+06  6.1148487e+06  1.2220958e+07  2.4424451e+07  4.8813997e+07  9.7558232e+07  1.9497704e+08  3.8967543e+08  7.7879395e+08  1.5564749e+09
  2.5000000e+03  1.2267274e+06  2.4968400e+06  5.0819846e+06  1.0343702e+07  2.1053225e+07  4.2851030e+07  8.7217554e+07  1.7751969e+08  3.6131765e+08  7.3541387e+08  1.4968368e+09
  2.8000000e+03  6.6326153e+05  1.4201142e+06  3.0406170e+06  6.5102877e+06  1.3939225e+07  2.9845379e+07  6.3902162e+07  1.3682139e+08  2.9294930e+08  6.2723592e+08  1.3429795e+09
  3.0000000e+03  4.5614250e+05  1.0072325e+06  2.2241237e+06  4.9112057e+06  1.0844694e+07  2.3946746e+07  5.2878083e+07  1.1676291e+08  2.5783038e+08  5.6932898e+08  1.2571656e+09
  3.2000000e+03  2.2330162e+05  5.3870912e+05  1.2996212e+06  3.1353010e+06  7.5638288e+06  1.8247532e+07  4.4021678e+07  1.0620111e+08  2.5620730e+08  6.1809318e+08  1.4911331e+09
  3.5000000e+03  6.8763813e+04  1.8427040e+05  4.9380013e+05  1.3232650e+06  3.5460303e+06  9.5025041e+06  2.5464414e+07  6.8238475e+07  1.8286262e+08  4.9002762e+08  1.3131556e+09
  3.7500000e+03  3.3575169e+04  9.2254545e+04  2.5136323e+05  6.7914133e+05  1.8195458e+06  4.8340399e+06  1.2735087e+07  3.3268865e+07  8.6182383e+07  2.2138257e+08  5.6391387e+08
  4.0000000e+03  2.5440511e+04  5.8193706e+04  1.3774721e+05  3.3740091e+05  8.5519725e+05  2.2430707e+06  6.0880227e+06  1.7098822e+07  4.9695004e+07  1.4945687e+08  4.6513142e+08
  4.2500000e+03  1.8734019e+04  3.9694067e+04  8.7630973e+04  2.0157054e+05  4.8309646e+05  1.2063631e+06  3.1387709e+06  8.5090009e+06  2.4034490e+07  7.0734067e+07  2.1690009e+08
  4.5000000e+03  1.2448045e+04  2.6781259e+04  5.9077594e+04  1.3362158e+05  3.0987916e+05  7.3683480e+05  1.7964282e+06  4.4906745e+06  1.1509998e+07  3.0248297e+07  8.1505813e+07
  4.7500000e+03  7.7233080e+03  1.7421443e+04  3.9542876e+04  9.0314142e+04  2.0756143e+05  4.7999965e+05  1.1169624e+06  2.6154088e+06  6.1623161e+06  1.4610051e+07  3.4854824e+07
  5.0000000e+03  4.8904204e+03  1.1281743e+04  2.6006769e+04  5.9906887e+04  1.3789461e+05  3.1717431e+05  7.2900228e+05  1.6743257e+06  3.8426532e+06  8.8125703e+06  2.0195480e+07
  5.2500000e+03  3.2147654e+03  7.4449718e+03  1.7226267e+04  3.9822967e+04  9.1979361e+04  2.1225675e+05  4.8938083e+05  1.1273188e+06  2.5945429e+06  5.9660833e+06  1.3706675e+07
  5.5000000e+03  2.1570654e+03  5.0026318e+03  1.1602734e+04  2.6912171e+04  6.2425740e+04  1.4481223e+05  3.3594901e+05  7.7941374e+05  1.8083785e+06  4.1960165e+06  9.7366961e+06
  5.7500000e+03  1.4965620e+03  3.4624001e+03  8.0234020e+03  1.8622528e+04  4.3292980e+04  1.0080802e+05  2.3511022e+05  5.4922042e+05  1.2850518e+06  3.0115726e+06  7.0691115e+06
  6.0000000e+03  1.0278524e+03  2.4007349e+03  5.6105913e+03  1.3119705e+04  3.0696613e+04  7.1863414e+04  1.6833569e+05  3.9454411e+05  9.2526451e+05  2.1711370e+06  5.0975269e+06
#Teff(K)|    T@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00
  1.5000000E+03  2.6037002E+03  2.6037002E+03  2.6037002E+03  2.6037002E+03  2.6037002E+03  2.6037002E+03  2.6037002E+03  2.6037002E+03  2.6037002E+03  2.6037002E+03  2.6037002E+03
  1.6000000E+03  2.7037002E+03  2.7037002E+03  2.7037002E+03  2.7037002E+03  2.7037002E+03  2.7037002E+03  2.7037002E+03  2.7037002E+03  2.7037002E+03  2.7037002E+03  2.7037002E+03
  1.7000000E+03  2.8037002E+03  2.8037002E+03  2.8037024E+03  2.8037002E+03  2.8037002E+03  2.8037002E+03  2.8037002E+03  2.8037002E+03  2.8037002E+03  2.8037002E+03  2.8037002E+03
  1.8000000E+03  2.9037002E+03  2.9037004E+03  2.9037043E+03  2.9037002E+03  2.9037002E+03  2.9037002E+03  2.9037002E+03  2.9037002E+03  2.9037002E+03  2.9037002E+03  2.9037002E+03
  1.9000000E+03  3.0037002E+03  3.0037009E+03  3.0037097E+03  3.0037458E+03  3.0037002E+03  3.0037002E+03  3.0037002E+03  3.0037002E+03  3.0037002E+03  3.0037002E+03  3.0037002E+03
  2.0000000E+03  3.1037002E+03  3.1037017E+03  3.1037209E+03  3.1037791E+03  3.1037002E+03  3.1037002E+03  3.1037002E+03  3.1037002E+03  3.1037002E+03  3.1037002E+03  3.1037002E+03
  2.1000000E+03  3.2037002E+03  3.2037046E+03  3.2037419E+03  3.2038320E+03  3.2040149E+03  3.2037002E+03  3.2037002E+03  3.2037002E+03  3.2037002E+03  3.2037002E+03  3.2037002E+03
  2.2000000E+03  3.3037002E+03  3.3037112E+03  3.3037832E+03  3.3039414E+03  3.3041990E+03  3.3037002E+03  3.3037002E+03  3.3037002E+03  3.3037002E+03  3.3037002E+03  3.3037002E+03
  2.3000000E+03  3.4037007E+03  3.4037280E+03  3.4038643E+03  3.4041338E+03  3.4044685E+03  3.4049312E+03  3.4037002E+03  3.4037002E+03  3.4037002E+03  3.4037002E+03  3.4037002E+03
  2.4000000E+03  3.5037029E+03  3.5037705E+03  3.5040217E+03  3.5044407E+03  3.5049141E+03  3.5051577E+03  3.5037002E+03  3.5037002E+03  3.5037002E+03  3.5037002E+03  3.5037002E+03
  2.5000000E+03  3.6037124E+03  3.6038772E+03  3.6043257E+03  3.6049619E+03  3.6055779E+03  3.6061055E+03  3.6037002E+03  3.6037002E+03  3.6037002E+03  3.6037002E+03  3.6037002E+03
  2.8000000E+03  3.9047717E+03  3.9064165E+03  3.9081328E+03  3.9096265E+03  3.9107349E+03  3.9115200E+03  3.9113604E+03  3.9109055E+03  3.9037002E+03  3.9037002E+03  3.9037002E+03
