#Table Version   6
#[Z/Z_SOLAR]=-6.00 [A/Fe]= 0.0 A09      | VALID RANGE:  105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105
#Teff(K)| Pgas@  log g =-2.00   log g =-1.50   log g =-1.00   log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00   log g = 6.50   log g = 7.00   log g = 7.50   log g = 8.00   log g = 8.50   log g = 9.00   log g = 9.50   log g =10.00 
  2.0000000e+03  5.6493059e+02  1.3922365e+03  3.4310805e+03  8.4556855e+03  2.0838513e+04  5.1355226e+04  1.2656177e+05  3.1190366e+05  7.6866725e+05  1.8943328e+06  4.6684660e+06  1.1505145e+07  2.8353718e+07  6.9875983e+07  1.7220503e+08  4.2438864e+08  1.0458795e+09  2.5775053e+09  6.3521023e+09  1.5654363e+10  3.8579208e+10  9.5076069e+10  2.3430908e+11  5.7744023e+11  1.4230657e+12
  2.1000000e+03  5.8111818e+02  1.4181161e+03  3.4613519e+03  8.4501540e+03  2.0633206e+04  5.0390696e+04  1.2308750e+05  3.0071554e+05  7.3480920e+05  1.7958437e+06  4.3897142e+06  1.0731890e+07  2.6241397e+07  6.4175177e+07  1.5696947e+08  3.8399882e+08  9.3952826e+08  2.2990781e+09  5.6267838e+09  1.3772985e+10  3.3717552e+10  8.2554900e+10  2.0215633e+11  4.9509475e+11  1.2126756e+12
  2.2000000e+03  5.9772541e+02  1.4445131e+03  3.4920239e+03  8.4443607e+03  2.0426230e+04  4.9424198e+04  1.1962423e+05  2.8961762e+05  7.0138315e+05  1.6990591e+06  4.1170175e+06  9.9787550e+06  2.4192892e+07  5.8669899e+07  1.4231722e+08  3.4531267e+08  8.3806752e+08  2.0344892e+09  4.9401504e+09  1.1998636e+10  2.9149361e+10  7.0832132e+10  1.7216083e+11  4.1854278e+11  1.0177608e+12
  2.3000000e+03  6.1558039e+02  1.4725219e+03  3.5239146e+03  8.4366749e+03  2.0206723e+04  4.8416775e+04  1.1605620e+05  2.7829834e+05  6.6760593e+05  1.6021186e+06  3.8461991e+06  9.2369656e+06  2.2191428e+07  5.3333188e+07  1.2822251e+08  3.0837816e+08  7.4191444e+08  1.7855552e+09  4.2987337e+09  1.0352717e+10  2.4940987e+10  6.0106014e+10  1.4489962e+11  3.4943192e+11  8.4295918e+11
  2.4000000e+03  6.3561568e+02  1.5029793e+03  3.5562224e+03  8.4195150e+03  1.9945104e+04  4.7274624e+04  1.1211291e+05  2.6601940e+05  6.3153349e+05  1.5000326e+06  3.5646966e+06  8.4753699e+06  2.0160719e+07  4.7980191e+07  1.1424160e+08  2.7213923e+08  6.4857666e+08  1.5464443e+09  3.6890177e+09  8.8042606e+09  2.1022551e+10  5.0222310e+10  1.2004412e+11  2.8710544e+11  6.8712652e+11
  2.5000000e+03  6.5725782e+02  1.5330184e+03  3.5796401e+03  8.3666807e+03  1.9572617e+04  4.5824592e+04  1.0736988e+05  2.5175962e+05  5.9074325e+05  1.3871156e+06  3.2592813e+06  7.6634136e+06  1.8030650e+07  4.2451037e+07  1.0001247e+08  2.3578302e+08  5.5625048e+08  1.3132266e+09  3.1026964e+09  7.3366686e+09  1.7364585e+10  4.1144032e+10  9.7619562e+10  2.3202137e+11  5.5278367e+11
  2.8000000e+03  6.7614213e+02  1.5510495e+03  3.5659718e+03  8.2131080e+03  1.8944697e+04  4.3755390e+04  1.0117653e+05  2.3420264e+05  5.4267572e+05  1.2586600e+06  2.9220438e+06  6.7900492e+06  1.5793249e+07  3.6770053e+07  8.5696323e+07  1.9994390e+08  4.6706962e+08  1.0925865e+09  2.5599946e+09  6.0102376e+09  1.4146629e+10  3.3410469e+10  7.9272775e+10  1.8932240e+11  4.5642044e+11
  3.0000000e+03  6.8290262e+02  1.5347031e+03  3.4645987e+03  7.8486199e+03  1.7829233e+04  4.0593321e+04  9.2599869e+04  2.1159232e+05  4.8423814e+05  1.1098171e+06  2.5472074e+06  5.8547216e+06  1.3477455e+07  3.1076006e+07  7.1786991e+07  1.6618781e+08  3.8572103e+08  8.9812870e+08  2.0998294e+09  4.9359401e+09  1.1686989e+10  2.7947142e+10  6.7749857e+10  1.6736819e+11  4.2425115e+11
  3.2000000e+03  6.6379086e+02  1.4558657e+03  3.2188482e+03  7.1608256e+03  1.6007679e+04  3.5923852e+04  8.0879396e+04  1.8259915e+05  4.1327984e+05  9.3759063e+05  2.1320513e+06  4.8600424e+06  1.1108034e+07  2.5465290e+07  5.8588484e+07  1.3538444e+08  3.1455512e+08  7.3597309e+08  1.7377284e+09  4.1524643e+09  1.0080946e+10  2.4987551e+10  6.3624907e+10  1.6759025e+11  4.5994722e+11
  3.5000000e+03  6.0429331e+02  1.2932467e+03  2.8003748e+03  6.1199488e+03  1.3472261e+04  2.9831646e+04  6.6376899e+04  1.4830707e+05  3.3260834e+05  7.4861005e+05  1.6910225e+06  3.8346718e+06  8.7338475e+06  1.9994427e+07  4.6057751e+07  1.0691104e+08  2.5056468e+08  5.9444894e+08  1.4323466e+09  3.5198118e+09  8.8649318e+09  2.3010099e+10  6.1901543e+10  1.7346637e+11  5.0820765e+11
  3.7500000e+03  4.9983882e+02  1.0507165e+03  2.2406775e+03  4.8331057e+03  1.0519719e+04  2.3063641e+04  5.0865434e+04  1.1274587e+05  2.5103932e+05  5.6141195e+05  1.2612573e+06  2.8479793e+06  6.4693338e+06  1.4801697e+07  3.4167465e+07  7.9742701e+07  1.8867398e+08  4.5405243e+08  1.1157622e+09  2.8121436e+09  7.3039149e+09  1.9638950e+10  5.4880255e+10  1.5980936e+11  4.8544702e+11
  4.0000000e+03  3.6811407e+02  7.6942694e+02  1.6335174e+03  3.5106620e+03  7.6162636e+03  1.6642030e+04  3.6563475e+04  8.0680319e+04  1.7868992e+05  3.9719527e+05  8.8646039e+05  1.9882036e+06  4.4876048e+06  1.0212579e+07  2.3488091e+07  5.4750458e+07  1.2977870e+08  3.1400821e+08  7.7875979e+08  1.9882180e+09  5.2471592e+09  1.4365844e+10  4.0906373e+10  1.2129436e+11  3.7447686e+11
  4.2500000e+03  2.4183175e+02  5.0939608e+02  1.0902912e+03  2.3615310e+03  5.1577616e+03  1.1325773e+04  2.4947659e+04  5.5039138e+04  1.2151614e+05  2.6845833e+05  5.9385330e+05  1.3171462e+06  2.9352106e+06  6.5899453e+06  1.4955918e+07  3.4444049e+07  8.0843779e+07  1.9425998e+08  4.8008053e+08  1.2255187e+09  3.2435721e+09  8.9255967e+09  2.5576888e+10  7.6344418e+10  2.3715962e+11
  4.5000000e+03  1.4434106e+02  3.1028058e+02  6.7755614e+02  1.4951253e+03  3.3185361e+03  7.3806294e+03  1.6399882e+04  3.6333462e+04  8.0169579e+04  1.7614432e+05  3.8566343e+05  8.4287853e+05  1.8437037e+06  4.0509214e+06  8.9807224e+06  2.0195565e+07  4.6335213e+07  1.0911265e+08  2.6523018e+08  6.6879419e+08  1.7558797e+09  4.8105247e+09  1.3761797e+10  4.1080351e+10  1.2773576e+11
  4.7500000e+03  8.0572195e+01  1.7870882e+02  4.0199934e+02  9.1106091e+02  2.0685793e+03  4.6843436e+03  1.0544253e+04  2.3538434e+04  5.2044699e+04  1.1394012e+05  2.4715181e+05  5.3206575e+05  1.1399542e+06  2.4403998e+06  5.2478111e+06  1.1410060e+07  2.5275946e+07  5.7518559e+07  1.3553912e+08  3.3298625e+08  8.5690799e+08  2.3148895e+09  6.5632435e+09  1.9490573e+10  6.0440570e+10
  5.0000000e+03  4.3619892e+01  1.0061659e+02  2.3443206e+02  5.4758939e+02  1.2746445e+03  2.9434823e+03  6.7215463e+03  1.5145389e+04  3.3633226e+04  7.3582248e+04  1.5866840e+05  3.3767296e+05  7.1088719e+05  1.4857183e+06  3.0979398e+06  6.4883175e+06  1.3767379e+07  2.9901896e+07  6.7224359e+07  1.5809389e+08  3.9205732e+08  1.0294037e+09  2.8611461e+09  8.3894486e+09  2.5821841e+10
  5.2500000e+03  2.3845636e+01  5.7311359e+01  1.3820613e+02  3.3199902e+02  7.9026510e+02  1.8569764e+03  4.2965792e+03  9.7724536e+03  2.1829613e+04  4.7875856e+04  1.0311808e+05  2.1831695e+05  4.5506586e+05  9.3625248e+05  1.9084058e+06  3.8747742e+06  7.8956927e+06  1.6311666e+07  3.4602880e+07  7.6475716e+07  1.7855653e+08  4.4488735e+08  1.1872933e+09  3.3844807e+09  1.0233389e+10
  5.5000000e+03  1.3652596e+01  3.3968451e+01  8.4148062e+01  2.0639519e+02  4.9931936e+02  1.1883818e+03  2.7777368e+03  6.3697383e+03  1.4321838e+04  3.1568198e+04  6.8227999e+04  1.4467399e+05  3.0128484e+05  6.1717787e+05  1.2465489e+06  2.4909701e+06  4.9496096e+06  9.8511255e+06  1.9843460e+07  4.1025919e+07  8.8573750e+07  2.0331800e+08  5.0323678e+08  1.3504314e+09  3.9128324e+09
  5.7500000e+03  8.3602738e+00  2.1250565e+01  5.3456532e+01  1.3261241e+02  3.2367216e+02  7.7605883e+02  1.8260904e+03  4.2143695e+03  9.5368330e+03  2.1160546e+04  4.6045952e+04  9.8308083e+04  2.0607344e+05  4.2454636e+05  8.6081280e+05  1.7211894e+06  3.4033288e+06  6.6820137e+06  1.3105804e+07  2.5910390e+07  5.2312903e+07  1.0979692e+08  2.4470046e+08  5.9074185e+08  1.5626812e+09
  6.0000000e+03  5.4662795e+00  1.3997874e+01  3.5368374e+01  8.8004807e+01  2.1536342e+02  5.1789235e+02  1.2231373e+03  2.8362942e+03  6.4569369e+03  1.4432273e+04  3.1679496e+04  6.8316585e+04  1.4481571e+05  3.0196656e+05  6.1994847e+05  1.2546373e+06  2.5067721e+06  4.9550349e+06  9.7181223e+06  1.8992773e+07  3.7231212e+07  7.3946696e+07  1.5107956e+08  3.2425803e+08  7.4933573e+08
  6.2500000e+03  3.7346853e+00  9.5494622e+00  2.4080134e+01  5.9819515e+01  1.4629174e+02  3.5203140e+02  8.3329843e+02  1.9400728e+03  4.4425689e+03  1.0006985e+04  2.2178367e+04  4.8379820e+04  1.0392099e+05  2.1993095e+05  4.5887838e+05  9.4464740e+05  1.9204125e+06  3.8596224e+06  7.6792402e+06  1.5153740e+07  2.9738207e+07  5.8277795e+07  1.1481298e+08  2.2989193e+08  4.7598172e+08
  6.5000000e+03  2.5852254e+00  6.5874430e+00  1.6563860e+01  4.1075868e+01  1.0041921e+02  2.4195380e+02  5.7446468e+02  1.3439494e+03  3.0981676e+03  7.0384990e+03  1.5761335e+04  3.4798382e+04  7.5774103e+04  1.6279641e+05  3.4523810e+05  7.2301852e+05  1.4961097e+06  3.0606336e+06  6.1941196e+06  1.2411270e+07  2.4648002e+07  4.8589977e+07  9.5318456e+07  1.8684325e+08  3.6864178e+08
  6.7500000e+03  1.7602750e+00  4.4847462e+00  1.1285557e+01  2.8041032e+01  6.8776972e+01  1.6649126e+02  3.9772800e+02  9.3755709e+02  2.1808104e+03  5.0056212e+03  1.1338269e+04  2.5347152e+04  5.5932572e+04  1.2185038e+05  2.6212085e+05  5.5691300e+05  1.1689480e+06  2.4246528e+06  4.9715467e+06  1.0080601e+07  2.0222713e+07  4.0163128e+07  7.9042884e+07  1.5438923e+08  3.0010081e+08
  7.0000000e+03  1.1524617e+00  2.9537287e+00  7.4847540e+00  1.8747498e+01  4.6405803e+01  1.1349411e+02  2.7419325e+02  6.5423334e+02  1.5413812e+03  3.5850723e+03  8.2301618e+03  1.8644962e+04  4.1676547e+04  9.1908264e+04  1.9995518e+05  4.2918056e+05  9.0891655e+05  1.8996104e+06  3.9189711e+06  7.9833491e+06  1.6064606e+07  3.1946750e+07  6.2821078e+07  1.2224990e+08  2.3571056e+08
  7.2500000e+03  7.1460327e-01  1.8552128e+00  4.7676505e+00  1.2124952e+01  3.0505714e+01  7.5899599e+01  1.8666058e+02  4.5350584e+02  1.0878288e+03  2.5745028e+03  6.0073399e+03  1.3811537e+04  3.1269782e+04  6.9685381e+04  1.5281969e+05  3.2976893e+05  7.0031038e+05  1.4640550e+06  3.0144637e+06  6.1163985e+06  1.2237504e+07  2.4160075e+07  4.7100212e+07  9.0740035e+07  1.7290609e+08
  7.5000000e+03  4.1588685e-01  1.1008964e+00  2.8893751e+00  7.5158907e+00  1.9365953e+01  4.9392152e+01  1.2457292e+02  3.1033459e+02  7.6259620e+02  1.8458080e+03  4.3941035e+03  1.0274371e+04  2.3569247e+04  5.3000879e+04  1.1678163e+05  2.5211831e+05  5.3349170e+05  1.1072566e+06  2.2562424e+06  4.5189366e+06  8.9070453e+06  1.7298812e+07  3.3143861e+07  6.2716696e+07  1.1733334e+08
  7.7500000e+03  2.2618694e-01  6.1405418e-01  1.6566860e+00  4.4394085e+00  1.1805012e+01  3.1109269e+01  8.1101949e+01  2.0871499e+02  5.2892294e+02  1.3165213e+03  3.2104925e+03  7.6533894e+03  1.7803199e+04  4.0362358e+04  8.9133454e+04  1.9174695e+05  4.0211366e+05  8.2309192e+05  1.6472601e+06  3.2296507e+06  6.2167270e+06  1.1774011e+07  2.1986237e+07  4.0558670e+07  7.4044849e+07
