#Table Version   6
#[Z/Z_SOLAR]=-1.00 [A/Fe]= 0.0 A09      | VALID RANGE:  105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105
#Teff(K)| Pgas@  log g =-2.00   log g =-1.50   log g =-1.00   log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00   log g = 6.50   log g = 7.00   log g = 7.50   log g = 8.00   log g = 8.50   log g = 9.00   log g = 9.50   log g =10.00 
  4.2500000e+03  7.0617794e+01  1.3594722e+02  2.6485734e+02  5.2011946e+02  1.0266238e+03  2.0326820e+03  4.0316059e+03  8.0028131e+03  1.5890441e+04  3.1555882e+04  6.2682567e+04  1.2461477e+05  2.4818641e+05  4.9596338e+05  9.9675697e+05  2.0213471e+06  4.1555829e+06  8.7164021e+06  1.8811044e+07  4.2207974e+07  9.9632637e+07  2.5028012e+08  6.7501337e+08  1.9627689e+09  6.1468312e+09
  4.5000000e+03  5.6978145e+01  1.1252118e+02  2.2361464e+02  4.4597434e+02  8.9084162e+02  1.7796693e+03  3.5518869e+03  7.0765302e+03  1.4066649e+04  2.7889246e+04  5.5147563e+04  1.0877752e+05  2.1413598e+05  4.2107965e+05  8.2828800e+05  1.6333693e+06  3.2395398e+06  6.4932457e+06  1.3245121e+07  2.7769372e+07  6.0639642e+07  1.4016048e+08  3.4862366e+08  9.4506024e+08  2.8054563e+09
  4.7500000e+03  4.4291840e+01  8.9679004e+01  1.8209800e+02  3.7004449e+02  7.5132714e+02  1.5221776e+03  3.0740084e+03  6.1827156e+03  1.2376517e+04  2.4646192e+04  4.8808969e+04  9.6116993e+04  1.8823612e+05  3.6675889e+05  7.1148070e+05  1.3759299e+06  2.6579038e+06  5.1442665e+06  1.0023287e+07  1.9805454e+07  4.0132095e+07  8.4754369e+07  1.9056026e+08  4.6685840e+08  1.2688991e+09
  5.0000000e+03  3.2510391e+01  6.7681245e+01  1.4099569e+02  2.9335960e+02  6.0863581e+02  1.2574476e+03  2.5840375e+03  5.2767249e+03  1.0698935e+04  2.1525415e+04  4.2952862e+04  8.4982389e+04  1.6668852e+05  3.2415510e+05  6.2518053e+05  1.1965573e+06  2.2750731e+06  4.3045756e+06  8.1268636e+06  1.5377709e+07  2.9375375e+07  5.7326463e+07  1.1645782e+08  2.5302620e+08  6.0702339e+08
  5.2500000e+03  2.2551019e+01  4.8421307e+01  1.0383883e+02  2.2197086e+02  4.7220640e+02  9.9829998e+02  2.0949362e+03  4.3594571e+03  8.9886292e+03  1.8351497e+04  3.7080784e+04  7.4125851e+04  1.4656765e+05  2.8662914e+05  5.5443412e+05  1.0610604e+06  2.0100478e+06  3.7723215e+06  7.0231082e+06  1.2999290e+07  2.4009270e+07  4.4533166e+07  8.3895885e+07  1.6371436e+08  3.4152737e+08
  5.5000000e+03  1.5017415e+01  3.3292938e+01  7.3552992e+01  1.6163085e+02  3.5273360e+02  7.6349991e+02  1.6373945e+03  3.4762437e+03  7.3010608e+03  1.5161882e+04  3.1120201e+04  6.3115603e+04  1.2646400e+05  2.5032796e+05  4.8953739e+05  9.4594655e+05  1.8066626e+06  3.4120277e+06  6.3762579e+06  1.1802698e+07  2.1675121e+07  3.9599059e+07  7.2318777e+07  1.3322337e+08  2.5182031e+08
  5.7500000e+03  9.8219839e+00  2.2431370e+01  5.0924802e+01  1.1474288e+02  2.5626682e+02  5.6675217e+02  1.2401905e+03  2.6836025e+03  5.7397080e+03  1.2130178e+04  2.5325790e+04  5.2231520e+04  1.0640691e+05  2.1414277e+05  4.2579026e+05  8.3664632e+05  1.6250655e+06  3.1213926e+06  5.9317669e+06  1.1159527e+07  2.0801254e+07  3.8461158e+07  7.0670425e+07  1.2945256e+08  2.3781693e+08
  6.0000000e+03  6.4413388e+00  1.5070328e+01  3.4973070e+01  8.0410741e+01  1.8301557e+02  4.1207401e+02  9.1742774e+02  2.0190019e+03  4.3911712e+03  9.4375002e+03  2.0042787e+04  4.2063753e+04  8.7248886e+04  1.7889288e+05  3.6266915e+05  7.2717258e+05  1.4425103e+06  2.8321692e+06  5.5058114e+06  1.0602991e+07  2.0238046e+07  3.8309700e+07  7.1975812e+07  1.3436463e+08  2.4969138e+08
  6.2500000e+03  4.2762722e+00  1.0180187e+01  2.4006333e+01  5.6037518e+01  1.2942009e+02  2.9562878e+02  6.6775793e+02  1.4913056e+03  3.2928572e+03  7.1887115e+03  1.5518142e+04  3.3128309e+04  6.9953399e+04  1.4613815e+05  3.0211508e+05  6.1823749e+05  1.2526838e+06  2.5140071e+06  4.9988595e+06  9.8514044e+06  1.9248374e+07  3.7299988e+07  7.1713848e+07  1.3685687e+08  2.5939419e+08
  6.5000000e+03  2.8563499e+00  6.8850373e+00  1.6432792e+01  3.8821279e+01  9.0755969e+01  2.0992301e+02  4.8038325e+02  1.0875436e+03  2.4358154e+03  5.3976492e+03  1.1834894e+04  2.5678583e+04  5.5141844e+04  1.1720854e+05  2.4664694e+05  5.1393377e+05  1.0605583e+06  2.1679164e+06  4.3905420e+06  8.8114965e+06  1.7527727e+07  3.4564810e+07  6.7587180e+07  1.3107191e+08  2.5216172e+08
  6.7500000e+03  1.8854272e+00  4.5962441e+00  1.1097929e+01  2.6536332e+01  6.2825720e+01  1.4726001e+02  3.4170072e+02  7.8485421e+02  1.7843700e+03  4.0151837e+03  8.9417619e+03  1.9706651e+04  4.2978799e+04  9.2754538e+04  1.9808639e+05  4.1862587e+05  8.7554581e+05  1.8124200e+06  3.7138740e+06  7.5345630e+06  1.5136864e+07  3.0119783e+07  5.9374635e+07  1.1597929e+08  2.2453827e+08
  7.0000000e+03  1.2037935e+00  2.9748312e+00  7.2872377e+00  1.7692173e+01  4.2563739e+01  1.0144944e+02  2.3949950e+02  5.5985808e+02  1.2954553e+03  2.9660173e+03  6.7167262e+03  1.5038393e+04  3.3277173e+04  7.2754884e+04  1.5712964e+05  3.3519099e+05  7.0627691e+05  1.4701679e+06  3.0239422e+06  6.1480236e+06  1.2360000e+07  2.4581120e+07  4.8380325e+07  9.4275830e+07  1.8195706e+08
  7.2500000e+03  7.3011757e-01  1.8371065e+00  4.5878700e+00  1.1368879e+01  2.7945195e+01  6.8105352e+01  1.6446842e+02  3.9327161e+02  9.3033167e+02  2.1752234e+03  5.0218030e+03  1.1436368e+04  2.5669638e+04  5.6749819e+04  1.2351976e+05  2.6464766e+05  5.5822865e+05  1.1596627e+06  2.3740003e+06  4.7926884e+06  9.5496076e+06  1.8796288e+07  3.6576670e+07  7.0424695e+07  1.3425987e+08
  7.5000000e+03  4.1581190e-01  1.0706064e+00  2.7409305e+00  6.9748448e+00  1.7630941e+01  4.4232375e+01  1.1000689e+02  2.7081869e+02  6.5883128e+02  1.5808736e+03  3.7344484e+03  8.6694942e+03  1.9749068e+04  4.4096267e+04  9.6445549e+04  2.0660124e+05  4.3362807e+05  8.9247031e+05  1.8033369e+06  3.5825326e+06  7.0083353e+06  1.3522036e+07  2.5771119e+07  4.8583881e+07  9.0708723e+07
  7.7500000e+03  2.2116804e-01  5.8546335e-01  1.5451332e+00  4.0632908e+00  1.0636515e+01  2.7673553e+01  7.1411408e+01  1.8229771e+02  4.5900840e+02  1.1364031e+03  2.7580366e+03  6.5440479e+03  1.5146754e+04  3.4147028e+04  7.4920401e+04  1.5997221e+05  3.3264970e+05  6.7455141e+05  1.3364543e+06  2.5930340e+06  4.9395856e+06  9.2630394e+06  1.7144535e+07  3.1395192e+07  5.7006157e+07
  8.0000000e+03  1.1000509e-01  3.0080465e-01  8.2314745e-01  2.2522612e+00  6.1512599e+00  1.6724727e+01  4.5109154e+01  1.2018627e+02  3.1489391e+02  8.0770423e+02  2.0199970e+03  4.9087783e+03  1.1560757e+04  2.6341513e+04  5.8020641e+04  1.2355044e+05  2.5458234e+05  5.0849048e+05  9.8690068e+05  1.8670219e+06  3.4554729e+06  6.2828561e+06  1.1274415e+07  2.0067465e+07  3.5622627e+07
  8.2500000e+03  5.1924808e-02  1.4749497e-01  4.2134856e-01  1.2084429e+00  3.4685201e+00  9.9176235e+00  2.8092826e+01  7.8360311e+01  2.1396998e+02  5.6892811e+02  1.4664683e+03  3.6516533e+03  8.7627038e+03  2.0233691e+04  4.4932714e+04  9.5995443e+04  1.9754667e+05  3.9241222e+05  7.5478064e+05  1.4117597e+06  2.5825633e+06  4.6558333e+06  8.3549477e+06  1.5115392e+07  2.7988550e+07
  8.5000000e+03  2.4640168e-02  7.2916204e-02  2.1817539e-01  6.5766363e-01  1.9859069e+00  5.9651364e+00  1.7689888e+01  5.1421360e+01  1.4558560e+02  3.9937807e+02  1.0572989e+03  2.6935090e+03  6.5912752e+03  1.5481124e+04  3.4904261e+04  7.5626736e+04  1.5781046e+05  3.1825127e+05  6.2350098e+05  1.1956776e+06  2.2684401e+06  4.3190517e+06  8.3979548e+06  1.6977108e+07  3.6167034e+07
  8.7500000e+03  1.3976312e-02  4.2089177e-02  1.2891151e-01  3.9929842e-01  1.2409061e+00  3.8345811e+00  1.1679361e+01  3.4791591e+01  1.0072464e+02  2.8203839e+02  7.6121763e+02  1.9760817e+03  4.9290404e+03  1.1814657e+04  2.7246347e+04  6.0603937e+04  1.3054124e+05  2.7394063e+05  5.6483294e+05  1.1574105e+06  2.3903304e+06  5.0511574e+06  1.1063954e+07  2.5298939e+07  6.0359159e+07
  9.0000000e+03  1.1847680e-02  3.4185157e-02  1.0082907e-01  3.0276069e-01  9.1880214e-01  2.7923301e+00  8.4176944e+00  2.4954126e+01  7.2232181e+01  2.0306723e+02  5.5244924e+02  1.4514107e+03  3.6801300e+03  9.0125960e+03  2.1366126e+04  4.9223588e+04  1.1083629e+05  2.4582799e+05  5.4232389e+05  1.2032927e+06  2.7144936e+06  6.2792260e+06  1.4957682e+07  3.6670573e+07  9.2136813e+07
  9.2500000e+03  1.3894898e-02  3.7472223e-02  1.0296677e-01  2.8822667e-01  8.1946014e-01  2.3529157e+00  6.7717250e+00  1.9377099e+01  5.4715600e+01  1.5152587e+02  4.0970765e+02  1.0787209e+03  2.7630887e+03  6.8910384e+03  1.6775565e+04  4.0032604e+04  9.4198991e+04  2.2014744e+05  5.1507103e+05  1.2156743e+06  2.9119639e+06  7.1033193e+06  1.7654763e+07  4.4624064e+07  1.1433584e+08
  9.5000000e+03  1.8239470e-02  4.6460487e-02  1.1985627e-01  3.1351437e-01  8.3146203e-01  2.2315777e+00  6.0387572e+00  1.6390830e+01  4.4365247e+01  1.1908240e+02  3.1550536e+02  8.2249132e+02  2.1064476e+03  5.3007758e+03  1.3130903e+04  3.2126607e+04  7.7986358e+04  1.8881217e+05  4.5833445e+05  1.1205565e+06  2.7677636e+06  6.9161139e+06  1.7479465e+07  4.4619649e+07  1.1481967e+08
  9.7500000e+03  2.4854579e-02  6.0310250e-02  1.4763736e-01  3.6496452e-01  9.1165449e-01  2.3008893e+00  5.8607925e+00  1.5032324e+01  3.8699829e+01  9.9631990e+01  2.5558383e+02  6.5138082e+02  1.6462177e+03  4.1231620e+03  1.0241750e+04  2.5277579e+04  6.2159491e+04  1.5278174e+05  3.7651121e+05  9.3269257e+05  2.3263794e+06  5.8465427e+06  1.4801617e+07  3.7719282e+07  9.6646940e+07
  1.0000000e+04  3.4662056e-02  8.0511875e-02  1.8825292e-01  4.4337609e-01  1.0524561e+00  2.5188259e+00  6.0777099e+00  1.4776305e+01  3.6152332e+01  8.8854066e+01  2.1892197e+02  5.3963250e+02  1.3286368e+03  3.2644503e+03  8.0030628e+03  1.9589892e+04  4.7939473e+04  1.1747528e+05  2.8874295e+05  7.1284289e+05  1.7692871e+06  4.4166856e+06  1.1087907e+07  2.7981233e+07  7.0937501e+07
  1.0250000e+04  4.8686099e-02  1.0881739e-01  2.4445396e-01  5.5218199e-01  1.2547133e+00  2.8692004e+00  6.6047887e+00  1.5306459e+01  3.5704037e+01  8.3782836e+01  1.9762213e+02  4.6810248e+02  1.1124127e+03  2.6503219e+03  6.3282146e+03  1.5143802e+04  3.6336587e+04  8.7479196e+04  2.1147189e+05  5.1367708e+05  1.2543832e+06  3.0801212e+06  7.6046890e+06  1.8873709e+07  4.7067729e+07
  1.0500000e+04  6.7486402e-02  1.4601493e-01  3.1711539e-01  6.9152055e-01  1.5146145e+00  3.3331654e+00  7.3724751e+00  1.6394343e+01  3.6659034e+01  8.2432752e+01  1.8638600e+02  4.2367305e+02  9.6790503e+02  2.2218008e+03  5.1236014e+03  1.1869632e+04  2.7628577e+04  6.4634991e+04  1.5202866e+05  3.5965711e+05  8.5600625e+05  2.0499855e+06  4.9397376e+06  1.1974823e+07  2.9196676e+07
  1.0750000e+04  9.0851696e-02  1.9141231e-01  4.0436199e-01  8.5669287e-01  1.8206886e+00  3.8825153e+00  8.3095272e+00  1.7854445e+01  3.8524786e+01  8.3495487e+01  1.8180330e+02  3.9776246e+02  8.7454143e+02  1.9324873e+03  4.2922449e+03  9.5841838e+03  2.1519211e+04  4.8598364e+04  1.1042843e+05  2.5254838e+05  5.8148162e+05  1.3481730e+06  3.1479035e+06  7.4022860e+06  1.7528278e+07
  1.1000000e+04  1.1776286e-01  2.4289282e-01  5.0189061e-01  1.0390874e+00  2.1558158e+00  4.4829482e+00  9.3452806e+00  1.9533905e+01  4.0949776e+01  8.6115524e+01  1.8171156e+02  3.8482161e+02  8.1812148e+02  1.7464928e+03  3.7447537e+03  8.0670772e+03  1.7465882e+04  3.8019625e+04  8.3242214e+04  1.8339209e+05  4.0672348e+05  9.0837954e+05  2.0437614e+06  4.6334346e+06  1.0586840e+07
  1.1250000e+04  1.4663674e-01  2.9745542e-01  6.0410148e-01  1.2284130e+00  2.5013109e+00  5.1006686e+00  1.0417799e+01  2.1314427e+01  4.3690409e+01  8.9739930e+01  1.8473598e+02  3.8121434e+02  7.8873713e+02  1.6366016e+03  3.4065494e+03  7.1149936e+03  1.4916459e+04  3.1401455e+04  6.6405882e+04  1.4113455e+05  3.0160708e+05  6.4841327e+05  1.4030996e+06  3.0575378e+06  6.7129240e+06
  1.1500000e+04  1.7571179e-01  3.5193693e-01  7.0540885e-01  1.4149815e+00  2.8406563e+00  5.7078413e+00  1.1479976e+01  2.3113219e+01  4.6587452e+01  9.4017786e+01  1.8999068e+02  3.8449465e+02  7.7937287e+02  1.5825825e+03  3.2198239e+03  6.5649658e+03  1.3417478e+04  2.7495817e+04  5.6514104e+04  1.1654625e+05  2.4125068e+05  5.0149476e+05  1.0473979e+06  2.1990954e+06  4.6443034e+06
  1.1750000e+04  2.0336486e-01  4.0354435e-01  8.0110010e-01  1.5910140e+00  3.1613003e+00  6.2845817e+00  1.2500344e+01  2.4878294e+01  4.9544179e+01  9.8732703e+01  1.9690272e+02  3.9300139e+02  7.8509371e+02  1.5699004e+03  3.1426046e+03  6.2983262e+03  1.2639718e+04  2.5403616e+04  5.1142327e+04  1.0315422e+05  2.0850957e+05  4.2249998e+05  8.5849799e+05  1.7499969e+06  3.5803052e+06
  1.2000000e+04  2.2834694e-01  4.5023032e-01  8.8791446e-01  1.7514993e+00  3.4558703e+00  6.8205665e+00  1.3465010e+01  2.6590389e+01  5.2527184e+01  1.0379963e+02  2.0519743e+02  4.0581338e+02  8.0292477e+02  1.5894081e+03  3.1479572e+03  6.2384844e+03  1.2371270e+04  2.4550896e+04  4.8761503e+04  9.6936964e+04  1.9291181e+05  3.8437044e+05  7.6690204e+05  1.5325694e+06  3.0683141e+06
  1.2250000e+04  2.5029938e-01  4.9162281e-01  9.6572709e-01  1.8972712e+00  3.7278608e+00  7.3256849e+00  1.4397873e+01  2.8301772e+01  5.5641416e+01  1.0940987e+02  2.1517595e+02  4.2326815e+02  8.3277670e+02  1.6388533e+03  3.2259575e+03  6.3517590e+03  1.2510008e+04  2.4646922e+04  4.8576360e+04  9.5777378e+04  1.8892900e+05  3.7287071e+05  7.3633141e+05  1.4550625e+06  2.8775895e+06
