#Table Version   6
#[Z/Z_SOLAR]=-2.50 [A/Fe]= 0.0 A09      | VALID RANGE:  105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105
#Teff(K)| Pgas@  log g =-2.00   log g =-1.50   log g =-1.00   log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00   log g = 6.50   log g = 7.00   log g = 7.50   log g = 8.00   log g = 8.50   log g = 9.00   log g = 9.50   log g =10.00 
  2.0000000e+03  1.2881229e+02  3.6176888e+02  1.0160266e+03  2.8535073e+03  8.0140654e+03  2.2507475e+04  6.3212165e+04  1.7753115e+05  4.9859561e+05  1.4003041e+06  3.9327491e+06  1.1045112e+07  3.1020160e+07  8.7120011e+07  2.4467625e+08  6.8717240e+08  1.9299213e+09  5.4201773e+09  1.5222549e+10  4.2752477e+10  1.2007018e+11  3.3721669e+11  9.4707192e+11  2.6598482e+12  7.4701745e+12
  2.1000000e+03  1.4644223e+02  3.9616873e+02  1.0744068e+03  2.9204189e+03  7.9549484e+03  2.1711142e+04  5.9364199e+04  1.6259660e+05  4.4606199e+05  1.2255499e+06  3.3719167e+06  9.2895191e+06  2.5623776e+07  7.0760633e+07  1.9561686e+08  5.4132259e+08  1.4993829e+09  4.1566985e+09  1.1532909e+10  3.2022844e+10  8.8979436e+10  2.4740444e+11  6.8832612e+11  1.9161612e+12  5.3370865e+12
  2.2000000e+03  1.6592531e+02  4.3319986e+02  1.1358703e+03  2.9896332e+03  7.8960396e+03  2.0921666e+04  5.5602618e+04  1.4819605e+05  3.9605870e+05  1.0612281e+06  2.8505765e+06  7.6750767e+06  2.0711529e+07  5.6011356e+07  1.5178576e+08  4.1213060e+08  1.1211062e+09  3.0551124e+09  8.3394589e+09  2.2800370e+10  6.2431487e+10  1.7119424e+11  4.7007350e+11  1.2924171e+12  3.5577143e+12
  2.3000000e+03  1.9080064e+02  4.7796151e+02  1.2069165e+03  3.0671966e+03  7.8369917e+03  2.0119399e+04  5.1873284e+04  1.3427531e+05  3.4887293e+05  9.0964883e+05  2.3798329e+06  6.2463379e+06  1.6445883e+07  4.3430256e+07  1.1502303e+08  3.0548542e+08  8.1351794e+08  2.1720703e+09  5.8139473e+09  1.5599854e+10  4.1955175e+10  1.1309189e+11  3.0551083e+11  8.2707210e+11  2.2436776e+12
  2.4000000e+03  2.2805290e+02  5.4011898e+02  1.2995722e+03  3.1643239e+03  7.7770969e+03  1.9260726e+04  4.8012139e+04  1.2036844e+05  3.0333134e+05  7.6805064e+05  1.9534313e+06  4.9892911e+06  1.2794653e+07  3.2938050e+07  8.5111460e+07  2.2072325e+08  5.7442555e+08  1.5000534e+09  3.9303815e+09  1.0332186e+10  2.7249746e+10  7.2100848e+10  1.9139830e+11  5.0979252e+11  1.3626492e+12
  2.5000000e+03  2.8633892e+02  6.3054940e+02  1.4256188e+03  3.2891106e+03  7.7088278e+03  1.8295019e+04  4.3865482e+04  1.0608672e+05  2.5849507e+05  6.3407588e+05  1.5648343e+06  3.8836572e+06  9.6897663e+06  2.4298239e+07  6.1226769e+07  1.5500695e+08  3.9424211e+08  1.0072952e+09  2.5854522e+09  6.6670998e+09  1.7275630e+10  4.4994669e+10  1.1785189e+11  3.1067278e+11  8.2525985e+11
  2.8000000e+03  3.6615681e+02  7.4707378e+02  1.5767508e+03  3.4215755e+03  7.5943014e+03  1.7167932e+04  3.9399991e+04  9.1568969e+04  2.1511736e+05  5.1013882e+05  1.2199871e+06  2.9400970e+06  7.1364497e+06  1.7440583e+07  4.2904224e+07  1.0623170e+08  2.6474720e+08  6.6420217e+08  1.6780446e+09  4.2715022e+09  1.0964850e+10  2.8419861e+10  7.4514597e+10  1.9815550e+11  5.3643215e+11
  3.0000000e+03  4.4662843e+02  8.5707240e+02  1.7031175e+03  3.4898067e+03  7.3429536e+03  1.5804555e+04  3.4680738e+04  7.7373117e+04  1.7511728e+05  4.0138474e+05  9.3051696e+05  2.1797713e+06  5.1563333e+06  1.2312497e+07  2.9672923e+07  7.2180360e+07  1.7728306e+08  4.3992364e+08  1.1040217e+09  2.8060343e+09  7.2376353e+09  1.8996352e+10  5.0916757e+10  1.3999594e+11  3.9696972e+11
  3.2000000e+03  4.8997254e+02  9.0582129e+02  1.7284454e+03  3.3955329e+03  6.8487602e+03  1.4144366e+04  2.9834131e+04  6.4123388e+04  1.4017090e+05  3.1114409e+05  7.0049877e+05  1.5981690e+06  3.6929524e+06  8.6409161e+06  2.0474514e+07  4.9148280e+07  1.1961153e+08  2.9547175e+08  7.4208621e+08  1.8990952e+09  4.9661470e+09  1.3316032e+10  3.6758661e+10  1.0492475e+11  3.1105151e+11
  3.5000000e+03  4.7138319e+02  8.5905871e+02  1.6091116e+03  3.0919959e+03  6.0829999e+03  1.2228510e+04  2.5073718e+04  5.2355955e+04  1.1118683e+05  2.3991422e+05  5.2564166e+05  1.1689797e+06  2.6387015e+06  6.0471199e+06  1.4077234e+07  3.3316974e+07  8.0261983e+07  1.9712129e+08  4.9454486e+08  1.2705562e+09  3.3524192e+09  9.1141456e+09  2.5619118e+10  7.4707149e+10  2.2666497e+11
  3.7500000e+03  3.9897408e+02  7.3000937e+02  1.3682517e+03  2.6215293e+03  5.1237459e+03  1.0195509e+04  2.0619028e+04  4.2321946e+04  8.8081511e+04  1.8578490e+05  3.9712923e+05  8.6066274e+05  1.8926597e+06  4.2282293e+06  9.6099815e+06  2.2258643e+07  5.2639430e+07  1.2737134e+08  3.1606957e+08  8.0637797e+08  2.1208716e+09  5.7667169e+09  1.6254654e+10  4.7614918e+10  1.4524105e+11
  4.0000000e+03  3.0047562e+02  5.6004813e+02  1.0670593e+03  2.0724448e+03  4.0915235e+03  8.1892370e+03  1.6578907e+04  3.3887160e+04  6.9848989e+04  1.4511437e+05  3.0393816e+05  6.4239998e+05  1.3724577e+06  2.9707481e+06  6.5331951e+06  1.4643605e+07  3.3564140e+07  7.8931542e+07  1.9105507e+08  4.7741177e+08  1.2349229e+09  3.3148656e+09  9.2534030e+09  2.6909469e+10  8.1624315e+10
  4.2500000e+03  2.0406520e+02  3.9201132e+02  7.6891756e+02  1.5338983e+03  3.0997876e+03  6.3224256e+03  1.2973646e+04  2.6715430e+04  5.5108059e+04  1.1376873e+05  2.3506334e+05  4.8654135e+05  1.0108393e+06  2.1143068e+06  4.4698814e+06  9.5972889e+06  2.1040670e+07  4.7363947e+07  1.1005745e+08  2.6520531e+08  6.6515656e+08  1.7409170e+09  4.7628503e+09  1.3632612e+10  4.0835847e+10
  4.5000000e+03  1.2716434e+02  2.5416809e+02  5.1814743e+02  1.0715199e+03  2.2360950e+03  4.6869047e+03  9.8282148e+03  2.0554687e+04  4.2779314e+04  8.8485241e+04  1.8182122e+05  3.7135739e+05  7.5509419e+05  1.5327205e+06  3.1184066e+06  6.3940527e+06  1.3303422e+07  2.8311115e+07  6.2151476e+07  1.4189535e+08  3.3915977e+08  8.5251498e+08  2.2582562e+09  6.3049449e+09  1.8533118e+10
  4.7500000e+03  7.4451306e+01  1.5595430e+02  3.3241442e+02  7.1598908e+02  1.5487528e+03  3.3469036e+03  7.1958882e+03  1.5343943e+04  3.2376362e+04  6.7505957e+04  1.3899425e+05  2.8264496e+05  5.6817358e+05  1.1311927e+06  2.2373679e+06  4.4162287e+06  8.7545560e+06  1.7577080e+07  3.6120260e+07  7.6884118e+07  1.7154864e+08  4.0520622e+08  1.0192274e+09  2.7339418e+09  7.8038573e+09
  5.0000000e+03  4.2224261e+01  9.3050374e+01  2.0766494e+02  4.6571848e+02  1.0429033e+03  2.3204971e+03  5.1112385e+03  1.1115097e+04  2.3819549e+04  5.0242380e+04  1.0424521e+05  2.1274271e+05  4.2723352e+05  8.4519532e+05  1.6502020e+06  3.1890745e+06  6.1266481e+06  1.1774807e+07  2.2841886e+07  4.5266997e+07  9.3028189e+07  2.0154673e+08  4.6715557e+08  1.1691769e+09  3.1650767e+09
  5.2500000e+03  2.4033431e+01  5.5609464e+01  1.2937291e+02  3.0043475e+02  6.9265652e+02  1.5792232e+03  3.5507525e+03  7.8580312e+03  1.7094930e+04  3.6529098e+04  7.6640637e+04  1.5787328e+05  3.1938397e+05  6.3497154e+05  1.2419430e+06  2.3937145e+06  4.5575455e+06  8.6030274e+06  1.6186901e+07  3.0599184e+07  5.8786208e+07  1.1660965e+08  2.4360002e+08  5.4717392e+08  1.3429236e+09
  5.5000000e+03  1.4191187e+01  3.4153401e+01  8.1997077e+01  1.9531350e+02  4.5981124e+02  1.0670991e+03  2.4369189e+03  5.4699668e+03  1.2059334e+04  2.6102953e+04  5.5466662e+04  1.1571710e+05  2.3709610e+05  4.7735676e+05  9.4511742e+05  1.8420773e+06  3.5393713e+06  6.7171448e+06  1.2626032e+07  2.3598424e+07  4.4114210e+07  8.3216440e+07  1.6053663e+08  3.2283537e+08  6.9349691e+08
  5.7500000e+03  8.8591893e+00  2.1853219e+01  5.3453638e+01  1.2921259e+02  3.0797214e+02  7.2267508e+02  1.6679255e+03  3.7840277e+03  8.4360928e+03  1.8479891e+04  3.9780409e+04  8.4170554e+04  1.7512325e+05  3.5846846e+05  7.2239015e+05  1.4343640e+06  2.8089108e+06  5.4315055e+06  1.0385796e+07  1.9674856e+07  3.7020617e+07  6.9445080e+07  1.3060857e+08  2.4852766e+08  4.8547930e+08
  6.0000000e+03  5.8346374e+00  1.4545133e+01  3.5846750e+01  8.7179189e+01  2.0896707e+02  4.9328793e+02  1.1462232e+03  2.6210348e+03  5.8976597e+03  1.3059437e+04  2.8464145e+04  6.1086007e+04  1.2913398e+05  2.6904173e+05  5.5276410e+05  1.1207122e+06  2.2439084e+06  4.4404312e+06  8.6924082e+06  1.6849326e+07  3.2378804e+07  6.1775956e+07  1.1726233e+08  2.2215906e+08  4.2232300e+08
  6.2500000e+03  3.9800475e+00  9.9399412e+00  2.4524906e+01  5.9724424e+01  1.4346467e+02  3.3979084e+02  7.9332920e+02  1.8257187e+03  4.1416121e+03  9.2623796e+03  2.0426601e+04  4.4435287e+04  9.5386368e+04  2.0214551e+05  4.2313013e+05  8.7527146e+05  1.7902209e+06  3.6224845e+06  7.2558128e+06  1.4394340e+07  2.8299528e+07  5.5173301e+07  1.0675312e+08  2.0521120e+08  3.9257506e+08
  6.5000000e+03  2.7423495e+00  6.8452503e+00  1.6887869e+01  4.1159841e+01  9.9070963e+01  2.3545374e+02  5.5246855e+02  1.2798122e+03  2.9271763e+03  6.6110739e+03  1.4746794e+04  3.2495944e+04  7.0759950e+04  1.5230242e+05  3.2413815e+05  6.8234755e+05  1.4212894e+06  2.9302724e+06  5.9817049e+06  1.2094027e+07  2.4225846e+07  4.8093018e+07  9.4650491e+07  1.8474561e+08  3.5783199e+08
