#Table Version   6
#[Z/Z_SOLAR]= 0.00 [A/Fe]= 0.0 A09     | VALID RANGE:   25  25  25  25  25  25  25  25  25  25  25
#Teff(K)| Pgas@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  1.5000000e+03  7.3085804e+04  3.3168087e+05  1.5052472e+06  6.8311719e+06  3.1001493e+07  1.4069220e+08  6.3849486e+08  2.8976425e+09  1.3150195e+10  5.9678732e+10  2.7083637e+11
  1.6000000e+03  6.0373491e+04  2.5969372e+05  1.1170602e+06  4.8049817e+06  2.0668401e+07  8.8904151e+07  3.8241700e+08  1.6449486e+09  7.0756686e+09  3.0435654e+10  1.3091752e+11
  1.7000000e+03  5.0453608e+04  2.0636995e+05  8.4411321e+05  3.4526689e+06  1.4122421e+07  5.7764817e+07  2.3627493e+08  9.6643327e+08  3.9529936e+09  1.6168895e+10  6.6135490e+10
  1.8000000e+03  4.2598586e+04  1.6616456e+05  6.4815909e+05  2.5282780e+06  9.8620693e+06  3.8469033e+07  1.5005639e+08  5.8532584e+08  2.2831840e+09  8.9060295e+09  3.4739803e+10
  1.9000000e+03  3.6297185e+04  1.3536918e+05  5.0485502e+05  1.8828405e+06  7.0219932e+06  2.6188298e+07  9.7668414e+07  3.6425121e+08  1.3584632e+09  5.0663447e+09  1.8894769e+10
  2.0000000e+03  3.1182976e+04  1.1144699e+05  3.9830807e+05  1.4235407e+06  5.0876903e+06  1.8183247e+07  6.4986361e+07  2.3225924e+08  8.3008731e+08  2.9667063e+09  1.0602916e+10
  2.1000000e+03  2.6988628e+04  9.2627110e+04  3.1790358e+05  1.0910703e+06  3.7446396e+06  1.2851900e+07  4.4108739e+07  1.5138469e+08  5.1956424e+08  1.7831856e+09  6.1200343e+09
  2.2000000e+03  2.3515983e+04  7.7650734e+04  2.5640589e+05  8.4666272e+05  2.7957149e+06  9.2315645e+06  3.0483003e+07  1.0065612e+08  3.3237061e+08  1.0975013e+09  3.6239942e+09
  2.3000000e+03  2.0616024e+04  6.5608224e+04  2.0879094e+05  6.6445415e+05  2.1145521e+06  6.7293288e+06  2.1415347e+07  6.8151981e+07  2.1688617e+08  6.9021632e+08  2.1965373e+09
  2.4000000e+03  1.8175221e+04  5.5832401e+04  1.7151137e+05  5.2686519e+05  1.6184754e+06  4.9717891e+06  1.5272822e+07  4.6916531e+07  1.4412273e+08  4.4273014e+08  1.3600212e+09
  2.5000000e+03  1.6106042e+04  4.7827230e+04  1.4202396e+05  4.2174315e+05  1.2523751e+06  3.7189543e+06  1.1043513e+07  3.2793944e+07  9.7382308e+07  2.8917881e+08  8.5872256e+08
  2.8000000e+03  1.1515037e+04  3.1123327e+04  8.4121442e+04  2.2736698e+05  6.1453706e+05  1.6609967e+06  4.4894119e+06  1.2134172e+07  3.2796751e+07  8.8644443e+07  2.3959194e+08
  3.0000000e+03  9.3875221e+03  2.3960352e+04  6.1155487e+04  1.5609092e+05  3.9840050e+05  1.0168622e+06  2.5954002e+06  6.6244001e+06  1.6907865e+07  4.3154989e+07  1.1014714e+08
  3.2000000e+03  7.7721794e+03  1.9058104e+04  4.6732239e+04  1.1459178e+05  2.8098967e+05  6.8901273e+05  1.6895231e+06  4.1428672e+06  1.0158695e+07  2.4910061e+07  6.1081778e+07
  3.5000000e+03  7.3742263e+03  1.4638089e+04  3.0631806e+04  6.7574235e+04  1.5714840e+05  3.8526459e+05  9.9570003e+05  2.7128030e+06  7.7916294e+06  2.3591667e+07  7.5302476e+07
  3.7500000e+03  6.0828228e+03  1.1797098e+04  2.3994104e+04  5.1179170e+04  1.1448308e+05  2.6856457e+05  6.6071699e+05  1.7046750e+06  4.6124010e+06  1.3087958e+07  3.8947183e+07
  4.0000000e+03  4.8571684e+03  9.5887147e+03  1.9541205e+04  4.1110808e+04  8.9284152e+04  2.0017344e+05  4.6328929e+05  1.1069086e+06  2.7301404e+06  6.9513940e+06  1.8271430e+07
  4.2500000e+03  3.8774793e+03  7.8533724e+03  1.6186247e+04  3.3948408e+04  7.2456261e+04  1.5736774e+05  3.4780734e+05  7.8224905e+05  1.7903363e+06  4.1697254e+06  9.8824257e+06
  4.5000000e+03  3.1871966e+03  6.5009275e+03  1.3427862e+04  2.8086882e+04  5.9492917e+04  1.2761217e+05  2.7719411e+05  6.0973482e+05  1.3581980e+06  3.0637284e+06  6.9984608e+06
  4.7500000e+03  2.6541529e+03  5.4199442e+03  1.1193266e+04  2.3378248e+04  4.9381039e+04  1.0548765e+05  2.2789572e+05  4.9792488e+05  1.1002329e+06  2.4586605e+06  5.5565553e+06
  5.0000000e+03  2.2015748e+03  4.5141333e+03  9.3497977e+03  1.9562166e+04  4.1344578e+04  8.8268769e+04  1.9036297e+05  4.1471026e+05  9.1262839e+05  2.0287571e+06  4.5556782e+06
  5.2500000e+03  2.4045239e+03  4.4038556e+03  8.3522185e+03  1.6403458e+04  3.3360592e+04  7.0258179e+04  1.5322330e+05  3.4603301e+05  8.0923569e+05  1.9597349e+06  4.9145573e+06
  5.5000000e+03  1.5027381e+03  3.1022584e+03  6.4663723e+03  1.3609166e+04  2.8919472e+04  6.2049357e+04  1.3442259e+05  2.9403249e+05  6.4939124e+05  1.4481235e+06  3.2605648e+06
  5.7500000e+03  1.0573277e+03  2.3051190e+03  5.0264242e+03  1.0962434e+04  2.3913155e+04  5.2173361e+04  1.1385256e+05  2.4849569e+05  5.4247154e+05  1.1844510e+06  2.5866598e+06
  6.0000000e+03  7.4628172e+02  1.7001997e+03  3.8489710e+03  8.6583864e+03  1.9354274e+04  4.2989698e+04  9.4885425e+04  2.0810486e+05  4.5353680e+05  9.8217856e+05  2.1135667e+06
#Teff(K)|    T@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00
  1.5000000E+03  2.8639800E+03  2.8639016E+03  2.8638999E+03  2.8638999E+03  2.8638999E+03  2.8638999E+03  2.8638999E+03  2.8638999E+03  2.8638999E+03  2.8638999E+03  2.8638999E+03
  1.6000000E+03  2.9643379E+03  2.9639089E+03  2.9639001E+03  2.9638999E+03  2.9638999E+03  2.9638999E+03  2.9638999E+03  2.9638999E+03  2.9638999E+03  2.9638999E+03  2.9638999E+03
  1.7000000E+03  3.0662515E+03  3.0639497E+03  3.0639009E+03  3.0638999E+03  3.0638999E+03  3.0638999E+03  3.0638999E+03  3.0638999E+03  3.0638999E+03  3.0638999E+03  3.0638999E+03
  1.8000000E+03  3.1760020E+03  3.1641736E+03  3.1639055E+03  3.1638999E+03  3.1638999E+03  3.1638999E+03  3.1638999E+03  3.1638999E+03  3.1638999E+03  3.1638999E+03  3.1638999E+03
  1.9000000E+03  3.3207446E+03  3.2653794E+03  3.2639309E+03  3.2639004E+03  3.2638999E+03  3.2639001E+03  3.2638999E+03  3.2638999E+03  3.2638999E+03  3.2638999E+03  3.2638999E+03
  2.0000000E+03  3.5872944E+03  3.3716318E+03  3.3640708E+03  3.3639033E+03  3.3639004E+03  3.3639001E+03  3.3638999E+03  3.3638999E+03  3.3638999E+03  3.3638999E+03  3.3638999E+03
  2.1000000E+03  4.1212144E+03  3.5014062E+03  3.4648286E+03  3.4639192E+03  3.4639028E+03  3.4639006E+03  3.4639001E+03  3.4638999E+03  3.4639001E+03  3.4639001E+03  3.4638999E+03
  2.2000000E+03  4.9192065E+03  3.7204360E+03  3.5688127E+03  3.5640063E+03  3.5639124E+03  3.5639031E+03  3.5639009E+03  3.5639004E+03  3.5639001E+03  3.5638999E+03  3.5638999E+03
  2.3000000E+03  5.7038242E+03  4.1679761E+03  3.6883701E+03  3.6644817E+03  3.6639563E+03  3.6639114E+03  3.6639031E+03  3.6639011E+03  3.6639004E+03  3.6639001E+03  3.6639001E+03
  2.4000000E+03  6.2605557E+03  4.9113638E+03  3.8714263E+03  3.7670078E+03  3.7641514E+03  3.7639426E+03  3.7639104E+03  3.7639033E+03  3.7639014E+03  3.7639006E+03  3.7639001E+03
  2.5000000E+03  6.6007036E+03  5.7299673E+03  4.2401016E+03  3.8797168E+03  3.8650146E+03  3.8640576E+03  3.8639336E+03  3.8639094E+03  3.8639033E+03  3.8639014E+03  3.8639004E+03
  2.8000000E+03  7.0783706E+03  6.9848467E+03  6.4319199E+03  4.9231416E+03  4.2443838E+03  4.1716440E+03  4.1649883E+03  4.1641201E+03  4.1639585E+03  4.1639194E+03  4.1639072E+03
  3.0000000E+03  7.2860908E+03  7.2699927E+03  7.1522979E+03  6.4893584E+03  5.0866040E+03  4.4563232E+03  4.3748022E+03  4.3656768E+03  4.3642944E+03  4.3640107E+03  4.3639375E+03
