#Table Version   6
#[Z/Z_SOLAR]=-0.50 [A/Fe]= 0.0 A09      | VALID RANGE:  105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105
#Teff(K)| Pgas@  log g =-2.00   log g =-1.50   log g =-1.00   log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00   log g = 6.50   log g = 7.00   log g = 7.50   log g = 8.00   log g = 8.50   log g = 9.00   log g = 9.50   log g =10.00 
  2.0000000e+03  7.5024649e-01  2.2830940e+00  6.9477407e+00  2.1142845e+01  6.4340322e+01  1.9579565e+02  5.9583068e+02  1.8131873e+03  5.5177560e+03  1.6791222e+04  5.1097791e+04  1.5549697e+05  4.7319675e+05  1.4399969e+06  4.3820909e+06  1.3335251e+07  4.0580838e+07  1.2349257e+08  3.7580335e+08  1.1436166e+09  3.4801685e+09  1.0590588e+10  3.2228486e+10  9.8075317e+10  2.9845547e+11
  2.1000000e+03  1.8683390e+00  4.9240554e+00  1.3175889e+01  3.5732187e+01  9.8068005e+01  2.7204566e+02  7.6195692e+02  2.1526527e+03  6.1290971e+03  1.7573507e+04  5.0705129e+04  1.4712860e+05  4.2908154e+05  1.2570407e+06  3.6975715e+06  1.0915723e+07  3.2328593e+07  9.6021014e+07  2.8592603e+08  8.5334813e+08  2.5519634e+09  7.6454109e+09  2.2941340e+10  6.8936858e+10  2.0741055e+11
  2.2000000e+03  3.6846786e+00  8.9023473e+00  2.1947468e+01  5.5081727e+01  1.4046211e+02  3.6339417e+02  9.5260532e+02  2.5275255e+03  6.7813935e+03  1.8383330e+04  5.0314021e+04  1.3893750e+05  3.8685072e+05  1.0854400e+06  3.0673649e+06  8.7255465e+06  2.4972856e+07  7.1875847e+07  2.0793984e+08  6.0442640e+08  1.7645003e+09  5.1713654e+09  1.5210292e+10  4.4882154e+10  1.3282498e+11
  2.3000000e+03  7.3470269e+00  1.6263625e+01  3.6907250e+01  8.5630308e+01  2.0268903e+02  4.8859876e+02  1.1976920e+03  2.9815843e+03  7.5294699e+03  1.9268989e+04  4.9927570e+04  1.3087603e+05  3.4682062e+05  9.2852051e+05  2.5099238e+06  6.8465403e+06  1.8836324e+07  5.2241782e+07  1.4599097e+08  4.1087959e+08  1.1640783e+09  3.3184215e+09  9.5141460e+09  2.7422667e+10  7.9427408e+10
  2.4000000e+03  1.4713290e+01  3.0097847e+01  6.3200238e+01  1.3589349e+02  2.9863847e+02  6.6974064e+02  1.5309062e+03  3.5629815e+03  8.4350232e+03  2.0294332e+04  4.9579482e+04  1.2288653e+05  3.0876903e+05  7.8588915e+05  2.0247874e+06  5.2771914e+06  1.3904887e+07  3.7019272e+07  9.9529943e+07  2.7010092e+08  7.3949172e+08  2.0415907e+09  5.6810403e+09  1.5926048e+10  4.4958055e+10
  2.5000000e+03  2.7407937e+01  5.2802852e+01  1.0429816e+02  2.1073514e+02  4.3477738e+02  9.1474926e+02  1.9608565e+03  4.2797958e+03  9.5067868e+03  2.1483880e+04  4.9373993e+04  1.1534841e+05  2.7380832e+05  6.6003710e+05  1.6147968e+06  4.0070158e+06  1.0078543e+07  2.5678543e+07  6.6232286e+07  1.7283773e+08  4.5607063e+08  1.2162344e+09  3.2761999e+09  8.9099345e+09  2.4452175e+10
  2.8000000e+03  4.4334135e+01  8.2130805e+01  1.5571172e+02  3.0141714e+02  5.9458854e+02  1.1935511e+03  2.4356383e+03  5.0498554e+03  1.0634834e+04  2.2749216e+04  4.9437001e+04  1.0916481e+05  2.4498928e+05  5.5885607e+05  1.2958130e+06  3.0536008e+06  7.3111451e+06  1.7778011e+07  4.3881949e+07  1.0988735e+08  2.7900414e+08  7.1782082e+08  1.8703064e+09  4.9324409e+09  1.3159502e+10
  3.0000000e+03  5.9887005e+01  1.0882634e+02  2.0205815e+02  3.8235533e+02  7.3579635e+02  1.4374032e+03  2.8467964e+03  5.7110217e+03  1.1600069e+04  2.3854801e+04  4.9680236e+04  1.0483908e+05  2.2434307e+05  4.8720288e+05  1.0746598e+06  2.4094191e+06  5.4938691e+06  1.2744449e+07  3.0081059e+07  7.2235890e+07  1.7643377e+08  4.3813225e+08  1.1056543e+09  2.8340851e+09  7.3754221e+09
  3.2000000e+03  6.7002515e+01  1.2170174e+02  2.2553556e+02  4.2520502e+02  8.1344732e+02  1.5756640e+03  3.0849843e+03  6.0975559e+03  1.2157301e+04  2.4443496e+04  4.9566931e+04  1.0142819e+05  2.0963176e+05  4.3814059e+05  9.2736794e+05  1.9909104e+06  4.3420630e+06  9.6343423e+06  2.1775717e+07  5.0183644e+07  1.1799475e+08  2.8314387e+08  6.9344873e+08  1.7331019e+09  4.4191392e+09
  3.5000000e+03  6.3870079e+01  1.1777865e+02  2.2116167e+02  4.2148818e+02  8.1285580e+02  1.5823885e+03  3.1032551e+03  6.1217645e+03  1.2135372e+04  2.4161024e+04  4.8309360e+04  9.7042804e+04  1.9600347e+05  3.9853705e+05  8.1712327e+05  1.6927144e+06  3.5509308e+06  7.5617628e+06  1.6386984e+07  3.6223071e+07  8.1840906e+07  1.8930531e+08  4.4881087e+08  1.0913668e+09  2.7227913e+09
