#Table Version   6
#[Z/Z_SOLAR]=-5.00 [A/Fe]= 0.0 A09      | VALID RANGE:  105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105
#Teff(K)| Pgas@  log g =-2.00   log g =-1.50   log g =-1.00   log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00   log g = 6.50   log g = 7.00   log g = 7.50   log g = 8.00   log g = 8.50   log g = 9.00   log g = 9.50   log g =10.00 
  2.0000000e+03  6.2259559e+02  1.5159511e+03  3.6911727e+03  8.9875955e+03  2.1883797e+04  5.3284616e+04  1.2974212e+05  3.1590766e+05  7.6920008e+05  1.8729168e+06  4.5603444e+06  1.1103932e+07  2.7036842e+07  6.5831708e+07  1.6029290e+08  3.9029541e+08  9.5032599e+08  2.3139382e+09  5.6341827e+09  1.3718609e+10  3.3403290e+10  8.1333302e+10  1.9803756e+11  4.8219947e+11  1.1741022e+12
  2.1000000e+03  6.3703059e+02  1.5357727e+03  3.7032558e+03  8.9315826e+03  2.1545626e+04  5.1984512e+04  1.2545014e+05  3.0279520e+05  7.3098044e+05  1.7649803e+06  4.2623556e+06  1.0295174e+07  2.4870833e+07  6.0092205e+07  1.4521639e+08  3.5097923e+08  8.4842618e+08  2.0512199e+09  4.9599188e+09  1.1994988e+10  2.9012606e+10  7.0183365e+10  1.6980132e+11  4.1087190e+11  9.9432774e+11
  2.2000000e+03  6.5186653e+02  1.5560232e+03  3.7155494e+03  8.8751192e+03  2.1206323e+04  5.0686608e+04  1.2118671e+05  2.8983323e+05  6.9337884e+05  1.6592819e+06  3.9718702e+06  9.5102812e+06  2.2777884e+07  5.4569938e+07  1.3077117e+08  3.1346390e+08  7.5158590e+08  1.8025364e+09  4.3241692e+09  1.0376091e+10  2.4904444e+10  5.9790493e+10  1.4358225e+11  3.4489383e+11  8.2868841e+11
  2.3000000e+03  6.6823775e+02  1.5780680e+03  3.7288841e+03  8.8158335e+03  2.0852631e+04  4.9346746e+04  1.1682806e+05  2.7670691e+05  6.5564952e+05  1.5541691e+06  3.6854988e+06  8.7430516e+06  2.0748964e+07  4.9260038e+07  1.1699219e+08  2.7796002e+08  6.6064998e+08  1.5708171e+09  3.7363535e+09  8.8908640e+09  2.1165221e+10  5.0407989e+10  1.2011513e+11  2.8638911e+11  6.8334281e+11
  2.4000000e+03  6.8885057e+02  1.6050454e+03  3.7450804e+03  8.7482934e+03  2.0454661e+04  4.7864440e+04  1.1208507e+05  2.6264586e+05  6.1583312e+05  1.4448158e+06  3.3916432e+06  7.9661897e+06  1.8721099e+07  4.4020244e+07  1.0356602e+08  2.4379968e+08  5.7426516e+08  1.3535527e+09  3.1926546e+09  7.5368470e+09  1.7809849e+10  4.2138011e+10  9.9862568e+10  2.3720060e+11  5.6525011e+11
  2.5000000e+03  7.1846070e+02  1.6416650e+03  3.7651536e+03  8.6594463e+03  1.9958705e+04  4.6081145e+04  1.0654569e+05  2.4665141e+05  5.7162067e+05  1.3260829e+06  3.0792799e+06  7.1570416e+06  1.6650442e+07  3.8773952e+07  9.0386820e+07  2.1094433e+08  4.9294710e+08  1.1537455e+09  2.7055549e+09  6.3602713e+09  1.5000992e+10  3.5539925e+10  8.4733884e+10  2.0385908e+11  4.9693888e+11
  2.8000000e+03  7.6098431e+02  1.6886372e+03  3.7789037e+03  8.5100931e+03  1.9256896e+04  4.3738348e+04  9.9642046e+04  2.2756579e+05  5.2084447e+05  1.1944105e+06  2.7440716e+06  6.3157337e+06  1.4563517e+07  3.3650449e+07  7.7931697e+07  1.8097348e+08  4.2165407e+08  9.8654729e+08  2.3208301e+09  5.4992895e+09  1.3158356e+10  3.1904734e+10  7.8767927e+10  1.9925939e+11  5.2052747e+11
  3.0000000e+03  8.0835262e+02  1.7262883e+03  3.7414809e+03  8.2026829e+03  1.8145148e+04  4.0424903e+04  9.0580552e+04  2.0394110e+05  4.6108409e+05  1.0463870e+06  2.3832296e+06  5.4476755e+06  1.2500443e+07  2.8807201e+07  6.6718202e+07  1.5545436e+08  3.6492659e+08  8.6479533e+08  2.0743472e+09  5.0538439e+09  1.2561748e+10  3.2024537e+10  8.4244534e+10  2.3010412e+11  6.5621726e+11
  3.2000000e+03  8.2812149e+02  1.7003085e+03  3.5618282e+03  7.5852311e+03  1.6372737e+04  3.5735593e+04  7.8726403e+04  1.7482519e+05  3.9098489e+05  8.8015231e+05  1.9939494e+06  4.5465990e+06  1.0439454e+07  2.4157204e+07  5.6406552e+07  1.3312729e+08  3.1829832e+08  7.7315493e+08  1.9145533e+09  4.8526991e+09  1.2645096e+10  3.4025633e+10  9.4922499e+10  2.7538344e+11  8.3227506e+11
  3.5000000e+03  7.7761391e+02  1.5489256e+03  3.1559023e+03  6.5569267e+03  1.3853520e+04  2.9695117e+04  6.4454974e+04  1.4146728e+05  3.1365994e+05  7.0214340e+05  1.5867006e+06  3.6206038e+06  8.3478825e+06  1.9469621e+07  4.6003763e+07  1.1034457e+08  2.6933509e+08  6.7089965e+08  1.7108526e+09  4.4810151e+09  1.2092288e+10  3.3711929e+10  9.7291940e+10  2.9099868e+11  9.0229269e+11
