#Table Version   6
#[Z/Z_SOLAR]= 0.25 [A/Fe]= 0.0 A09      | VALID RANGE:  105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105
#Teff(K)| Pgas@  log g =-2.00   log g =-1.50   log g =-1.00   log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00   log g = 6.50   log g = 7.00   log g = 7.50   log g = 8.00   log g = 8.50   log g = 9.00   log g = 9.50   log g =10.00 
  2.0000000e+03  7.8529807e-01  1.9491831e+00  4.8380542e+00  1.2008502e+01  2.9806222e+01  7.3981825e+01  1.8362979e+02  4.5578628e+02  1.1313041e+03  2.8080022e+03  6.9697235e+03  1.7299504e+04  4.2938983e+04  1.0657856e+05  2.6453794e+05  6.5660784e+05  1.6297619e+06  4.0452211e+06  1.0040616e+07  2.4921746e+07  6.1858100e+07  1.5353757e+08  3.8109458e+08  9.4591232e+08  2.3478426e+09
  2.1000000e+03  1.4765127e+00  3.4175773e+00  7.9448533e+00  1.8545188e+01  4.3456144e+01  1.0219924e+02  2.4117246e+02  5.7095668e+02  1.3557840e+03  3.2285732e+03  7.7088344e+03  1.8452441e+04  4.4272995e+04  1.0645852e+05  2.5651833e+05  6.1929282e+05  1.4978205e+06  3.6287663e+06  8.8053372e+06  2.1398128e+07  5.2072217e+07  1.2688113e+08  3.0953610e+08  7.5598608e+08  1.8482964e+09
  2.2000000e+03  2.4393072e+00  5.3941556e+00  1.1993536e+01  2.6806569e+01  6.0215846e+01  1.3591387e+02  3.0818483e+02  7.0188783e+02  1.6052820e+03  3.6862430e+03  8.4974981e+03  1.9660818e+04  4.5650720e+04  1.0635656e+05  2.4859326e+05  5.8285836e+05  1.3706536e+06  3.2324197e+06  7.6437992e+06  1.8122581e+07  4.3073416e+07  1.0261900e+08  2.4503460e+08  5.8635635e+08  1.4059993e+09
  2.3000000e+03  4.0436113e+00  8.5554343e+00  1.8212234e+01  3.9001600e+01  8.4012280e+01  1.8200440e+02  3.9649061e+02  8.6841140e+02  1.9119966e+03  4.2310073e+03  9.4085201e+03  2.1020645e+04  4.7178646e+04  1.0635279e+05  2.4076188e+05  5.4726267e+05  1.2488480e+06  2.8606707e+06  6.5767616e+06  1.5173507e+07  3.5126532e+07  8.1584518e+07  1.9008715e+08  4.4424352e+08  1.0412734e+09
  2.4000000e+03  6.7662447e+00  1.3758325e+01  2.8132702e+01  5.7850002e+01  1.1963448e+02  2.4881767e+02  5.2045551e+02  1.0948711e+03  2.3163916e+03  4.9285096e+03  1.0545113e+04  2.2687595e+04  4.9078287e+04  1.0673561e+05  2.3334442e+05  5.1274076e+05  1.1322723e+06  2.5124307e+06  5.6009735e+06  1.2542806e+07  2.8211336e+07  6.3721714e+07  1.4451898e+08  3.2906124e+08  7.5211774e+08
  2.5000000e+03  1.0832944e+01  2.1400254e+01  4.2457124e+01  8.4597521e+01  1.6930344e+02  3.4033787e+02  6.8728336e+02  1.3944268e+03  2.8428270e+03  5.8245900e+03  1.1995217e+04  2.4833914e+04  5.1693775e+04  1.0820339e+05  2.2776931e+05  4.8220247e+05  1.0267301e+06  2.1987323e+06  4.7354192e+06  1.0256067e+07  2.2335390e+07  4.8903531e+07  1.0763593e+08  2.3810912e+08  5.2932860e+08
  2.8000000e+03  1.5642676e+01  3.0419834e+01  5.9337953e+01  1.1608451e+02  2.2773550e+02  4.4798939e+02  8.8363314e+02  1.7476519e+03  3.4662133e+03  6.8950998e+03  1.3759635e+04  2.7553522e+04  5.5385584e+04  1.1179652e+05  2.2669604e+05  4.6197367e+05  9.4648581e+05  1.9502244e+06  4.0425499e+06  8.4318807e+06  1.7699367e+07  3.7392834e+07  7.9509360e+07  1.7014582e+08  3.6639375e+08
  3.0000000e+03  1.9663713e+01  3.8129630e+01  7.4106888e+01  1.4429973e+02  2.8138663e+02  5.4929884e+02  1.0731043e+03  2.0974733e+03  4.1011452e+03  8.0213386e+03  1.5694618e+04  3.0725521e+04  6.0204465e+04  1.1812108e+05  2.3218341e+05  4.5752624e+05  9.0445646e+05  1.7950187e+06  3.5791934e+06  7.1754354e+06  1.4472454e+07  2.9383918e+07  6.0081776e+07  1.2375906e+08  2.5685682e+08
  3.2000000e+03  2.1369893e+01  4.1790932e+01  8.1875775e+01  1.6057743e+02  3.1502116e+02  6.1774860e+02  1.2101036e+03  2.3666568e+03  4.6191574e+03  8.9944506e+03  1.7470407e+04  3.3849081e+04  6.5429749e+04  1.2622027e+05  2.4312047e+05  4.6788186e+05  9.0037435e+05  1.7341685e+06  3.3465545e+06  6.4778881e+06  1.2592248e+07  2.4609703e+07  4.8407566e+07  9.5927891e+07  1.9167073e+08
  3.5000000e+03  2.0566615e+01  4.0849377e+01  8.1249406e+01  1.6164859e+02  3.2134526e+02  6.3766281e+02  1.2619744e+03  2.4890253e+03  4.8895632e+03  9.5627601e+03  1.8614442e+04  3.6059913e+04  6.9524371e+04  1.3344275e+05  2.5508610e+05  4.8594129e+05  9.2329912e+05  1.7514784e+06  3.3212175e+06  6.3041410e+06  1.1996830e+07  2.2927163e+07  4.4080187e+07  8.5412564e+07  1.6708725e+08
