#Table Version   6
#[Z/Z_SOLAR]= 0.50 [A/Fe]= 0.0 A09      | VALID RANGE:  105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105
#Teff(K)| Pgas@  log g =-2.00   log g =-1.50   log g =-1.00   log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00   log g = 6.50   log g = 7.00   log g = 7.50   log g = 8.00   log g = 8.50   log g = 9.00   log g = 9.50   log g =10.00 
  2.0000000e+03  8.3215218e-01  1.9603190e+00  4.6179659e+00  1.0878643e+01  2.5627055e+01  6.0370210e+01  1.4221541e+02  3.3501994e+02  7.8921375e+02  1.8591680e+03  4.3796824e+03  1.0317313e+04  2.4304718e+04  5.7255152e+04  1.3487721e+05  3.1773316e+05  7.4849091e+05  1.7632363e+06  4.1536940e+06  9.7849473e+06  2.3050613e+07  5.4300829e+07  1.2791764e+08  3.0133837e+08  7.0986934e+08
  2.1000000e+03  1.4045556e+00  3.1459346e+00  7.0641550e+00  1.5900769e+01  3.5873481e+01  8.1110822e+01  1.8377591e+02  4.1721458e+02  9.4896476e+02  2.1623241e+03  4.9355290e+03  1.1283728e+04  2.5837047e+04  5.9247673e+04  1.3605239e+05  3.1283629e+05  7.2023654e+05  1.6601698e+06  3.8310926e+06  8.8503467e+06  2.0466388e+07  4.7374252e+07  1.0975940e+08  2.5451792e+08  5.9068002e+08
  2.2000000e+03  2.1609171e+00  4.6735012e+00  1.0140835e+01  2.2073915e+01  4.8195780e+01  1.0553943e+02  2.3176662e+02  5.1035673e+02  1.1267876e+03  2.4941108e+03  5.5342255e+03  1.2309175e+04  2.7440813e+04  6.1309435e+04  1.3727374e+05  3.0799674e+05  6.9242531e+05  1.5596907e+06  3.5197697e+06  7.9574220e+06  1.8021289e+07  4.0881630e+07  9.2891002e+07  2.1139610e+08  4.8180742e+08
  2.3000000e+03  3.3433957e+00  6.9856772e+00  1.4652432e+01  3.0849426e+01  6.5189450e+01  1.3824771e+02  2.9420312e+02  6.2820927e+02  1.3458260e+03  2.8924205e+03  6.2356697e+03  1.3483912e+04  2.9243050e+04  6.3601444e+04  1.3871180e+05  3.0333842e+05  6.6508245e+05  1.4619248e+06  3.2213988e+06  7.1154654e+06  1.5753313e+07  3.4955990e+07  7.7736444e+07  1.7324240e+08  3.8688690e+08
  2.4000000e+03  5.2551520e+00  1.0629626e+01  2.1583039e+01  4.3989347e+01  8.9992035e+01  1.8478466e+02  3.8081885e+02  7.8767693e+02  1.6350910e+03  3.4063290e+03  7.1214452e+03  1.4940708e+04  3.1454192e+04  6.6446310e+04  1.4084015e+05  2.9951684e+05  6.3904095e+05  1.3677925e+06  2.9367397e+06  6.3245940e+06  1.3661208e+07  2.9593859e+07  6.4289031e+07  1.4004317e+08  3.0587524e+08
  2.5000000e+03  8.0287071e+00  1.5843744e+01  3.1365111e+01  6.2284495e+01  1.2406055e+02  2.4785305e+02  4.9665834e+02  9.9822836e+02  2.0124533e+03  4.0697584e+03  8.2563538e+03  1.6804264e+04  3.4316224e+04  7.0317864e+04  1.4459496e+05  2.9839566e+05  6.1802755e+05  1.2847405e+06  2.6805429e+06  5.6134303e+06  1.1798367e+07  2.4887723e+07  5.2685725e+07  1.1192175e+08  2.3856944e+08
  2.8000000e+03  1.1265825e+01  2.1932370e+01  4.2801812e+01  8.3713257e+01  1.6405712e+02  3.2210165e+02  6.3348212e+02  1.2479202e+03  2.4623000e+03  4.8664469e+03  9.6347332e+03  1.9111179e+04  3.7987440e+04  7.5683232e+04  1.5117560e+05  3.0283692e+05  6.0856233e+05  1.2271277e+06  2.4835437e+06  5.0459740e+06  1.0294005e+07  2.1088427e+07  4.3386765e+07  8.9647025e+07  1.8602601e+08
  3.0000000e+03  1.3977350e+01  2.7166641e+01  5.2901581e+01  1.0316083e+02  2.0136148e+02  3.9325300e+02  7.6814654e+02  1.5002538e+03  2.9291508e+03  5.7164039e+03  1.1150633e+04  2.1742432e+04  4.2386828e+04  8.2640732e+04  1.6119985e+05  3.1473442e+05  6.1540702e+05  1.2057772e+06  2.3687194e+06  4.6682484e+06  9.2347475e+06  1.8345886e+07  3.6616215e+07  7.3446145e+07  1.4808936e+08
  3.2000000e+03  1.5157504e+01  2.9739996e+01  5.8436752e+01  1.1489883e+02  2.2588913e+02  4.4372574e+02  8.7035319e+02  1.7037301e+03  3.3269059e+03  6.4785441e+03  1.2578567e+04  2.4349013e+04  4.6996962e+04  9.0469313e+04  1.7375758e+05  3.3313968e+05  6.3802267e+05  1.2215520e+06  2.3401103e+06  4.4897665e+06  8.6358830e+06  1.6669387e+07  3.2320747e+07  6.3005617e+07  1.2358195e+08
  3.5000000e+03  1.4617759e+01  2.9165238e+01  5.8244859e+01  1.1629606e+02  2.3191477e+02  4.6145782e+02  9.1540130e+02  1.8090893e+03  3.5598505e+03  6.9718028e+03  1.3585768e+04  2.6339089e+04  5.0806083e+04  9.7526170e+04  1.8637283e+05  3.5476541e+05  6.7315696e+05  1.2744017e+06  2.4098446e+06  4.5574178e+06  8.6321877e+06  1.6401396e+07  3.1313389e+07  6.0176495e+07  1.1660964e+08
