#Table Version   6
#[Z/Z_SOLAR]=-0.75 [A/Fe]= 0.0 A09      | VALID RANGE:  105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105
#Teff(K)| Pgas@  log g =-2.00   log g =-1.50   log g =-1.00   log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00   log g = 6.50   log g = 7.00   log g = 7.50   log g = 8.00   log g = 8.50   log g = 9.00   log g = 9.50   log g =10.00 
  2.0000000e+03  9.1727850e-01  2.9566234e+00  9.5299539e+00  3.0717481e+01  9.9010303e+01  3.1913555e+02  1.0286556e+03  3.3156202e+03  1.0687093e+04  3.4447235e+04  1.1103226e+05  3.5788538e+05  1.1535562e+06  3.7182068e+06  1.1984732e+07  3.8629860e+07  1.2451393e+08  4.0134026e+08  1.2936224e+09  4.1696760e+09  1.3439933e+10  4.3320345e+10  1.3963256e+11  4.5007148e+11  1.4506956e+12
  2.1000000e+03  2.2909769e+00  6.3167506e+00  1.7740649e+01  5.0616203e+01  1.4641266e+02  4.2868058e+02  1.2687159e+03  3.7910401e+03  1.1425194e+04  3.4695718e+04  1.0607967e+05  3.2629125e+05  1.0090230e+06  3.1351212e+06  9.7820009e+06  3.0634363e+07  9.6251736e+07  3.0329046e+08  9.5809919e+08  3.0334177e+09  9.6229462e+09  3.0579897e+10  9.7325480e+10  3.1017095e+11  9.8967109e+11
  2.2000000e+03  4.5602108e+00  1.1397542e+01  2.9247446e+01  7.6723789e+01  2.0512221e+02  5.5765206e+02  1.5389815e+03  4.3054749e+03  1.2196167e+04  3.4946706e+04  1.0120090e+05  2.9594265e+05  8.7327620e+05  2.5984372e+06  7.7911433e+06  2.3525811e+07  7.1496048e+07  2.1855793e+08  6.7168438e+08  2.0742426e+09  6.4334788e+09  2.0032528e+10  6.2597346e+10  1.9622212e+11  6.1683346e+11
  2.3000000e+03  9.2875496e+00  2.0934992e+01  4.8874858e+01  1.1749853e+02  2.8965753e+02  7.2994397e+02  1.8759159e+03  4.9072476e+03  1.3046493e+04  3.5206202e+04  9.6323930e+04  2.6694527e+05  7.4871369e+05  2.1236579e+06  6.0873139e+06  1.7622014e+07  5.1487702e+07  1.5174273e+08  4.5083050e+08  1.3494903e+09  4.0675512e+09  1.2338590e+10  3.7647649e+10  1.1548631e+11  3.5598786e+11
  2.4000000e+03  1.9195953e+01  3.9302778e+01  8.3697279e+01  1.8433433e+02  4.1803383e+02  9.7297731e+02  2.3184596e+03  5.6448385e+03  1.4020248e+04  3.5473500e+04  9.1317574e+04  2.3890001e+05  6.3451861e+05  1.7093686e+06  4.6668663e+06  1.2902741e+07  3.6099552e+07  1.0214147e+08  2.9208866e+08  8.4368538e+08  2.4600598e+09  7.2370071e+09  2.1467006e+10  6.4170731e+10  1.9320318e+11
  2.5000000e+03  3.7010152e+01  7.0350722e+01  1.3901754e+02  2.8416437e+02  5.9843961e+02  1.2944800e+03  2.8696500e+03  6.5091484e+03  1.5088996e+04  3.5712132e+04  8.6220905e+04  2.1216959e+05  5.3168617e+05  1.3556609e+06  3.5139210e+06  9.2514187e+06  2.4719886e+07  6.6984391e+07  1.8394135e+08  5.1153374e+08  1.4397489e+09  4.0988263e+09  1.1796334e+10  3.4301627e+10  1.0072569e+11
  2.8000000e+03  6.1700267e+01  1.1166556e+02  2.0953315e+02  4.0588148e+02  8.0860723e+02  1.6519407e+03  3.4534199e+03  7.3772252e+03  1.6090165e+04  3.5814325e+04  8.1336373e+04  1.8844442e+05  4.4532675e+05  1.0731363e+06  2.6359576e+06  6.5963054e+06  1.6806197e+07  4.3565824e+07  1.1482177e+08  3.0747351e+08  8.3603085e+08  2.3068874e+09  6.4568210e+09  1.8325109e+10  5.2725006e+10
  3.0000000e+03  8.5149409e+01  1.5029014e+02  2.7419438e+02  5.1496782e+02  9.9199124e+02  1.9541054e+03  3.9276867e+03  8.0433184e+03  1.6768590e+04  3.5581052e+04  7.6857916e+04  1.6909094e+05  3.7913542e+05  8.6695966e+05  2.0229298e+06  4.8184852e+06  1.1718314e+07  2.9095796e+07  7.3742643e+07  1.9072195e+08  5.0319899e+08  1.3540358e+09  3.7156249e+09  1.0399289e+10  2.9698480e+10
  3.2000000e+03  9.6259589e+01  1.6942461e+02  3.0735074e+02  5.7218117e+02  1.0889216e+03  2.1117309e+03  4.1629827e+03  8.3286224e+03  1.6894272e+04  3.4736706e+04  7.2420723e+04  1.5322284e+05  3.2938715e+05  7.2056142e+05  1.6067146e+06  3.6579104e+06  8.5156925e+06  2.0298482e+07  4.9591091e+07  1.2426836e+08  3.1956942e+08  8.4373792e+08  2.2881938e+09  6.3781442e+09  1.8289197e+10
  3.5000000e+03  9.1625496e+01  1.6386509e+02  3.0105433e+02  5.6545062e+02  1.0812496e+03  2.0978355e+03  4.1192408e+03  8.1712630e+03  1.6358029e+04  3.3035527e+04  6.7321740e+04  1.3855763e+05  2.8842399e+05  6.0843215e+05  1.3038478e+06  2.8463268e+06  6.3487111e+06  1.4512402e+07  3.4094147e+07  8.2525765e+07  2.0623031e+08  5.3290110e+08  1.4255211e+09  3.9510418e+09  1.1354552e+10
