#Table Version   6
#[Z/Z_SOLAR]=-5.00 [A/Fe]= 0.0 A09     | VALID RANGE:   25  25  25  25  25  25  25  25  25  25  25
#Teff(K)| Pgas@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  1.5000000e+03  7.9017444e+07  1.8253042e+08  4.2164556e+08  9.7400190e+08  2.2499459e+09  5.1973786e+09  1.2005953e+10  2.7733769e+10  6.4065051e+10  1.4799037e+11  3.4185798e+11
  1.6000000e+03  5.4745529e+07  1.2629607e+08  2.9136072e+08  6.7215922e+08  1.5506484e+09  3.5772929e+09  8.2526926e+09  1.9038680e+10  4.3921585e+10  1.0132560e+11  2.3375469e+11
  1.7000000e+03  3.8782830e+07  8.9360213e+07  2.0589646e+08  4.7440973e+08  1.0930959e+09  2.5186219e+09  5.8032018e+09  1.3371261e+10  3.0808962e+10  7.0987480e+10  1.6356352e+11
  1.8000000e+03  2.8021408e+07  6.4489475e+07  1.4841840e+08  3.4157544e+08  7.8611400e+08  1.8091910e+09  4.1637373e+09  9.5825748e+09  2.2053682e+10  5.0755138e+10  1.1680970e+11
  1.9000000e+03  2.0605062e+07  4.7369017e+07  1.0889673e+08  2.5034290e+08  5.7551378e+08  1.3230498e+09  3.0415617e+09  6.9922521e+09  1.6074502e+10  3.6953705e+10  8.4952944e+10
  2.0000000e+03  1.5392457e+07  3.5348787e+07  8.1178508e+07  1.8642649e+08  4.2812853e+08  9.8319741e+08  2.2579134e+09  5.1852993e+09  1.1908043e+10  2.7346826e+10  6.2802001e+10
  2.1000000e+03  1.1663351e+07  2.6758277e+07  6.1389338e+07  1.4084056e+08  3.2311905e+08  7.4130574e+08  1.7007174e+09  3.9018177e+09  8.9516228e+09  2.0536980e+10  4.7116322e+10
  2.2000000e+03  8.9525082e+06  2.0519552e+07  4.7031737e+07  1.0779886e+08  2.4707984e+08  5.6631811e+08  1.2980266e+09  2.9751354e+09  6.8191444e+09  1.5629786e+10  3.5824173e+10
  2.3000000e+03  6.9530212e+06  1.5922210e+07  3.6461382e+07  8.3495470e+07  1.9120212e+08  4.3784711e+08  1.0026567e+09  2.2960538e+09  5.2578943e+09  1.2040420e+10  2.7572200e+10
  2.4000000e+03  5.4585203e+06  1.2489013e+07  2.8574674e+07  6.5378425e+07  1.4958486e+08  3.4224791e+08  7.8305808e+08  1.7916251e+09  4.0992114e+09  9.3789343e+09  2.1458861e+10
  2.5000000e+03  4.3278008e+06  9.8937106e+06  2.2617841e+07  5.1706254e+07  1.1820477e+08  2.7022589e+08  6.1775872e+08  1.4122475e+09  3.2285146e+09  7.3806514e+09  1.6872780e+10
  2.8000000e+03  2.2720000e+06  5.1820000e+06  1.1819157e+07  2.6957249e+07  6.1484360e+07  1.4023413e+08  3.1984739e+08  7.2951109e+08  1.6638761e+09  3.7949850e+09  8.6556392e+09
  3.0000000e+03  1.5347380e+06  3.4955281e+06  7.9614350e+06  1.8133010e+07  4.1299849e+07  9.4064776e+07  2.1424248e+08  4.8795991e+08  1.1113803e+09  2.5312862e+09  5.7652722e+09
  3.2000000e+03  9.2339977e+05  2.1495463e+06  5.0038448e+06  1.1648255e+07  2.7115518e+07  6.3121154e+07  1.4693727e+08  3.4204953e+08  7.9624375e+08  1.8535447e+09  4.3147944e+09
  3.5000000e+03  2.8607185e+05  7.4782666e+05  1.9549100e+06  5.1103730e+06  1.3359138e+07  3.4922414e+07  9.1291445e+07  2.3864696e+08  6.2385223e+08  1.6308258e+09  4.2631772e+09
  3.7500000e+03  8.7972469e+04  2.5321491e+05  7.2883929e+05  2.0978492e+06  6.0383290e+06  1.7380380e+07  5.0026690e+07  1.4399396e+08  4.1446395e+08  1.1929693e+09  3.4337744e+09
  4.0000000e+03  3.7679320e+04  1.0526033e+05  2.9405351e+05  8.2146302e+05  2.2948255e+06  6.4107867e+06  1.7909068e+07  5.0030476e+07  1.3976431e+08  3.9044327e+08  1.0907359e+09
  4.2500000e+03  2.4398753e+04  5.5012124e+04  1.2985294e+05  3.2088378e+05  8.3013042e+05  2.2482650e+06  6.3745753e+06  1.8921589e+07  5.8798542e+07  1.9128376e+08  6.5146674e+08
  4.5000000e+03  1.4142231e+04  3.1519296e+04  7.2269253e+04  1.7047044e+05  4.1367861e+05  1.0327507e+06  2.6524452e+06  7.0083500e+06  1.9050379e+07  5.3273338e+07  1.5326206e+08
  4.7500000e+03  8.1972650e+03  1.9032481e+04  4.4392528e+04  1.0401894e+05  2.4485164e+05  5.7900414e+05  1.3754613e+06  3.2824880e+06  7.8694787e+06  1.8952951e+07  4.5855959e+07
  5.0000000e+03  5.0750403e+03  1.1962225e+04  2.8096066e+04  6.5756717e+04  1.5335425e+05  3.5637939e+05  8.2525929e+05  1.9042735e+06  4.3785400e+06  1.0032066e+07  2.2904062e+07
  5.2500000e+03  3.3241965e+03  7.8007557e+03  1.8254766e+04  4.2599598e+04  9.9134393e+04  2.3005560e+05  5.3239124e+05  1.2286229e+06  2.8274565e+06  6.4887775e+06  1.4849760e+07
  5.5000000e+03  2.2310703e+03  5.2183794e+03  1.2189974e+04  2.8439018e+04  6.6263006e+04  1.5419575e+05  3.5835906e+05  8.3178117e+05  1.9281664e+06  4.4640047e+06  1.0321659e+07
  5.7500000e+03  1.5461744e+03  3.6004703e+03  8.3876965e+03  1.9548295e+04  4.5578265e+04  1.0631374e+05  2.4808683e+05  5.7916291e+05  1.3526346e+06  3.1604064e+06  7.3873402e+06
  6.0000000e+03  1.0502420e+03  2.4759987e+03  5.8292578e+03  1.3704965e+04  3.2176917e+04  7.5441923e+04  1.7663749e+05  4.1300455e+05  9.6433650e+05  2.2485585e+06  5.2357826e+06
#Teff(K)|    T@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00
  1.5000000E+03  2.4126001E+03  2.4126001E+03  2.4126001E+03  2.4126001E+03  2.4126001E+03  2.4126001E+03  2.4126001E+03  2.4126001E+03  2.4126001E+03  2.4126001E+03  2.4126001E+03
  1.6000000E+03  2.5126001E+03  2.5126001E+03  2.5126001E+03  2.5126001E+03  2.5126001E+03  2.5126001E+03  2.5126001E+03  2.5126001E+03  2.5126001E+03  2.5126001E+03  2.5126001E+03
  1.7000000E+03  2.6126001E+03  2.6126001E+03  2.6126001E+03  2.6126001E+03  2.6126001E+03  2.6126001E+03  2.6126001E+03  2.6126001E+03  2.6126001E+03  2.6126001E+03  2.6126001E+03
  1.8000000E+03  2.7126001E+03  2.7126001E+03  2.7126001E+03  2.7126001E+03  2.7126001E+03  2.7126001E+03  2.7126001E+03  2.7126001E+03  2.7126001E+03  2.7126001E+03  2.7126001E+03
  1.9000000E+03  2.8126001E+03  2.8126001E+03  2.8126001E+03  2.8126001E+03  2.8126001E+03  2.8126001E+03  2.8126001E+03  2.8126001E+03  2.8126001E+03  2.8126001E+03  2.8126001E+03
