#Table Version   6
#[Z/Z_SOLAR]=-7.00 [A/Fe]= 0.0 A09     | VALID RANGE:   25  25  25  25  25  25  25  25  25  25  25
#Teff(K)| Pgas@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  1.5000000e+03  9.2554409e+07  2.1102556e+08  4.8114173e+08  1.0970110e+09  2.5012030e+09  5.7027835e+09  1.3002440e+10  2.9645774e+10  6.7592849e+10  1.5411280e+11  3.5137970e+11
  1.6000000e+03  6.3382519e+07  1.4466167e+08  3.3016990e+08  7.5356630e+08  1.7199090e+09  3.9254500e+09  8.9592869e+09  2.0448311e+10  4.6670390e+10  1.0651859e+11  2.4311369e+11
  1.7000000e+03  4.4413346e+07  1.0146505e+08  2.3180321e+08  5.2956885e+08  1.2098329e+09  2.7639386e+09  6.3143894e+09  1.4425615e+10  3.2956214e+10  7.5290520e+10  1.7200587e+11
  1.8000000e+03  3.1760585e+07  7.2625061e+07  1.6606745e+08  3.7973666e+08  8.6832147e+08  1.9855396e+09  4.5402164e+09  1.0381846e+10  2.3739555e+10  5.4283843e+10  1.2412767e+11
  1.9000000e+03  2.3128053e+07  5.2931079e+07  1.2113857e+08  2.7723886e+08  6.3449146e+08  1.4521031e+09  3.3232968e+09  7.6057284e+09  1.7406541e+10  3.9836774e+10  9.1170816e+10
  2.0000000e+03  1.7118153e+07  3.9208757e+07  8.9806805e+07  2.0570053e+08  4.7115260e+08  1.0791648e+09  2.4718035e+09  5.6616122e+09  1.2967800e+10  2.9702463e+10  6.8032846e+10
  2.1000000e+03  1.2857368e+07  2.9472395e+07  6.7558314e+07  1.5486104e+08  3.5498136e+08  8.1370862e+08  1.8652295e+09  4.2755861e+09  9.8007436e+09  2.2465826e+10  5.1497455e+10
  2.2000000e+03  9.7865807e+06  2.2449975e+07  5.1499230e+07  1.1813691e+08  2.7100075e+08  6.2166350e+08  1.4260681e+09  3.2713358e+09  7.5042969e+09  1.7214519e+10  3.9489330e+10
  2.3000000e+03  7.5401377e+06  1.7308976e+07  3.9734108e+07  9.1212751e+07  2.0938600e+08  4.8066194e+08  1.1033971e+09  2.5329343e+09  5.8145487e+09  1.3347751e+10  3.0640807e+10
  2.4000000e+03  5.8741940e+06  1.3493808e+07  3.0997077e+07  7.1204423e+07  1.6356606e+08  3.7573308e+08  8.6310902e+08  1.9826766e+09  4.5544728e+09  1.0462232e+10  2.4033143e+10
  2.5000000e+03  4.6232173e+06  1.0627048e+07  2.4427612e+07  5.6149950e+07  1.2906775e+08  2.9667851e+08  6.8195299e+08  1.5675550e+09  3.6032231e+09  8.2824630e+09  1.9038287e+10
  2.8000000e+03  2.3780000e+06  5.4760000e+06  1.2609998e+07  2.9037994e+07  6.6867980e+07  1.5398194e+08  3.5458584e+08  8.1653156e+08  1.8802888e+09  4.3298829e+09  9.9707480e+09
  3.0000000e+03  1.5864840e+06  3.6573296e+06  8.4312606e+06  1.9436628e+07  4.4807357e+07  1.0329463e+08  2.3812564e+08  5.4895224e+08  1.2655024e+09  2.9173691e+09  6.7254259e+09
  3.2000000e+03  7.8081581e+05  2.0309115e+06  5.2824256e+06  1.3739654e+07  3.5737008e+07  9.2952395e+07  2.4177032e+08  6.2884755e+08  1.6356402e+09  4.2543201e+09  1.1065539e+10
  3.5000000e+03  2.6510502e+05  7.4936142e+05  2.1181890e+06  5.9873972e+06  1.6924328e+07  4.7839299e+07  1.3522537e+08  3.8223597e+08  1.0804506e+09  3.0540651e+09  8.6327997e+09
  3.7500000e+03  8.4504459e+04  2.5177296e+05  7.5013346e+05  2.2349509e+06  6.6588227e+06  1.9839326e+07  5.9109374e+07  1.7611073e+08  5.2470509e+08  1.5633086e+09  4.6577287e+09
  4.0000000e+03  3.7923128e+04  1.0605895e+05  2.9661321e+05  8.2953297e+05  2.3199403e+06  6.4881366e+06  1.8145258e+07  5.0746526e+07  1.4192192e+08  3.9691055e+08  1.1100328e+09
  4.2500000e+03  2.0719405e+04  5.3788578e+04  1.3963775e+05  3.6250635e+05  9.4108400e+05  2.4430996e+06  6.3424046e+06  1.6465189e+07  4.2744427e+07  1.1096660e+08  2.8807465e+08
  4.5000000e+03  1.3626434e+04  3.2616799e+04  7.8072926e+04  1.8687860e+05  4.4732040e+05  1.0707247e+06  2.5629312e+06  6.1347389e+06  1.4684366e+07  3.5149110e+07  8.4134371e+07
  4.7500000e+03  8.2540766e+03  1.9156292e+04  4.4663084e+04  1.0461171e+05  2.4615360e+05  5.8187058e+05  1.3817864e+06  3.2964749e+06  7.9004701e+06  1.9021748e+07  4.6008938e+07
  5.0000000e+03  5.0920215e+03  1.2007507e+04  2.8210462e+04  6.6033182e+04  1.5399583e+05  3.5780828e+05  8.2829781e+05  1.9103693e+06  4.3897811e+06  1.0049931e+07  2.2923346e+07
  5.2500000e+03  3.3344737e+03  7.8300070e+03  1.8331512e+04  4.2789352e+04  9.9580526e+04  2.3105449e+05  5.3450981e+05  1.2328159e+06  2.8349283e+06  6.4996087e+06  1.4857086e+07
  5.5000000e+03  2.2375029e+03  5.2377010e+03  1.2242151e+04  2.8570294e+04  6.6575069e+04  1.5489895e+05  3.5985311e+05  8.3472223e+05  1.9332973e+06  4.4709029e+06  1.0323614e+07
  5.7500000e+03  1.5467381e+03  3.6063403e+03  8.4097906e+03  1.9614273e+04  4.5753868e+04  1.0674609e+05  2.4908334e+05  5.8130754e+05  1.3568624e+06  3.1676281e+06  7.3960722e+06
  6.0000000e+03  1.0611870e+03  2.4945199e+03  5.8595090e+03  1.3753546e+04  3.2258736e+04  7.5606516e+04  1.7707217e+05  4.1440080e+05  9.6910330e+05  2.2646379e+06  5.2881854e+06
#Teff(K)|    T@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00
  1.5000000E+03  2.3811001E+03  2.3811001E+03  2.3811001E+03  2.3811001E+03  2.3811001E+03  2.3811001E+03  2.3811001E+03  2.3811001E+03  2.3811001E+03  2.3811001E+03  2.3811001E+03
  1.6000000E+03  2.4811001E+03  2.4811001E+03  2.4811001E+03  2.4811001E+03  2.4811001E+03  2.4811001E+03  2.4811001E+03  2.4811001E+03  2.4811001E+03  2.4811001E+03  2.4811001E+03
  1.7000000E+03  2.5811001E+03  2.5811001E+03  2.5811001E+03  2.5811001E+03  2.5811001E+03  2.5811001E+03  2.5811001E+03  2.5811001E+03  2.5811001E+03  2.5811001E+03  2.5811001E+03
