#Table Version   6
#[Z/Z_SOLAR]=-4.00 [A/Fe]= 0.0 A09      | VALID RANGE:  105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105
#Teff(K)| Pgas@  log g =-2.00   log g =-1.50   log g =-1.00   log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00   log g = 6.50   log g = 7.00   log g = 7.50   log g = 8.00   log g = 8.50   log g = 9.00   log g = 9.50   log g =10.00 
  2.0000000e+03  4.7818911e+02  1.2269984e+03  3.1483883e+03  8.0785347e+03  2.0728931e+04  5.3188924e+04  1.3647890e+05  3.5019490e+05  8.9857457e+05  2.3056768e+06  5.9161985e+06  1.5180534e+07  3.8952142e+07  9.9948356e+07  2.5646019e+08  6.5805814e+08  1.6885292e+09  4.3326427e+09  1.1117245e+10  2.8526040e+10  7.3195738e+10  1.8781493e+11  4.8191940e+11  1.2365700e+12  3.1729485e+12
  2.1000000e+03  5.0533667e+02  1.2701496e+03  3.1951924e+03  8.0443367e+03  2.0268382e+04  5.1105683e+04  1.2895173e+05  3.2559692e+05  8.2265260e+05  2.0798126e+06  5.2612920e+06  1.3317125e+07  3.3726268e+07  8.5458642e+07  2.1665275e+08  5.4952047e+08  1.3944607e+09  3.5401617e+09  8.9913780e+09  2.2845887e+10  5.8071227e+10  1.4766516e+11  3.7562312e+11  9.5582259e+11  2.4330256e+12
  2.2000000e+03  5.3396008e+02  1.3150957e+03  3.2435666e+03  8.0106745e+03  1.9809228e+04  4.9044998e+04  1.2157116e+05  3.0168758e+05  7.4947905e+05  1.8638979e+06  4.6401454e+06  1.1563118e+07  2.8842956e+07  7.2013523e+07  1.7996424e+08  4.5013723e+08  1.1268840e+09  2.8234383e+09  7.0799748e+09  1.7767617e+10  4.4623201e+10  1.1215447e+11  2.8208980e+11  7.1000922e+11  1.7882892e+12
  2.3000000e+03  5.6738133e+02  1.3663465e+03  3.2983331e+03  7.9791320e+03  1.9340028e+04  4.6960662e+04  1.1421887e+05  2.7824643e+05  6.7885757e+05  1.6586687e+06  4.0583647e+06  9.9433879e+06  2.4394570e+07  5.9925641e+07  1.4739390e+08  3.6297876e+08  8.9496550e+08  2.2092458e+09  5.4598967e+09  1.3508846e+10  3.3460865e+10  8.2972423e+10  2.0596909e+11  5.1184407e+11  1.2733236e+12
  2.4000000e+03  6.1249423e+02  1.4332203e+03  3.3697593e+03  7.9542705e+03  1.8839031e+04  4.4749171e+04  1.0657139e+05  2.5440249e+05  6.0862270e+05  1.4590155e+06  3.5043604e+06  8.4325057e+06  2.0326981e+07  4.9083175e+07  1.1871777e+08  2.8761133e+08  6.9789616e+08  1.6961378e+09  4.1286834e+09  1.0065633e+10  2.4578405e+10  6.0111879e+10  1.4725865e+11  3.6136646e+11  8.8840726e+11
  2.5000000e+03  6.7824658e+02  1.5266939e+03  3.4682179e+03  7.9374457e+03  1.8276741e+04  4.2298973e+04  9.8322316e+04  2.2941624e+05  5.3711127e+05  1.2613484e+06  2.9705214e+06  7.0142093e+06  1.6604081e+07  3.9400246e+07  9.3713634e+07  2.2341424e+08  5.3385108e+08  1.2786188e+09  3.0697272e+09  7.3882498e+09  1.7829402e+10  4.3150834e+10  1.0477283e+11  2.5534628e+11  6.2508274e+11
  2.8000000e+03  7.6543867e+02  1.6432576e+03  3.5799435e+03  7.8940157e+03  1.7581943e+04  3.9488268e+04  8.9319013e+04  2.0326540e+05  4.6504706e+05  1.0690416e+06  2.4681461e+06  5.7212616e+06  1.3312717e+07  3.1091545e+07  7.2878598e+07  1.7145705e+08  4.0491168e+08  9.6008204e+08  2.2863514e+09  5.4710485e+09  1.3163716e+10  3.1875745e+10  7.7776696e+10  1.9154137e+11  4.7714770e+11
  3.0000000e+03  8.4933531e+02  1.7396834e+03  3.6314327e+03  7.7045251e+03  1.6575251e+04  3.6087749e+04  7.9383935e+04  1.7619878e+05  3.9419957e+05  8.8822644e+05  2.0145068e+06  4.5970084e+06  1.0552131e+07  2.4362864e+07  5.6581174e+07  1.3221259e+08  3.1096322e+08  7.3662368e+08  1.7589366e+09  4.2384987e+09  1.0322069e+10  2.5452004e+10  6.3691618e+10  1.6220563e+11  4.2179651e+11
  3.2000000e+03  8.7798770e+02  1.7342299e+03  3.4972175e+03  7.1842962e+03  1.5003731e+04  3.1795321e+04  6.8261423e+04  1.4826740e+05  3.2545834e+05  7.2136256e+05  1.6134374e+06  3.6401638e+06  8.2829389e+06  1.9009051e+07  4.4010981e+07  1.0284833e+08  2.4276471e+08  5.7937169e+08  1.3998088e+09  3.4293398e+09  8.5351846e+09  2.1629315e+10  5.5948317e+10  1.4812144e+11  4.0247310e+11
  3.5000000e+03  8.0939627e+02  1.5662078e+03  3.0941171e+03  6.2296609e+03  1.2761527e+04  2.6556811e+04  5.6063816e+04  1.1992473e+05  2.5967876e+05  5.6878575e+05  1.2595947e+06  2.8194871e+06  6.3790353e+06  1.4590643e+07  3.3753436e+07  7.9027303e+07  1.8743352e+08  4.5084708e+08  1.1013608e+09  2.7368827e+09  6.9311854e+09  1.7924728e+10  4.7435110e+10  1.2872297e+11  3.5890241e+11
