#Table Version   6
#[Z/Z_SOLAR]=-1.25 [A/Fe]= 0.0 A09     | VALID RANGE:   25  25  25  25  25  25  25  25  25  25  25
#Teff(K)| Pgas@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  1.5000000e+03  2.2463210e+07  4.6929687e+07  9.8044563e+07  2.0483274e+08  4.2793246e+08  8.9402792e+08  1.8677852e+09  3.9021395e+09  8.1522717e+09  1.7031563e+10  3.5582000e+10
  1.6000000e+03  1.2703303e+07  2.7299476e+07  5.8666738e+07  1.2607518e+08  2.7093631e+08  5.8224377e+08  1.2512454e+09  2.6889339e+09  5.7785352e+09  1.2418107e+10  2.6686587e+10
  1.7000000e+03  7.4365990e+06  1.6410816e+07  3.6214791e+07  7.9917483e+07  1.7635899e+08  3.8918260e+08  8.5883399e+08  1.8952436e+09  4.1823546e+09  9.2294678e+09  2.0367253e+10
  1.8000000e+03  4.4887730e+06  1.0156477e+07  2.2980449e+07  5.1996480e+07  1.1764931e+08  2.6619802e+08  6.0231024e+08  1.3628112e+09  3.0835508e+09  6.9769651e+09  1.5786359e+10
  1.9000000e+03  2.7844411e+06  6.4509815e+06  1.4945607e+07  3.4625919e+07  8.0221183e+07  1.8585610e+08  4.3059063e+08  9.9759056e+08  2.3112136e+09  5.3546100e+09  1.2405538e+10
  2.0000000e+03  1.7700624e+06  4.1939345e+06  9.9369865e+06  2.3544407e+07  5.5785433e+07  1.3217638e+08  3.1317488e+08  7.4202746e+08  1.7581383e+09  4.1656818e+09  9.8700452e+09
  2.1000000e+03  1.1503780e+06  2.7844752e+06  6.7397865e+06  1.6313567e+07  3.9486778e+07  9.5577239e+07  2.3134348e+08  5.5996392e+08  1.3553855e+09  3.2806931e+09  7.9408755e+09
  2.2000000e+03  7.6278184e+05  1.8842631e+06  4.6546040e+06  1.1498043e+07  2.8403060e+07  7.0162706e+07  1.7331954e+08  4.2814288e+08  1.0576206e+09  2.6125891e+09  6.4537526e+09
  2.3000000e+03  5.1510226e+05  1.2974186e+06  3.2678851e+06  8.2310160e+06  2.0731948e+07  5.2218786e+07  1.3152655e+08  3.3128372e+08  8.3442394e+08  2.1017130e+09  5.2937092e+09
  2.4000000e+03  3.5370763e+05  9.0764717e+05  2.3291084e+06  5.9767120e+06  1.5336807e+07  3.9355696e+07  1.0099043e+08  2.5915099e+08  6.6500591e+08  1.7064680e+09  4.3789579e+09
  2.5000000e+03  2.4663829e+05  6.4430126e+05  1.6831292e+06  4.3968933e+06  1.1486148e+07  3.0005639e+07  7.8384709e+07  2.0476693e+08  5.3491934e+08  1.3973872e+09  3.6504403e+09
  2.8000000e+03  9.0647819e+04  2.4883837e+05  6.8308905e+05  1.8751556e+06  5.1475110e+06  1.4130492e+07  3.8789774e+07  1.0648225e+08  2.9230565e+08  8.0241160e+08  2.2027093e+09
  3.0000000e+03  4.9285180e+04  1.3943904e+05  3.9450494e+05  1.1161447e+06  3.1578286e+06  8.9342194e+06  2.5276950e+07  7.1514271e+07  2.0233023e+08  5.7243849e+08  1.6195594e+09
  3.2000000e+03  3.1093493e+04  8.6200711e+04  2.3897484e+05  6.6251162e+05  1.8366856e+06  5.0918565e+06  1.4116190e+07  3.9134412e+07  1.0849261e+08  3.0077481e+08  8.3384013e+08
  3.5000000e+03  1.8065583e+04  4.7973079e+04  1.2688720e+05  3.3428172e+05  8.7716652e+05  2.2925883e+06  5.9682182e+06  1.5475259e+07  3.9967387e+07  1.0281304e+08  2.6342999e+08
  3.7500000e+03  1.4993953e+04  3.3068984e+04  7.5910955e+04  1.8137063e+05  4.5103307e+05  1.1674243e+06  3.1450528e+06  8.8187306e+06  2.5737308e+07  7.8180612e+07  2.4718034e+08
  4.0000000e+03  1.2490459e+04  2.4774365e+04  5.1902309e+04  1.1484996e+05  2.6843247e+05  6.6267296e+05  1.7279194e+06  4.7589125e+06  1.3843694e+07  4.2535962e+07  1.3804496e+08
  4.2500000e+03  9.7033473e+03  1.9401902e+04  4.0215737e+04  8.6412540e+04  1.9248040e+05  4.4445242e+05  1.0638810e+06  2.6399142e+06  6.7907163e+06  1.8107995e+07  5.0055772e+07
