#Table Version   6
#[Z/Z_SOLAR]=-0.25 [A/Fe]= 0.0 A09     | VALID RANGE:   25  25  25  25  25  25  25  25  25  25  25
#Teff(K)| Pgas@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  1.5000000e+03  1.3220710e+05  7.0852535e+05  3.7971347e+06  2.0349635e+07  1.0905792e+08  5.8446410e+08  3.1322647e+09  1.6786458e+10  8.9962119e+10  4.8212570e+11  2.5838119e+12
  1.6000000e+03  1.0559514e+05  5.3075936e+05  2.6677885e+06  1.3409270e+07  6.7399839e+07  3.3877597e+08  1.7028105e+09  8.5589417e+09  4.3020336e+10  2.1623577e+11  1.0868792e+12
  1.7000000e+03  8.5497342e+04  4.0462082e+05  1.9148901e+06  9.0623214e+06  4.2887929e+07  2.0296946e+08  9.6056400e+08  4.5459214e+09  2.1513820e+10  1.0181532e+11  4.8184656e+11
  1.8000000e+03  7.0065423e+04  3.1328300e+05  1.4007800e+06  6.2632969e+06  2.8005033e+07  1.2521869e+08  5.5988941e+08  2.5034293e+09  1.1193565e+10  5.0049703e+10  2.2378686e+11
  1.9000000e+03  5.8040366e+04  2.4594300e+05  1.0421706e+06  4.4161430e+06  1.8713174e+07  7.9296093e+07  3.3601303e+08  1.4238376e+09  6.0334369e+09  2.5566372e+10  1.0833616e+11
  2.0000000e+03  4.8545831e+04  1.9548993e+05  7.8722134e+05  3.1700734e+06  1.2765616e+07  5.1406051e+07  2.0700780e+08  8.3360280e+08  3.3568476e+09  1.3517740e+10  5.4434790e+10
  2.1000000e+03  4.0959965e+04  1.5713763e+05  6.0283832e+05  2.3127116e+06  8.8724206e+06  3.4037900e+07  1.3058202e+08  5.0096113e+08  1.9218729e+09  7.3730181e+09  2.8285635e+10
  2.2000000e+03  3.4833787e+04  1.2759951e+05  4.6740929e+05  1.7121652e+06  6.2718259e+06  2.2974302e+07  8.4157078e+07  3.0827547e+08  1.1292427e+09  4.1365248e+09  1.5152488e+10
  2.3000000e+03  2.9838014e+04  1.0457752e+05  3.6652766e+05  1.2846215e+06  4.5023950e+06  1.5780182e+07  5.5307043e+07  1.9384244e+08  6.7938707e+08  2.3811442e+09  8.3455338e+09
  2.4000000e+03  2.5727697e+04  8.6438225e+04  2.9040947e+05  9.7569865e+05  3.2780882e+06  1.1013505e+07  3.7002452e+07  1.2431841e+08  4.1767682e+08  1.4032831e+09  4.7146585e+09
  2.5000000e+03  2.2318240e+04  7.2003091e+04  2.3229632e+05  7.4943421e+05  2.4178241e+06  7.8003824e+06  2.5165588e+07  8.1189201e+07  2.6193254e+08  8.4504657e+08  2.7262886e+09
