#Table Version   6
#[Z/Z_SOLAR]= 0.50 [A/Fe]= 0.0 A09     | VALID RANGE:   25  25  25  25  25  25  25  25  25  25  25
#Teff(K)| Pgas@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  1.6000000E+03  3.8387239E+03  3.7012000E+03  3.6991213E+03  3.6991003E+03  3.6991001E+03  3.6991001E+03  3.6991001E+03  3.6991003E+03  3.6991001E+03  3.6991001E+03  3.6991001E+03
  1.7000000E+03  4.2520967E+03  3.8098987E+03  3.7992158E+03  3.7991011E+03  3.7991001E+03  3.7991001E+03  3.7991001E+03  3.7991003E+03  3.7991001E+03  3.7991001E+03  3.7991001E+03
  1.8000000E+03  4.9395625E+03  3.9498533E+03  3.8997297E+03  3.8991062E+03  3.8991003E+03  3.8991001E+03  3.8991001E+03  3.8991008E+03  3.8991001E+03  3.8991001E+03  3.8991001E+03
  1.9000000E+03  5.7030410E+03  4.1990991E+03  4.0024458E+03  3.9991340E+03  3.9991003E+03  3.9991001E+03  3.9991003E+03  3.9991016E+03  3.9991057E+03  3.9991001E+03  3.9991001E+03
  2.0000000E+03  6.2905254E+03  4.6904111E+03  4.1159766E+03  4.0992866E+03  4.0991021E+03  4.0991006E+03  4.0991011E+03  4.0991035E+03  4.0991133E+03  4.0991001E+03  4.0991001E+03
  2.1000000E+03  6.6593735E+03  5.4245947E+03  4.2753140E+03  4.2001099E+03  4.1991104E+03  4.1991011E+03  4.1991025E+03  4.1991079E+03  4.1991216E+03  4.1991768E+03  4.1991001E+03
  2.2000000E+03  6.8845659E+03  6.1498428E+03  4.5788086E+03  4.3044092E+03  4.2991553E+03  4.2991040E+03  4.2991079E+03  4.2991177E+03  4.2991411E+03  4.2991768E+03  4.2991001E+03
  2.3000000E+03  7.0362651E+03  6.6666992E+03  5.1481191E+03  4.4252417E+03  4.3994004E+03  4.3991177E+03  4.3991226E+03  4.3991396E+03  4.3991787E+03  4.3992480E+03  4.3991001E+03
  2.4000000E+03  7.1542275E+03  6.9836318E+03  5.9047446E+03  4.6116191E+03  4.5007168E+03  4.4991787E+03  4.4991675E+03  4.4991909E+03  4.4992480E+03  4.4993667E+03  4.4996211E+03
  2.5000000E+03  7.2574062E+03  7.1810376E+03  6.5751562E+03  4.9800894E+03  4.6074800E+03  4.5994458E+03  4.5992993E+03  4.5993071E+03  4.5993823E+03  4.5995337E+03  4.5998311E+03
  2.8000000E+03  7.5413496E+03  7.5326602E+03  7.4725205E+03  6.9786328E+03  5.4035132E+03  4.9256074E+03  4.9042393E+03  4.9015557E+03  4.9010479E+03  4.9011187E+03  4.9015142E+03
  3.0000000E+03  7.7261367E+03  7.7221177E+03  7.7087197E+03  7.6028682E+03  6.8242974E+03  5.4177202E+03  5.1423994E+03  5.1118306E+03  5.1061567E+03  5.1047437E+03  5.1046479E+03
  3.2000000E+03  7.9105073E+03  7.9073257E+03  7.9024600E+03  7.8804863E+03  7.6948696E+03  6.7067246E+03  5.6071865E+03  5.3641597E+03  5.3246392E+03  5.3148989E+03  5.3119482E+03
  3.5000000E+03  8.1869458E+03  8.1839326E+03  8.1807920E+03  8.1763477E+03  8.1586353E+03  8.0433228E+03  7.3899053E+03  6.2141787E+03  5.7718657E+03  5.6729668E+03  5.6442939E+03
  3.7500000E+03  8.4172969E+03  8.4142969E+03  8.4112803E+03  8.4081143E+03  8.4033936E+03  8.3966689E+03  8.2891797E+03  7.6974736E+03  6.5974634E+03  6.1131777E+03  5.9779062E+03
  4.0000000E+03  8.6476475E+03  8.6446484E+03  8.6416475E+03  8.6386289E+03  8.6354287E+03  8.6419707E+03  8.6267461E+03  8.5278086E+03  7.9868794E+03  6.9662578E+03  6.4634429E+03
  4.2500000E+03  8.8779971E+03  8.8749980E+03  8.8719990E+03  8.8689971E+03  8.8659756E+03  8.8740703E+03  8.8701250E+03  8.8548711E+03  8.7660098E+03  8.2620117E+03  7.3207710E+03
  4.5000000E+03  9.1083477E+03  9.1053477E+03  9.1023496E+03  9.0993496E+03  9.0963486E+03  9.1046230E+03  9.1020010E+03  9.0969922E+03  9.0861396E+03  9.0015371E+03  8.5270928E+03
  4.7500000E+03  9.3386973E+03  9.3356973E+03  9.3326992E+03  9.3296992E+03  9.3267012E+03  9.3349971E+03  9.3325273E+03  9.3287188E+03  9.3274482E+03  9.3170732E+03  9.2351367E+03
  5.0000000E+03  9.5690469E+03  9.5660479E+03  9.5630488E+03  9.5600498E+03  9.5570508E+03  9.5653496E+03  9.5628975E+03  9.5592285E+03  9.5590811E+03  9.5578652E+03  9.5477598E+03
  5.2500000E+03  9.7993965E+03  9.7963975E+03  9.7933984E+03  9.7903994E+03  9.7874004E+03  9.7957002E+03  9.7932490E+03  9.7895977E+03  9.7895801E+03  9.7894385E+03  9.7882539E+03
  5.5000000E+03  1.0029746E+04  1.0026748E+04  1.0023748E+04  1.0020750E+04  1.0017750E+04  1.0026051E+04  1.0023600E+04  1.0019949E+04  1.0019946E+04  1.0019930E+04  1.0019793E+04
  5.7500000E+03  1.0260097E+04  1.0257098E+04  1.0254099E+04  1.0251100E+04  1.0248101E+04  1.0256400E+04  1.0253950E+04  1.0250300E+04  1.0250300E+04  1.0250298E+04  1.0250282E+04
  6.0000000E+03  1.0490446E+04  1.0487447E+04  1.0484448E+04  1.0481449E+04  1.0478450E+04  1.0486750E+04  1.0484300E+04  1.0480649E+04  1.0480649E+04  1.0480649E+04  1.0480646E+04
