#Table Version   6
#[Z/Z_SOLAR]=-1.75 [A/Fe]= 0.0 A09     | VALID RANGE:   25  25  25  25  25  25  25  25  25  25  25
#Teff(K)| Pgas@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  1.5000000e+03  1.1476904e+08  1.2265684e+08  1.3108674e+08  1.4009601e+08  1.4972447e+08  1.6001467e+08  1.7101209e+08  1.8276533e+08  1.9532635e+08  2.0875065e+08  2.2309758e+08
  1.6000000e+03  6.1242591e+07  7.0963118e+07  8.2226502e+07  9.5277631e+07  1.1040026e+08  1.2792317e+08  1.4822735e+08  1.7175424e+08  1.9901536e+08  2.3060341e+08  2.6720517e+08
  1.7000000e+03  3.3948799e+07  4.2441068e+07  5.3057674e+07  6.6330016e+07  8.2922426e+07  1.0366542e+08  1.2959725e+08  1.6201592e+08  2.0254410e+08  2.5321037e+08  3.1655078e+08
  1.8000000e+03  1.9464585e+07  2.6139906e+07  3.5104509e+07  4.7143495e+07  6.3311216e+07  8.5023608e+07  1.1418220e+08  1.5334065e+08  2.0592836e+08  2.7655088e+08  3.7139318e+08
  1.9000000e+03  1.1500872e+07  1.6527412e+07  2.3750839e+07  3.4131317e+07  4.9048660e+07  7.0485737e+07  1.0129205e+08  1.4556248e+08  2.0918163e+08  3.0060599e+08  4.3198805e+08
  2.0000000e+03  6.9813650e+06  1.0698441e+07  1.6394594e+07  2.5123540e+07  3.8500024e+07  5.8998527e+07  9.0411012e+07  1.3854839e+08  2.1231548e+08  3.2535825e+08  4.9858819e+08
  2.1000000e+03  4.3423954e+06  7.0738163e+06  1.1523335e+07  1.8771656e+07  3.0579262e+07  4.9813998e+07  8.1147624e+07  1.3219049e+08  2.1533996e+08  3.5079147e+08  5.7144368e+08
  2.2000000e+03  2.7612972e+06  4.7681151e+06  8.2334206e+06  1.4217194e+07  2.4549772e+07  4.2391719e+07  7.3200594e+07  1.2640032e+08  2.1826382e+08  3.7689063e+08  6.5080205e+08
  2.3000000e+03  1.7915889e+06  3.2708143e+06  5.9713621e+06  1.0901617e+07  1.9902537e+07  3.6335066e+07  6.6335112e+07  1.2110469e+08  2.2109478e+08  4.0364168e+08  7.3690843e+08
  2.4000000e+03  1.1840246e+06  2.2799891e+06  4.3904072e+06  8.4542840e+06  1.6279793e+07  3.1348798e+07  6.0366074e+07  1.1624251e+08  2.2383964e+08  4.3103152e+08  8.3000567e+08
  2.5000000e+03  7.9584250e+05  1.6129033e+06  3.2688088e+06  6.6247688e+06  1.3426163e+07  2.7210287e+07  5.5146039e+07  1.1176235e+08  2.2650444e+08  4.5904781e+08  9.3033448e+08
  2.8000000e+03  2.6414656e+05  6.1699625e+05  1.4411862e+06  3.3663374e+06  7.8631255e+06  1.8366769e+07  4.2901288e+07  1.0020927e+08  2.3406984e+08  5.4674273e+08  1.2770873e+09
  3.0000000e+03  1.3497319e+05  3.4373249e+05  8.7537402e+05  2.2292908e+06  5.6772731e+06  1.4458154e+07  3.6820181e+07  9.3768936e+07  2.3879875e+08  6.0814217e+08  1.5487388e+09
  3.2000000e+03  6.8443813e+04  1.8277516e+05  4.8809027e+05  1.3034163e+06  3.4806961e+06  9.2949934e+06  2.4821731e+07  6.6284967e+07  1.7701009e+08  4.7269499e+08  1.2623040e+09
  3.5000000e+03  2.6961430e+04  8.0333143e+04  2.3120924e+05  6.4279759e+05  1.7262429e+06  4.4780420e+06  1.1221038e+07  2.7160422e+07  6.3503638e+07  1.4342317e+08  3.1289499e+08
  3.7500000e+03  2.0750536e+04  4.9893628e+04  1.2283473e+05  3.0964041e+05  7.9919804e+05  2.1120857e+06  5.7151679e+06  1.5834589e+07  4.4920537e+07  1.3047984e+08  3.8806301e+08
  4.0000000e+03  1.7057485e+04  3.5361640e+04  7.7167965e+04  1.7726742e+05  4.2865515e+05  1.0911247e+06  2.9236676e+06  8.2464841e+06  2.4484819e+07  7.6526562e+07  2.5177624e+08
  4.2500000e+03  1.3209244e+04  2.6640667e+04  5.6047115e+04  1.2299925e+05  2.8157412e+05  6.7239433e+05  1.6749289e+06  4.3522094e+06  1.1796800e+07  3.3354904e+07  9.8377600e+07
  4.5000000e+03  9.7040877e+03  2.0114486e+04  4.2691889e+04  9.2782057e+04  2.0647374e+05  4.7048724e+05  1.0977743e+06  2.6227717e+06  6.4163806e+06  1.6073185e+07  4.1228350e+07
  4.7500000e+03  6.8338616e+03  1.4692904e+04  3.1906956e+04  6.9984109e+04  1.5504216e+05  3.4692570e+05  7.8407833e+05  1.7898587e+06  4.1268086e+06  9.6105054e+06  2.2605516e+07
  5.0000000e+03  4.6070119e+03  1.0252464e+04  2.2861810e+04  5.1081832e+04  1.1436570e+05  2.5656568e+05  5.7673302e+05  1.2990460e+06  2.9318904e+06  6.6304712e+06  1.5025002e+07
  5.2500000e+03  3.0849371e+03  6.9993905e+03  1.5879905e+04  3.6025443e+04  8.1723044e+04  1.8537600e+05  4.2047119e+05  9.5365822e+05  2.1628332e+06  4.9048652e+06  1.1122563e+07
  5.5000000e+03  2.0778022e+03  4.7664155e+03  1.0934965e+04  2.5088849e+04  5.7568097e+04  1.3210548e+05  3.0317792e+05  6.9584440e+05  1.5972192e+06  3.6665254e+06  8.4174917e+06
  5.7500000e+03  1.4453177e+03  3.3201789e+03  7.6401865e+03  1.7611274e+04  4.0665104e+04  9.4058345e+04  2.1793004e+05  5.0580276e+05  1.1759520e+06  2.7386866e+06  6.3890958e+06
  6.0000000e+03  9.8689921e+02  2.2998546e+03  5.3607055e+03  1.2497913e+04  2.9143859e+04  6.7975214e+04  1.5857989e+05  3.7003227e+05  8.6362478e+05  2.0160652e+06  4.7073668e+06
#Teff(K)|    T@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00
