#Table Version   6
#[Z/Z_SOLAR]=-3.00 [A/Fe]= 0.0 A09     | VALID RANGE:   25  25  25  25  25  25  25  25  25  25  25
#Teff(K)| Pgas@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  1.5000000e+03  1.4012784e+07  2.5984873e+07  4.8185544e+07  8.9353781e+07  1.6569488e+08  3.0725946e+08  5.6977243e+08  1.0565683e+09  1.9592676e+09  3.6332051e+09  6.7373031e+09
  1.6000000e+03  1.0642757e+07  2.0022771e+07  3.7669880e+07  7.0870302e+07  1.3333198e+08  2.5084438e+08  4.7192657e+08  8.8785997e+08  1.6703771e+09  3.1425672e+09  5.9122749e+09
  1.7000000e+03  8.2191902e+06  1.5674456e+07  2.9892067e+07  5.7005847e+07  1.0871335e+08  2.0732244e+08  3.9537552e+08  7.5400328e+08  1.4379265e+09  2.7422064e+09  5.2295414e+09
  1.8000000e+03  6.4419951e+06  1.2443435e+07  2.4035890e+07  4.6428015e+07  8.9680915e+07  1.7322874e+08  3.3461072e+08  6.4633811e+08  1.2484745e+09  2.4115684e+09  4.6582147e+09
  1.9000000e+03  5.1160408e+06  1.0002530e+07  1.9556257e+07  3.8235044e+07  7.4754520e+07  1.4615488e+08  2.8575194e+08  5.5868248e+08  1.0922974e+09  2.1355846e+09  4.1753477e+09
  2.0000000e+03  4.1113321e+06  8.1310141e+06  1.6080771e+07  3.1803070e+07  6.2897184e+07  1.2439226e+08  2.4601157e+08  4.8653903e+08  9.6223212e+08  1.9030141e+09  3.7636062e+09
  2.1000000e+03  3.3393718e+06  6.6768236e+06  1.3349808e+07  2.6691941e+07  5.3368534e+07  1.0670638e+08  2.1335141e+08  4.2658016e+08  8.5291505e+08  1.7053397e+09  3.4096989e+09
  2.2000000e+03  2.7387310e+06  5.5332052e+06  1.1179032e+07  2.2585598e+07  4.5630896e+07  9.2190548e+07  1.8625751e+08  3.7630605e+08  7.6027133e+08  1.5360170e+09  3.1032976e+09
  2.3000000e+03  2.2660141e+06  4.6239299e+06  9.4353902e+06  1.9253447e+07  3.9287746e+07  8.0168867e+07  1.6358910e+08  3.3381281e+08  6.8116390e+08  1.3899534e+09  2.8362785e+09
  2.4000000e+03  1.8900727e+06  3.8937172e+06  8.0214026e+06  1.6524801e+07  3.4042554e+07  7.0130679e+07  1.4447542e+08  2.9763216e+08  6.1314864e+08  1.2631405e+09  2.6021815e+09
  2.5000000e+03  1.5882212e+06  3.3019101e+06  6.8646678e+06  1.4271637e+07  2.9670719e+07  6.1685395e+07  1.2824387e+08  2.6661888e+08  5.5430038e+08  1.1523899e+09  2.3958174e+09
  2.8000000e+03  9.7976718e+05  2.0892673e+06  4.4551787e+06  9.5002767e+06  2.0258504e+07  4.3199478e+07  9.2119087e+07  1.9643585e+08  4.1888217e+08  8.9322937e+08  1.9047330e+09
  3.0000000e+03  7.3014131e+05  1.5811932e+06  3.4242303e+06  7.4155093e+06  1.6059019e+07  3.4777393e+07  7.5313885e+07  1.6309967e+08  3.5320846e+08  7.6490784e+08  1.6564836e+09
  3.2000000e+03  4.0732841e+05  9.3934290e+05  2.1662253e+06  4.9955473e+06  1.1520267e+07  2.6566968e+07  6.1266271e+07  1.4128658e+08  3.2582197e+08  7.5138033e+08  1.7327635e+09
  3.5000000e+03  1.1638731e+05  3.0513525e+05  7.9997998e+05  2.0973256e+06  5.4986060e+06  1.4415820e+07  3.7794280e+07  9.9086119e+07  2.5977632e+08  6.8106145e+08  1.7855542e+09
  3.7500000e+03  4.6217438e+04  1.3553182e+05  3.8688463e+05  1.0750447e+06  2.9078795e+06  7.6565145e+06  1.9624141e+07  4.8961536e+07  1.1891160e+08  2.8112423e+08  6.4695959e+08
  4.0000000e+03  3.1474588e+04  7.6964730e+04  1.9209391e+05  4.8935676e+05  1.2724120e+06  3.3769144e+06  9.1475019e+06  2.5291531e+07  7.1373647e+07  2.0558471e+08  6.0441312e+08
  4.2500000e+03  2.1579813e+04  4.7500975e+04  1.0860706e+05  2.5793737e+05  6.3631356e+05  1.6305299e+06  4.3399734e+06  1.1999027e+07  3.4459241e+07  1.0279360e+08  3.1851297e+08
  4.5000000e+03  1.3338240e+04  2.9375153e+04  6.6336507e+04  1.5360874e+05  3.6472883e+05  8.8800443e+05  2.2169251e+06  5.6751558e+06  1.4896883e+07  4.0096262e+07  1.1066320e+08
  4.7500000e+03  7.9575391e+03  1.8239281e+04  4.2040323e+04  9.7443695e+04  2.2712808e+05  5.3237455e+05  1.2548538e+06  2.9743930e+06  7.0897830e+06  1.6994051e+07  4.0962861e+07
