#Table Version   6
#[Z/Z_SOLAR]=-3.00 [A/Fe]= 0.0 A09      | VALID RANGE:  105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105
#Teff(K)| Pgas@  log g =-2.00   log g =-1.50   log g =-1.00   log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00   log g = 6.50   log g = 7.00   log g = 7.50   log g = 8.00   log g = 8.50   log g = 9.00   log g = 9.50   log g =10.00 
  2.0000000e+03  3.4766634e+02  8.9359848e+02  2.2967948e+03  5.9033967e+03  1.5173359e+04  3.8999722e+04  1.0024005e+05  2.5764461e+05  6.6221777e+05  1.7020825e+06  4.3748219e+06  1.1244500e+07  2.8901470e+07  7.4284756e+07  1.9093233e+08  4.9074880e+08  1.2613599e+09  3.2420432e+09  8.3329460e+09  2.1417972e+10  5.5050100e+10  1.4149396e+11  3.6367853e+11  9.3475422e+11  2.4025764e+12
  2.1000000e+03  3.6400750e+02  9.1543844e+02  2.3044831e+03  5.8065534e+03  1.4643428e+04  3.6959657e+04  9.3359196e+04  2.3600144e+05  5.9701596e+05  1.5113224e+06  3.8283796e+06  9.7039151e+06  2.4611669e+07  6.2457664e+07  1.5858786e+08  4.0288685e+08  1.0240357e+09  2.6040917e+09  6.6251746e+09  1.6862790e+10  4.2938227e+10  1.0937885e+11  2.7873375e+11  7.1056788e+11  1.8120690e+12
  2.2000000e+03  3.8144472e+02  9.3850256e+02  2.3131857e+03  5.7106213e+03  1.4118968e+04  3.4956800e+04  8.6664282e+04  2.1513166e+05  5.3469179e+05  1.3305135e+06  3.3146274e+06  8.2667351e+06  2.0639643e+07  5.1585163e+07  1.2905893e+08  3.2320532e+08  8.1018307e+08  2.0327757e+09  5.1048771e+09  1.2830957e+10  3.2277490e+10  8.1263826e+10  2.0475875e+11  5.1633058e+11  1.3030109e+12
  2.3000000e+03  4.0298295e+02  9.6660229e+02  2.3266497e+03  5.6164016e+03  1.3590878e+04  3.2959242e+04  8.0087159e+04  1.9495941e+05  4.7541874e+05  1.1612471e+06  2.8409362e+06  6.9608770e+06  1.7080969e+07  4.1974938e+07  1.0329554e+08  2.5455027e+08  6.2813679e+08  1.5520772e+09  3.8400999e+09  9.5134051e+09  2.3598871e+10  5.8615243e+10  1.4578185e+11  3.6306981e+11  9.0553980e+11
  2.4000000e+03  4.3570267e+02  1.0089258e+03  2.3547662e+03  5.5287923e+03  1.3042286e+04  3.0884804e+04  7.3375092e+04  1.7481881e+05  4.1757872e+05  9.9979138e+05  2.3990287e+06  5.7685639e+06  1.3898556e+07  3.3551690e+07  8.1148914e+07  1.9663582e+08  4.7736378e+08  1.1610392e+09  2.8292348e+09  6.9078664e+09  1.6901275e+10  4.1444988e+10  1.0188737e+11  2.5121606e+11  6.2163306e+11
  2.5000000e+03  4.8977498e+02  1.0783489e+03  2.4115013e+03  5.4569958e+03  1.2461786e+04  2.8663380e+04  6.6313047e+04  1.5416032e+05  3.5987223e+05  8.4316596e+05  1.9820551e+06  4.6735924e+06  1.1052172e+07  2.6209784e+07  6.2327623e+07  1.4862977e+08  3.5544537e+08  8.5260559e+08  2.0518259e+09  4.9558307e+09  1.2020533e+10  2.9303931e+10  7.1887470e+10  1.7777696e+11  4.4432684e+11
  2.8000000e+03  5.6779120e+02  1.1761487e+03  2.4944065e+03  5.3910665e+03  1.1828443e+04  2.6267874e+04  5.8907809e+04  1.3317634e+05  3.0313701e+05  6.9408256e+05  1.5975819e+06  3.6949328e+06  8.5847646e+06  2.0034634e+07  4.6965699e+07  1.1061320e+08  2.6182728e+08  6.2323356e+08  1.4930633e+09  3.6042481e+09  8.7817701e+09  2.1645625e+10  5.4139027e+10  1.3795856e+11  3.5998805e+11
  3.0000000e+03  6.4753491e+02  1.2680488e+03  2.5524551e+03  5.2607054e+03  1.1061581e+04  2.3653232e+04  5.1297844e+04  1.1259060e+05  2.4966926e+05  5.5864471e+05  1.2601417e+06  2.8639068e+06  6.5557090e+06  1.5114116e+07  3.5103038e+07  8.2172338e+07  1.9403746e+08  4.6275259e+08  1.1164422e+09  2.7308731e+09  6.7915072e+09  1.7232173e+10  4.4792891e+10  1.1983024e+11  3.3148855e+11
  3.2000000e+03  6.8359045e+02  1.2878569e+03  2.4930481e+03  4.9461954e+03  1.0030817e+04  2.0740185e+04  4.3620120e+04  9.3128508e+04  2.0150200e+05  4.4128304e+05  9.7722555e+05  2.1870757e+06  4.9456660e+06  1.1301239e+07  2.6107630e+07  6.1025157e+07  1.4450522e+08  3.4722615e+08  8.4843177e+08  2.1135913e+09  5.3843610e+09  1.4073551e+10  3.7872960e+10  1.0527883e+11  3.0315086e+11
  3.5000000e+03  6.4251817e+02  1.1885497e+03  2.2542277e+03  4.3756122e+03  8.6755956e+03  1.7536383e+04  3.6072334e+04  7.5389110e+04  1.5987191e+05  3.4366422e+05  7.4836594e+05  1.6503748e+06  3.6860692e+06  8.3412551e+06  1.9138676e+07  4.4574079e+07  1.0552932e+08  2.5442840e+08  6.2601258e+08  1.5756828e+09  4.0676662e+09  1.0798234e+10  2.9550822e+10  8.3546047e+10  2.4441452e+11
  3.7500000e+03  5.3229945e+02  9.8397605e+02  1.8612302e+03  3.5961104e+03  7.0838061e+03  1.4200075e+04  2.8917123e+04  5.9733669e+04  1.2502301e+05  2.6494061e+05  5.6828227e+05  1.2339462e+06  2.7138611e+06  6.0513165e+06  1.3697605e+07  3.1525540e+07  7.3909646e+07  1.7686508e+08  4.3293851e+08  1.0864837e+09  2.8015253e+09  7.4378593e+09  2.0369838e+10  5.7632345e+10  1.6863592e+11
  4.0000000e+03  3.9038479e+02  7.3147111e+02  1.4010128e+03  2.7367182e+03  5.4386778e+03  1.0969058e+04  2.2401618e+04  4.6238139e+04  9.6321466e+04  2.0234586e+05  4.2858896e+05  9.1575157e+05  1.9760480e+06  4.3136641e+06  9.5473158e+06  2.1479049e+07  4.9255016e+07  1.1545483e+08  2.7738463e+08  6.8477720e+08  1.7408784e+09  4.5660360e+09  1.2373509e+10  3.4680631e+10  1.0060273e+11
  4.2500000e+03  2.5645393e+02  4.9280174e+02  9.6788656e+02  1.9364854e+03  3.9326949e+03  8.0783763e+03  1.6731123e+04  3.4844510e+04  7.2827086e+04  1.5257650e+05  3.2031662e+05  6.7424728e+05  1.4251207e+06  3.0318322e+06  6.5126690e+06  1.4180122e+07  3.1428376e+07  7.1218252e+07  1.6568964e+08  3.9719394e+08  9.8389027e+08  2.5234379e+09  6.7090806e+09  1.8501276e+10  5.2923489e+10
  4.5000000e+03  1.5371769e+02  3.0599977e+02  6.2264818e+02  1.2887062e+03  2.6993726e+03  5.6951235e+03  1.2052298e+04  2.5497816e+04  5.3793501e+04  1.1300106e+05  2.3621484e+05  4.9155774e+05  1.0197607e+06  2.1142601e+06  4.3966339e+06  9.2136189e+06  1.9568596e+07  4.2390562e+07  9.4271391e+07  2.1651016e+08  5.1597432e+08  1.2799309e+09  3.3096828e+09  8.9221840e+09  2.5055688e+10
  4.7500000e+03  8.6254163e+01  1.7944058e+02  3.8117314e+02  8.2116537e+02  1.7825599e+03  3.8771300e+03  8.4104449e+03  1.8130930e+04  3.8743891e+04  8.1934193e+04  1.7135030e+05  3.5441846e+05  7.2578001e+05  1.4744486e+06  2.9810387e+06  6.0252182e+06  1.2247300e+07  2.5223785e+07  5.3093298e+07  1.1526106e+08  2.6024480e+08  6.1504989e+08  1.5268330e+09  3.9837086e+09  1.0907497e+10
  5.0000000e+03  4.6838494e+01  1.0247457e+02  2.2805610e+02  5.1201877e+02  1.1515327e+03  2.5795875e+03  5.7309764e+03  1.2587476e+04  2.7272794e+04  5.8210563e+04  1.2230887e+05  2.5297661e+05  5.1538845e+05  1.0356267e+06  2.0570806e+06  4.0525610e+06  7.9563099e+06  1.5669284e+07  3.1224158e+07  6.3629812e+07  1.3419777e+08  2.9634001e+08  6.9140950e+08  1.7124564e+09  4.5022094e+09
  5.2500000e+03  2.5599302e+01  5.8942875e+01  1.3706922e+02  3.1926031e+02  7.4006343e+02  1.6992768e+03  3.8518235e+03  8.5992196e+03  1.8878387e+04  4.0716375e+04  8.6232189e+04  1.7932864e+05  3.6633144e+05  7.3570414e+05  1.4545613e+06  2.8370105e+06  5.4752583e+06  1.0501518e+07  2.0140954e+07  3.8957827e+07  7.6861925e+07  1.5684501e+08  3.3606415e+08  7.6623280e+08  1.8743237e+09
  5.5000000e+03  1.4623391e+01  3.5159472e+01  8.4622523e+01  2.0253520e+02  4.7978844e+02  1.1213063e+03  2.5796776e+03  5.8336118e+03  1.2955051e+04  2.8238735e+04  6.0404690e+04  1.2680892e+05  2.6135370e+05  5.2913705e+05  1.0533184e+06  2.0642169e+06  3.9895152e+06  7.6228184e+06  1.4448768e+07  2.7301113e+07  5.1782395e+07  9.9562626e+07  1.9665527e+08  4.0572963e+08  8.9018150e+08
  5.7500000e+03  8.9257495e+00  2.2076158e+01  5.4251050e+01  1.3190440e+02  3.1640046e+02  7.4733174e+02  1.7359793e+03  3.9626713e+03  8.8848350e+03  1.9563552e+04  4.2305305e+04  8.9863296e+04  1.8757504e+05  3.8495416e+05  7.7731001e+05  1.5456905e+06  3.0302797e+06  5.8652685e+06  1.1228509e+07  2.1311767e+07  4.0234396e+07  7.5905660e+07  1.4407988e+08  2.7793027e+08  5.5271354e+08
  6.0000000e+03  5.8067983e+00  1.4545561e+01  3.6050208e+01  8.8199562e+01  2.1268573e+02  5.0498965e+02  1.1798263e+03  2.7113341e+03  6.1278426e+03  1.3620638e+04  2.9779853e+04  6.4063340e+04  1.3565518e+05  2.8289668e+05  5.8137047e+05  1.1782103e+06  2.3566252e+06  4.6564435e+06  9.0984400e+06  1.7601734e+07  3.3764567e+07  6.4344852e+07  1.2214211e+08  2.3185985e+08  4.4284783e+08
  6.2500000e+03  3.9425342e+00  9.9003735e+00  2.4565210e+01  6.0155500e+01  1.4526922e+02  3.4577198e+02  8.1093663e+02  1.8736952e+03  4.2650036e+03  9.5651860e+03  2.1140322e+04  4.6057959e+04  9.8955219e+04  2.0975381e+05  4.3887367e+05  9.0692042e+05  1.8520630e+06  3.7399689e+06  7.4728253e+06  1.4784194e+07  2.8981379e+07  5.6338202e+07  1.0871387e+08  2.0852482e+08  3.9839313e+08
  6.5000000e+03  2.7168974e+00  6.8170133e+00  1.6903205e+01  4.1394783e+01  1.0008065e+02  2.3881913e+02  5.6239135e+02  1.3068842e+03  2.9969559e+03  6.7829337e+03  1.5153999e+04  3.3428228e+04  7.2828452e+04  1.5675902e+05  3.3347425e+05  7.0137945e+05  1.4590538e+06  3.0031986e+06  6.1186563e+06  1.2343802e+07  2.4667363e+07  4.8847349e+07  9.5892068e+07  1.8670871e+08  3.6081457e+08
  6.7500000e+03  1.8504260e+00  4.6481528e+00  1.1546307e+01  2.8355077e+01  6.8825713e+01  1.6509679e+02  3.9134004e+02  9.1659574e+02  2.1213251e+03  4.8512766e+03  1.0963560e+04  2.4486889e+04  5.4057152e+04  1.1797005e+05  2.5454273e+05  5.4312514e+05  1.1462432e+06  2.3932303e+06  4.9444746e+06  1.0110740e+07  2.0467881e+07  4.1028995e+07  8.1459283e+07  1.6022645e+08  3.1232352e+08
  7.0000000e+03  1.2177174e+00  3.0773115e+00  7.6974976e+00  1.9054649e+01  4.6671668e+01  1.1309313e+02  2.7106715e+02  6.4253588e+02  1.5059607e+03  3.4892870e+03  7.9905486e+03  1.8082094e+04  4.0427949e+04  8.9294707e+04  1.9483169e+05  4.1994789e+05  8.9429205e+05  1.8818694e+06  3.9140813e+06  8.0486585e+06  1.6368334e+07  3.2931454e+07  6.5566146e+07  1.2922424e+08  2.5219396e+08
  7.2500000e+03  7.6034117e-01  1.9449190e+00  4.9304014e+00  1.2384325e+01  3.0815330e+01  7.5932003e+01  1.8520912e+02  4.4693991e+02  1.0663799e+03  2.5138875e+03  5.8510379e+03  1.3435932e+04  3.0421845e+04  6.7887182e+04  1.4926654e+05  3.2336572e+05  6.9033861e+05  1.4528841e+06  3.0159881e+06  6.1791612e+06  1.2503199e+07  2.5003085e+07  4.9444657e+07  9.6748547e+07  1.8740640e+08
  7.5000000e+03  4.4471579e-01  1.1585852e+00  2.9966940e+00  7.6933983e+00  1.9595940e+01  4.9487445e+01  1.2379388e+02  3.0637779e+02  7.4911672e+02  1.8067277e+03  4.2913318e+03  1.0023082e+04  2.2992287e+04  5.1755281e+04  1.1426935e+05  2.4746932e+05  5.2594145e+05  1.0978719e+06  2.2535237e+06  4.5545132e+06  9.0759077e+06  1.7856145e+07  3.4726851e+07  6.6831687e+07  1.2738493e+08
  7.7500000e+03  2.4206020e-01  6.4595475e-01  1.7159621e+00  4.5360920e+00  1.1923014e+01  3.1121749e+01  8.0524166e+01  2.0604819e+02  5.2003074e+02  1.2908410e+03  3.1426664e+03  7.4858123e+03  1.7412059e+04  3.9497661e+04  8.7329371e+04  1.8823470e+05  3.9589416e+05  8.1368359e+05  1.6375537e+06  3.2344781e+06  6.2856240e+06  1.2047091e+07  2.2823593e+07  4.2826524e+07  7.9723821e+07
  8.0000000e+03  1.2268410e-01  3.3718173e-01  9.2603872e-01  2.5399180e+00  6.9472279e+00  1.8904901e+01  5.1014148e+01  1.3597060e+02  3.5642519e+02  9.1496020e+02  2.2911314e+03  5.5782086e+03  1.3172713e+04  3.0124925e+04  6.6679120e+04  1.4289350e+05  2.9684067e+05  5.9897292e+05  1.1772367e+06  2.2612978e+06  4.2614394e+06  7.9115368e+06  1.4532484e+07  2.6526359e+07  4.8323141e+07
  8.2500000e+03  5.8662808e-02  1.6702435e-01  4.7764583e-01  1.3701254e+00  3.9310959e+00  1.1233457e+01  3.1800793e+01  8.8661515e+01  2.4203307e+02  6.4350971e+02  1.6589721e+03  4.1325806e+03  9.9231097e+03  2.2935501e+04  5.1005838e+04  1.0919791e+05  2.2539036e+05  4.4962811e+05  8.6996653e+05  1.6403731e+06  3.0328495e+06  5.5415468e+06  1.0104274e+07  1.8599483e+07  3.5010006e+07
  8.5000000e+03  2.7876838e-02  8.2485992e-02  2.4659767e-01  7.4254169e-01  2.2402289e+00  6.7257640e+00  1.9943921e+01  5.7985264e+01  1.6422050e+02  4.5060296e+02  1.1929059e+03  3.0378920e+03  7.4282114e+03  1.7425381e+04  3.9222839e+04  8.4815216e+04  1.7660826e+05  3.5546716e+05  6.9551896e+05  1.3338525e+06  2.5360960e+06  4.8527862e+06  9.5108555e+06  1.9420306e+07  4.1799183e+07
  8.7500000e+03  1.5498226e-02  4.6676550e-02  1.4297156e-01  4.4310013e-01  1.3788154e+00  4.2690778e+00  1.3033207e+01  3.8916761e+01  1.1290037e+02  3.1659968e+02  8.5508158e+02  2.2191696e+03  5.5282410e+03  1.3219770e+04  3.0384164e+04  6.7297523e+04  1.4426568e+05  3.0128833e+05  6.1874697e+05  1.2652772e+06  2.6157783e+06  5.5542090e+06  1.2266887e+07  2.8340241e+07  6.8328313e+07
