#Table Version   6
#[Z/Z_SOLAR]=-2.00 [A/Fe]= 0.0 A09     | VALID RANGE:   25  25  25  25  25  25  25  25  25  25  25
#Teff(K)| Pgas@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  1.5000000e+03  5.5036621e+07  6.8301137e+07  8.4762567e+07  1.0519141e+08  1.3054385e+08  1.6200656e+08  2.0105217e+08  2.4950826e+08  3.0964288e+08  3.8427070e+08  4.7688475e+08
  1.6000000e+03  3.2934287e+07  4.3433289e+07  5.7279230e+07  7.5539069e+07  9.9619896e+07  1.3137736e+08  1.7325868e+08  2.2849118e+08  3.0133106e+08  3.9739130e+08  5.2407424e+08
  1.7000000e+03  2.0331465e+07  2.8388373e+07  3.9638056e+07  5.5345738e+07  7.7278025e+07  1.0790159e+08  1.5066060e+08  2.1036405e+08  2.9372665e+08  4.1012400e+08  5.7264705e+08
  1.8000000e+03  1.2902268e+07  1.9011548e+07  2.8013600e+07  4.1278161e+07  6.0823551e+07  8.9623768e+07  1.3206101e+08  1.9459248e+08  2.8673287e+08  4.2250213e+08  6.2255874e+08
  1.9000000e+03  8.3915971e+06  1.3011017e+07  2.0173343e+07  3.1278397e+07  4.8496580e+07  7.5193056e+07  1.1658545e+08  1.8076360e+08  2.8027064e+08  4.3455448e+08  6.7376873e+08
  2.0000000e+03  5.5796644e+06  9.0793609e+06  1.4774149e+07  2.4040842e+07  3.9119822e+07  6.3656691e+07  1.0358366e+08  1.6855376e+08  2.7427464e+08  4.4630613e+08  7.2623980e+08
  2.1000000e+03  3.7846066e+06  6.4479944e+06  1.0985721e+07  1.8716838e+07  3.1888668e+07  5.4330074e+07  9.2564446e+07  1.5770596e+08  2.6869032e+08  4.5777907e+08  7.7993758e+08
  2.2000000e+03  2.6138314e+06  4.6527492e+06  8.2821235e+06  1.4742589e+07  2.6242537e+07  4.6713014e+07  8.3151473e+07  1.4801373e+08  2.6347176e+08  4.6899276e+08  8.3483029e+08
  2.3000000e+03  1.8351897e+06  3.4063964e+06  6.3227997e+06  1.1736096e+07  2.1784013e+07  4.0434504e+07  7.5052706e+07  1.3930945e+08  2.5857993e+08  4.7996443e+08  8.9088836e+08
  2.4000000e+03  1.3080441e+06  2.5272304e+06  4.8827815e+06  9.4338670e+06  1.8226875e+07  3.5215565e+07  6.8038874e+07  1.3145575e+08  2.5398147e+08  4.9070952e+08  9.4808427e+08
  2.5000000e+03  9.4529617e+05  1.8979634e+06  3.8107264e+06  7.6511675e+06  1.5361996e+07  3.0843779e+07  6.1928067e+07  1.2433903e+08  2.4964760e+08  5.0124186e+08  1.0063922e+09
  2.8000000e+03  3.8368698e+05  8.5714047e+05  1.9148155e+06  4.2776168e+06  9.5560149e+06  2.1347733e+07  4.7689931e+07  1.0653729e+08  2.3799979e+08  5.3168146e+08  1.1877539e+09
  3.0000000e+03  2.2160635e+05  5.2829609e+05  1.2594258e+06  3.0023947e+06  7.1575269e+06  1.7063110e+07  4.0677418e+07  9.6972497e+07  2.3117655e+08  5.5111086e+08  1.3138149e+09
  3.2000000e+03  1.0352018e+05  2.6737753e+05  6.9059721e+05  1.7837120e+06  4.6070681e+06  1.1899386e+07  3.0734380e+07  7.9382425e+07  2.0503324e+08  5.2957098e+08  1.3678047e+09
  3.5000000e+03  3.3580185e+04  1.0463287e+05  3.1076782e+05  8.7980581e+05  2.3742174e+06  6.1071278e+06  1.4973951e+07  3.4996021e+07  7.7962150e+07  1.6555100e+08  3.3509094e+08
  3.7500000e+03  2.4348282e+04  6.1294591e+04  1.5640288e+05  4.0451635e+05  1.0604646e+06  2.8178965e+06  7.5896658e+06  2.0719965e+07  5.7335573e+07  1.6081555e+08  4.5719418e+08
