#Table Version   6
#[Z/Z_SOLAR]=-3.50 [A/Fe]= 0.0 A09      | VALID RANGE:  105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105
#Teff(K)| Pgas@  log g =-2.00   log g =-1.50   log g =-1.00   log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00   log g = 6.50   log g = 7.00   log g = 7.50   log g = 8.00   log g = 8.50   log g = 9.00   log g = 9.50   log g =10.00 
  2.0000000e+03  4.3617760e+02  1.1240214e+03  2.8965818e+03  7.4644365e+03  1.9235711e+04  4.9570063e+04  1.2774111e+05  3.2918642e+05  8.4830717e+05  2.1860715e+06  5.6334648e+06  1.4517332e+07  3.7410889e+07  9.6407152e+07  2.4843940e+08  6.4022363e+08  1.6498441e+09  4.2516171e+09  1.0956337e+10  2.8234272e+10  7.2759183e+10  1.8749903e+11  4.8318145e+11  1.2451494e+12  3.2087265e+12
  2.1000000e+03  4.5770380e+02  1.1542633e+03  2.9136566e+03  7.3614433e+03  1.8614845e+04  4.7109698e+04  1.1931626e+05  3.0242125e+05  7.6706863e+05  1.9469371e+06  4.9448438e+06  1.2566777e+07  3.1956133e+07  8.1307802e+07  2.0698894e+08  5.2721604e+08  1.3435281e+09  3.4254057e+09  8.7372615e+09  2.2296052e+10  5.6919568e+10  1.4536781e+11  3.7139861e+11  9.4922789e+11  2.4269006e+12
  2.2000000e+03  4.8052699e+02  1.1859703e+03  2.9319083e+03  7.2592560e+03  1.7999400e+04  4.4690611e+04  1.1110690e+05  2.7657334e+05  6.8929445e+05  1.7199148e+06  4.2963589e+06  1.0744108e+07  2.6896872e+07  6.7403244e+07  1.6908064e+08  4.2454907e+08  1.0670138e+09  2.6841564e+09  6.7581712e+09  1.7030303e+10  4.2951270e+10  1.0841245e+11  2.7385550e+11  6.9229809e+11  1.7513997e+12
  2.3000000e+03  5.0798615e+02  1.2234550e+03  2.9555946e+03  7.1585415e+03  1.7377663e+04  4.2271735e+04  1.0302243e+05  2.5152734e+05  6.1513560e+05  1.5068060e+06  3.6967393e+06  9.0830868e+06  2.2350244e+07  5.5074222e+07  1.3589909e+08  3.3579401e+08  8.3081588e+08  2.0582609e+09  5.1056290e+09  1.2680663e+10  3.1533396e+10  7.8510853e+10  1.9571117e+11  4.8845993e+11  1.2206059e+12
  2.4000000e+03  5.4764335e+02  1.2766926e+03  2.9954807e+03  7.0640724e+03  1.6728108e+04  3.9751872e+04  9.4751513e+04  2.2645809e+05  5.4257146e+05  1.3029114e+06  3.1354669e+06  7.5608965e+06  1.8268066e+07  4.4221377e+07  1.0724346e+08  2.6055053e+08  6.3413896e+08  1.5461157e+09  3.7762793e+09  9.2396822e+09  2.2648314e+10  5.5619554e+10  1.3685953e+11  3.3747733e+11  8.3413305e+11
  2.5000000e+03  6.1000256e+02  1.3590126e+03  3.0657365e+03  6.9838203e+03  1.6033564e+04  3.7043296e+04  8.6033466e+04  2.0070795e+05  4.7006004e+05  1.1047196e+06  2.6045193e+06  6.1586127e+06  1.4603217e+07  3.4719795e+07  8.2763729e+07  1.9779976e+08  4.7395832e+08  1.1386970e+09  2.7433266e+09  6.6286417e+09  1.6068054e+10  3.9089357e+10  9.5487071e+10  2.3439685e+11  5.7881979e+11
  2.8000000e+03  6.9695738e+02  1.4698950e+03  3.1599025e+03  6.8998373e+03  1.5259029e+04  3.4098880e+04  7.6860434e+04  1.7451065e+05  3.9870349e+05  9.1591324e+05  2.1144243e+06  4.9033433e+06  1.1419371e+07  2.6704167e+07  6.2702610e+07  1.4783912e+08  3.5007834e+08  8.3280342e+08  1.9912043e+09  4.7880828e+09  1.1589388e+10  2.8270015e+10  6.9605143e+10  1.7334051e+11  4.3777244e+11
  3.0000000e+03  7.8270505e+02  1.5676279e+03  3.2128150e+03  6.7168764e+03  1.4283530e+04  3.0817138e+04  6.7315070e+04  1.4860753e+05  3.3111612e+05  7.4382824e+05  1.6833752e+06  3.8359582e+06  8.7986104e+06  2.0311902e+07  4.7197153e+07  1.1041484e+08  2.6019264e+08  6.1806016e+08  1.4813760e+09  3.5872894e+09  8.7914161e+09  2.1849518e+10  5.5207408e+10  1.4222622e+11  3.7478011e+11
  3.2000000e+03  8.1437305e+02  1.5722434e+03  3.1076079e+03  6.2743168e+03  1.2910993e+04  2.7019469e+04  5.7395867e+04  1.2355185e+05  2.6914551e+05  5.9268846e+05  1.3183294e+06  2.9604331e+06  6.7098118e+06  1.5349357e+07  3.5449198e+07  8.2695894e+07  1.9501403e+08  4.6539303e+08  1.1254962e+09  2.7629227e+09  6.8984332e+09  1.7557102e+10  4.5657265e+10  1.2161016e+11  3.3252321e+11
  3.5000000e+03  7.5244248e+02  1.4267980e+03  2.7665403e+03  5.4758408e+03  1.1044255e+04  2.2659424e+04  4.7217459e+04  9.9792849e+04  2.1367160e+05  4.6309334e+05  1.0153346e+06  2.2513055e+06  5.0481180e+06  1.1449765e+07  2.6281645e+07  6.1098002e+07  1.4399921e+08  3.4450748e+08  8.3789232e+08  2.0751939e+09  5.2432470e+09  1.3540320e+10  3.5804751e+10  9.7109255e+10  2.7051549e+11
  3.7500000e+03  6.0942543e+02  1.1542227e+03  2.2322451e+03  4.4007994e+03  8.8287693e+03  1.7993628e+04  3.7198591e+04  7.7904550e+04  1.6511678e+05  3.5392793e+05  7.6697988e+05  1.6803371e+06  3.7229916e+06  8.3472426e+06  1.8955756e+07  4.3649891e+07  1.0205996e+08  2.4267003e+08  5.8772739e+08  1.4523588e+09  3.6681668e+09  9.4843273e+09  2.5140917e+10  6.8407277e+10  1.9123452e+11
  4.0000000e+03  4.3576847e+02  8.3542999e+02  1.6339591e+03  3.2531984e+03  6.5790492e+03  1.3485976e+04  2.7966804e+04  5.8580953e+04  1.2379668e+05  2.6374593e+05  5.6635019e+05  1.2260847e+06  2.6780089e+06  5.9083641e+06  1.3187223e+07  2.9830630e+07  6.8528603e+07  1.6021491e+08  3.8201418e+08  9.3086997e+08  2.3224540e+09  5.9424544e+09  1.5614488e+10  4.2176163e+10  1.1718212e+11
  4.2500000e+03  2.7956777e+02  5.4835120e+02  1.0967797e+03  2.2303001e+03  4.5968190e+03  9.5746892e+03  2.0101179e+04  4.2442585e+04  8.9983932e+04  1.9137632e+05  4.0817366e+05  8.7339559e+05  1.8769766e+06  4.0582621e+06  8.8481551e+06  1.9507100e+07  4.3620333e+07  9.9248852e+07  2.3049296e+08  5.4793980e+08  1.3366736e+09  3.3526860e+09  8.6587749e+09  2.3046364e+10  6.3241423e+10
  4.5000000e+03  1.6419798e+02  3.3255149e+02  6.8659392e+02  1.4389109e+03  3.0479255e+03  6.4995123e+03  1.3904521e+04  2.9758556e+04  6.3585373e+04  1.3547143e+05  2.8767019e+05  6.0907542e+05  1.2873979e+06  2.7221981e+06  5.7748958e+06  1.2335617e+07  2.6644451e+07  5.8463158e+07  1.3092300e+08  3.0054361e+08  7.0986889e+08  1.7300601e+09  4.3586886e+09  1.1361778e+10  3.0645660e+10
  4.7500000e+03  9.0541213e+01  1.9093424e+02  4.0997344e+02  8.9108455e+02  1.9497378e+03  4.2738520e+03  9.3477310e+03  2.0336924e+04  4.3912944e+04  9.3980005e+04  1.9924111e+05  4.1854400e+05  8.7217091e+05  1.8064336e+06  3.7296980e+06  7.7065735e+06  1.6014904e+07  3.3665818e+07  7.2051954e+07  1.5802825e+08  3.5732670e+08  8.3700884e+08  2.0375233e+09  5.1616668e+09  1.3606172e+10
