#Table Version   6
#[Z/Z_SOLAR]=-3.50 [A/Fe]= 0.0 A09     | VALID RANGE:   25  25  25  25  25  25  25  25  25  25  25
#Teff(K)| Pgas@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  1.5000000e+03  1.7434955e+07  3.5073335e+07  7.0555890e+07  1.4193500e+08  2.8552603e+08  5.7438347e+08  1.1554686e+09  2.3244187e+09  4.6759578e+09  9.4064728e+09  1.8922696e+10
  1.6000000e+03  1.3391163e+07  2.7128916e+07  5.4959981e+07  1.1134243e+08  2.2556663e+08  4.5697137e+08  9.2577005e+08  1.8755008e+09  3.7995433e+09  7.6974263e+09  1.5594077e+10
  1.7000000e+03  1.0451190e+07  2.1313382e+07  4.3464929e+07  8.8639152e+07  1.8076411e+08  3.6863691e+08  7.5177076e+08  1.5331055e+09  3.1265016e+09  6.3759553e+09  1.3002650e+10
  1.8000000e+03  8.2730993e+06  1.6977084e+07  3.4838379e+07  7.1491235e+07  1.4670592e+08  3.0105268e+08  6.1778500e+08  1.2677459e+09  2.6015194e+09  5.3385328e+09  1.0955111e+10
  1.9000000e+03  6.6322337e+06  1.3690410e+07  2.8260060e+07  5.8335068e+07  1.2041659e+08  2.4856671e+08  5.1309715e+08  1.0591470e+09  2.1863156e+09  4.5130432e+09  9.3159279e+09
  2.0000000e+03  5.3774593e+06  1.1162568e+07  2.3171336e+07  4.8099222e+07  9.9844702e+07  2.0725833e+08  4.3022830e+08  8.9307092e+08  1.8538429e+09  3.8482200e+09  7.9881621e+09
  2.1000000e+03  4.4049330e+06  9.1925929e+06  1.9183893e+07  4.0034597e+07  8.3547637e+07  1.7435439e+08  3.6385773e+08  7.5932958e+08  1.5846342e+09  3.3069509e+09  6.9012295e+09
  2.2000000e+03  3.6419388e+06  7.6389829e+06  1.6022801e+07  3.3607896e+07  7.0492713e+07  1.4785878e+08  3.1013445e+08  6.5050840e+08  1.3644443e+09  2.8619280e+09  6.0029067e+09
  2.3000000e+03  3.0366771e+06  6.4004086e+06  1.3490150e+07  2.8433208e+07  5.9928711e+07  1.2631183e+08  2.6622761e+08  5.6112830e+08  1.1826909e+09  2.4927592e+09  5.2539920e+09
  2.4000000e+03  2.5516701e+06  5.4031887e+06  1.1441310e+07  2.4227096e+07  5.1301134e+07  1.0863070e+08  2.3002666e+08  4.8708392e+08  1.0314054e+09  2.1840119e+09  4.6246686e+09
  2.5000000e+03  2.1594143e+06  4.5929930e+06  9.7691232e+06  2.0778558e+07  4.4195210e+07  9.4001550e+07  1.9993776e+08  4.2526009e+08  9.0451222e+08  1.9238635e+09  4.0919852e+09
  2.8000000e+03  1.3586125e+06  2.9256682e+06  6.3002030e+06  1.3567006e+07  2.9215511e+07  6.2913371e+07  1.3547914e+08  2.9174398e+08  6.2824837e+08  1.3528849e+09  2.9133342e+09
  3.0000000e+03  1.0246685e+06  2.2232168e+06  4.8236996e+06  1.0465951e+07  2.2707909e+07  4.9269209e+07  1.0689910e+08  2.3193830e+08  5.0323509e+08  1.0918661e+09  2.3690150e+09
  3.2000000e+03  6.0146266e+05  1.3699100e+06  3.1201494e+06  7.1065491e+06  1.6186096e+07  3.6865955e+07  8.3967041e+07  1.9124594e+08  4.3558767e+08  9.9210797e+08  2.2596559e+09
  3.5000000e+03  1.8045098e+05  4.6232172e+05  1.1844844e+06  3.0346904e+06  7.7749829e+06  1.9919778e+07  5.1035167e+07  1.3075388e+08  3.3499601e+08  8.5827150e+08  2.1989216e+09
  3.7500000e+03  6.9528365e+04  1.8904877e+05  5.1402671e+05  1.3976471e+06  3.8002254e+06  1.0332875e+07  2.8095258e+07  7.6391468e+07  2.0770966e+08  5.6476598e+08  1.5356080e+09
