#Table Version   6
#[Z/Z_SOLAR]= 0.25 [A/Fe]= 0.0 A09     | VALID RANGE:   25  25  25  25  25  25  25  25  25  25  25
#Teff(K)| Pgas@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  1.5000000e+03  5.4664183e+04  1.9359494e+05  6.8562264e+05  2.4281543e+06  8.5993857e+06  3.0454998e+07  1.0785734e+08  3.8198020e+08  1.3527950e+09  4.7909665e+09  1.6967360e+10
  1.6000000e+03  4.5520223e+04  1.5560983e+05  5.3194862e+05  1.8184541e+06  6.2163432e+06  2.1250426e+07  7.2644090e+07  2.4833214e+08  8.4891770e+08  2.9020055e+09  9.9204389e+09
  1.7000000e+03  3.8328960e+04  1.2674552e+05  4.1911979e+05  1.3859378e+06  4.5829941e+06  1.5154963e+07  5.0114158e+07  1.6571659e+08  5.4798865e+08  1.8120790e+09  5.9921503e+09
  1.8000000e+03  3.2592627e+04  1.0445343e+05  3.3475422e+05  1.0728263e+06  3.4382129e+06  1.1018846e+07  3.5313394e+07  1.1317299e+08  3.6269883e+08  1.1623837e+09  3.7252280e+09
  1.9000000e+03  2.7958857e+04  8.6987364e+04  2.7064059e+05  8.4203411e+05  2.6197898e+06  8.1508555e+06  2.5359457e+07  7.8899946e+07  2.4547850e+08  7.6374823e+08  2.3762218e+09
  2.0000000e+03  2.4173325e+04  7.3125134e+04  2.2120603e+05  6.6915580e+05  2.0242191e+06  6.1233321e+06  1.8523289e+07  5.6033582e+07  1.6950350e+08  5.1275388e+08  1.5510980e+09
  2.1000000e+03  2.1049254e+04  6.1994935e+04  1.8258946e+05  5.3776830e+05  1.5838523e+06  4.6648124e+06  1.3738954e+07  4.0464406e+07  1.1917706e+08  3.5100408e+08  1.0337884e+09
  2.2000000e+03  1.8447325e+04  5.2964192e+04  1.5206571e+05  4.3659648e+05  1.2535139e+06  3.5989690e+06  1.0333015e+07  2.9667161e+07  8.5177507e+07  2.4455349e+08  7.0213853e+08
  2.3000000e+03  1.6262143e+04  4.5566781e+04  1.2767884e+05  3.5775812e+05  1.0024439e+06  2.8088636e+06  7.8704801e+06  2.2053209e+07  6.1793440e+07  1.7314619e+08  4.8515837e+08
  2.4000000e+03  1.4412950e+04  3.9454394e+04  1.0800351e+05  2.9565169e+05  8.0932482e+05  2.2154673e+06  6.0646794e+06  1.6601615e+07  4.5445704e+07  1.2440428e+08  3.4054759e+08
  2.5000000e+03  1.2837143e+04  3.4363415e+04  9.1986529e+04  2.4623634e+05  6.5914365e+05  1.7644445e+06  4.7231954e+06  1.2643399e+07  3.3844784e+07  9.0598221e+07  2.4252002e+08
  2.8000000e+03  9.3082971e+03  2.3416872e+04  5.8909795e+04  1.4819930e+05  3.7282480e+05  9.3791488e+05  2.3595113e+06  5.9358197e+06  1.4932734e+07  3.7566262e+07  9.4505399e+07
  3.0000000e+03  7.6539371e+03  1.8540653e+04  4.4912284e+04  1.0879408e+05  2.6353931e+05  6.3838920e+05  1.5464136e+06  3.7459829e+06  9.0741491e+06  2.1980929e+07  5.3245900e+07
  3.2000000e+03  6.3834419e+03  1.5033864e+04  3.5406772e+04  8.3387708e+04  1.9638927e+05  4.6252313e+05  1.0893042e+06  2.5654578e+06  6.0419982e+06  1.4229718e+07  3.3512900e+07
  3.5000000e+03  6.0299119e+03  1.1710828e+04  2.3941396e+04  5.1522461e+04  1.1671562e+05  2.7832140e+05  6.9863363e+05  1.8460252e+06  5.1346519e+06  1.5033830e+07  4.6335466e+07
  3.7500000e+03  4.9007585e+03  9.5430581e+03  1.9340738e+04  4.0796202e+04  8.9562795e+04  2.0464293e+05  4.8666160e+05  1.2045328e+06  3.1029256e+06  8.3192720e+06  2.3214562e+07
  4.0000000e+03  3.9165447e+03  7.8084220e+03  1.5964958e+04  3.3474694e+04  7.1979656e+04  1.5872570e+05  3.5894593e+05  8.3244423e+05  1.9798194e+06  4.8288125e+06  1.2078122e+07
  4.2500000e+03  3.1620125e+03  6.4249181e+03  1.3252467e+04  2.7749235e+04  5.8983482e+04  1.2727260e+05  2.7878190e+05  6.1989673e+05  1.3992627e+06  3.2063008e+06  7.4582067e+06
  4.5000000e+03  2.6190121e+03  5.3428106e+03  1.1029125e+04  2.3038351e+04  4.8696835e+04  1.0415715e+05  2.2543247e+05  4.9372244e+05  1.0941788e+06  2.4537637e+06  5.5682176e+06
  4.7500000e+03  2.1990923e+03  4.4860686e+03  9.2525706e+03  1.9294474e+04  4.0679679e+04  8.6715381e+04  1.8689117e+05  4.0724475e+05  8.9721439e+05  1.9985316e+06  4.5009049e+06
  5.0000000e+03  1.8416181e+03  3.7697573e+03  7.7938029e+03  1.6274501e+04  3.4323230e+04  7.3112369e+04  1.5729531e+05  3.4179282e+05  7.5012271e+05  1.6627384e+06  3.7225260e+06
  5.2500000e+03  1.5148011e+03  3.1355203e+03  6.5401301e+03  1.3746304e+04  2.9114427e+04  6.2137435e+04  1.3363529e+05  2.8960883e+05  6.3244853e+05  1.3917504e+06  3.0861731e+06
  5.5000000e+03  1.3580172e+03  2.7424694e+03  5.6122374e+03  1.1638259e+04  2.4456693e+04  5.2079303e+04  1.1238034e+05  2.4573853e+05  5.4452006e+05  1.2226784e+06  2.7820720e+06
  5.7500000e+03  9.4231019e+02  2.0355483e+03  4.4006219e+03  9.5212026e+03  2.0616488e+04  4.4676862e+04  9.6893748e+04  2.1030712e+05  4.5683282e+05  9.9312917e+05  2.1607240e+06
  6.0000000e+03  6.8044076e+02  1.5355581e+03  3.4443687e+03  7.6792790e+03  1.7017615e+04  3.7483866e+04  8.2064911e+04  1.7858215e+05  3.8626562e+05  8.3042704e+05  1.7745341e+06
#Teff(K)|    T@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00
  1.5000000E+03  4.7740835E+03  3.6490474E+03  3.1784893E+03  3.1098965E+03  3.1070271E+03  3.1070000E+03  3.1070000E+03  3.1070000E+03  3.1070000E+03  3.1070000E+03  3.1070000E+03
