#Table Version   6
#[Z/Z_SOLAR]=-1.50 [A/Fe]= 0.0 A09     | VALID RANGE:   25  25  25  25  25  25  25  25  25  25  25
#Teff(K)| Pgas@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  1.5000000e+03  1.0355348e+08  1.2347356e+08  1.4722558e+08  1.7554665e+08  2.0931572e+08  2.4958078e+08  2.9759143e+08  3.5483767e+08  4.2309608e+08  5.0448504e+08  6.0153041e+08
  1.6000000e+03  5.3242005e+07  6.8503602e+07  8.8139871e+07  1.1340479e+08  1.4591180e+08  1.8773680e+08  2.4155077e+08  3.1079028e+08  3.9987700e+08  5.1450006e+08  6.6197934e+08
  1.7000000e+03  2.8501316e+07  3.9388491e+07  5.4434443e+07  7.5227775e+07  1.0396392e+08  1.4367695e+08  1.9855989e+08  2.7440749e+08  3.7922800e+08  5.2408875e+08  7.2428463e+08
  1.8000000e+03  1.5812192e+07  2.3375824e+07  3.4557457e+07  5.1087733e+07  7.5525130e+07  1.1165196e+08  1.6505975e+08  2.4401472e+08  3.6073716e+08  5.3329281e+08  7.8838905e+08
  1.9000000e+03  9.0564325e+06  1.4269851e+07  2.2484422e+07  3.5427786e+07  5.5822116e+07  8.7956630e+07  1.3858967e+08  2.1837009e+08  3.4407684e+08  5.4214783e+08  8.5424021e+08
  2.0000000e+03  5.3375243e+06  8.9344758e+06  1.4955409e+07  2.5033842e+07  4.1904119e+07  7.0143258e+07  1.1741272e+08  1.9653702e+08  3.2898309e+08  5.5068442e+08  9.2179002e+08
  2.1000000e+03  3.2279587e+06  5.7232443e+06  1.0147442e+07  1.7991646e+07  3.1899597e+07  5.6558712e+07  1.0027988e+08  1.7779851e+08  3.1524080e+08  5.5892911e+08  9.9099403e+08
  2.2000000e+03  1.9983821e+06  3.7429619e+06  7.0105530e+06  1.3130738e+07  2.4593822e+07  4.6064132e+07  8.6277940e+07  1.6159825e+08  3.0267288e+08  5.6690513e+08  1.0618111e+09
  2.3000000e+03  1.2638273e+06  2.4945260e+06  4.9236633e+06  9.7182629e+06  1.9181782e+07  3.7860753e+07  7.4729065e+07  1.4749926e+08  2.9113214e+08  5.7463285e+08  1.1342029e+09
  2.4000000e+03  8.1501811e+05  1.6914612e+06  3.5104016e+06  7.2853694e+06  1.5119811e+07  3.1379146e+07  6.5123225e+07  1.3515455e+08  2.8049521e+08  5.8213032e+08  1.2081337e+09
  2.5000000e+03  5.3508814e+05  1.1652651e+06  2.5376059e+06  5.5261618e+06  1.2034361e+07  2.6207310e+07  5.7071839e+07  1.2428574e+08  2.7065791e+08  5.8941359e+08  1.2835700e+09
  2.8000000e+03  1.6638078e+05  4.1413066e+05  1.0307934e+06  2.5656998e+06  6.3861641e+06  1.5895504e+07  3.9564760e+07  9.8478803e+07  2.4511901e+08  6.1011433e+08  1.5186072e+09
  3.0000000e+03  8.1705768e+04  2.2060619e+05  5.9563840e+05  1.6082282e+06  4.3422283e+06  1.1724049e+07  3.1655022e+07  8.5468800e+07  2.3076641e+08  6.2307106e+08  1.6822966e+09
  3.2000000e+03  4.5832635e+04  1.2537121e+05  3.4294208e+05  9.3808838e+05  2.5660596e+06  7.0192338e+06  1.9200506e+07  5.2521323e+07  1.4366753e+08  3.9299010e+08  1.0749904e+09
  3.5000000e+03  2.1957979e+04  6.1974659e+04  1.7150315e+05  4.6533557e+05  1.2379314e+06  3.2289630e+06  8.2578263e+06  2.0706400e+07  5.0907249e+07  1.2271307e+08  2.9002686e+08
  3.7500000e+03  1.7660745e+04  4.0614124e+04  9.6487626e+04  2.3680595e+05  6.0039912e+05  1.5725843e+06  4.2551444e+06  1.1894361e+07  3.4347441e+07  1.0246466e+08  3.1577686e+08
  4.0000000e+03  1.4677126e+04  2.9650762e+04  6.3236521e+04  1.4237618e+05  3.3841061e+05  8.4915677e+05  2.2494122e+06  6.2905333e+06  1.8571336e+07  5.7881012e+07  1.9044358e+08
  4.2500000e+03  1.1392100e+04  2.2826023e+04  4.7586248e+04  1.0321848e+05  2.3294757e+05  5.4699540e+05  1.3363922e+06  3.3971049e+06  8.9848066e+06  2.4724828e+07  7.0791738e+07
  4.5000000e+03  8.5698195e+03  1.7649380e+04  3.7156021e+04  7.9959648e+04  1.7589541e+05  3.9553058e+05  9.0917520e+05  2.1362744e+06  5.1310760e+06  1.2598006e+07  3.1618196e+07
  4.7500000e+03  6.3000399e+03  1.3342611e+04  2.8572942e+04  6.1870792e+04  1.3546684e+05  2.9991412e+05  6.7139396e+05  1.5197584e+06  3.4784699e+06  8.0504203e+06  1.8839330e+07
  5.0000000e+03  4.4187875e+03  9.6580328e+03  2.1189971e+04  4.6668969e+04  1.0317683e+05  2.2897723e+05  5.1010381e+05  1.1407250e+06  2.5607048e+06  5.7702444e+06  1.3052240e+07
  5.2500000e+03  3.0105284e+03  6.7501706e+03  1.5141815e+04  3.3980699e+04  7.6291799e+04  1.7136202e+05  3.8507248e+05  8.6568832e+05  1.9470263e+06  4.3809999e+06  9.8620195e+06
  5.5000000e+03  2.0369475e+03  4.6444681e+03  1.0587764e+04  2.4131517e+04  5.4989163e+04  1.2527999e+05  2.8536351e+05  6.4987118e+05  1.4796815e+06  3.3683818e+06  7.6663121e+06
  5.7500000e+03  1.4194226e+03  3.2505427e+03  7.4536112e+03  1.7113716e+04  3.9344917e+04  9.0573190e+04  2.0877449e+05  4.8186114e+05  1.1136100e+06  2.5769800e+06  5.9711186e+06
