#Table Version   6
#[Z/Z_SOLAR]=-1.00 [A/Fe]= 0.0 A09     | VALID RANGE:   25  25  25  25  25  25  25  25  25  25  25
#Teff(K)| Pgas@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  1.6000000E+03  2.6662998E+03  2.6662998E+03  2.6662998E+03  2.6662998E+03  2.6662998E+03  2.6662998E+03  2.6662998E+03  2.6662998E+03  2.6662998E+03  2.6662998E+03  2.6662998E+03
  1.7000000E+03  2.7663008E+03  2.7662998E+03  2.7662998E+03  2.7662998E+03  2.7662998E+03  2.7662998E+03  2.7662998E+03  2.7662998E+03  2.7662998E+03  2.7662998E+03  2.7662998E+03
  1.8000000E+03  2.8663052E+03  2.8662998E+03  2.8662998E+03  2.8662998E+03  2.8662998E+03  2.8662998E+03  2.8662998E+03  2.8662998E+03  2.8662998E+03  2.8662998E+03  2.8662998E+03
  1.9000000E+03  2.9663301E+03  2.9663008E+03  2.9662998E+03  2.9662998E+03  2.9662998E+03  2.9662998E+03  2.9662998E+03  2.9663000E+03  2.9662998E+03  2.9662998E+03  2.9662998E+03
  2.0000000E+03  3.0664690E+03  3.0663049E+03  3.0663000E+03  3.0662998E+03  3.0662998E+03  3.0662998E+03  3.0663000E+03  3.0663003E+03  3.0662998E+03  3.0662998E+03  3.0662998E+03
  2.1000000E+03  3.1672297E+03  3.1663293E+03  3.1663008E+03  3.1662998E+03  3.1662998E+03  3.1662998E+03  3.1663000E+03  3.1663008E+03  3.1663022E+03  3.1662998E+03  3.1662998E+03
  2.2000000E+03  3.2712439E+03  3.2664644E+03  3.2663049E+03  3.2663000E+03  3.2662998E+03  3.2663000E+03  3.2663005E+03  3.2663018E+03  3.2663042E+03  3.2662998E+03  3.2662998E+03
  2.3000000E+03  3.3907209E+03  3.3672041E+03  3.3663284E+03  3.3663008E+03  3.3663000E+03  3.3663008E+03  3.3663018E+03  3.3663040E+03  3.3663071E+03  3.3663162E+03  3.3662998E+03
  2.4000000E+03  3.5702605E+03  3.4711116E+03  3.4664595E+03  3.4663047E+03  3.4663013E+03  3.4663027E+03  3.4663049E+03  3.4663086E+03  3.4663152E+03  3.4663262E+03  3.4662998E+03
  2.5000000E+03  3.9084617E+03  3.5901143E+03  3.5671792E+03  3.5663276E+03  3.5663064E+03  3.5663088E+03  3.5663130E+03  3.5663193E+03  3.5663284E+03  3.5663423E+03  3.5663730E+03
  2.8000000E+03  5.5938516E+03  4.6567266E+03  3.9659211E+03  3.8708562E+03  3.8668674E+03  3.8666086E+03  3.8665337E+03  3.8665122E+03  3.8665208E+03  3.8665444E+03  3.8665754E+03
  3.0000000E+03  6.1704224E+03  5.7967480E+03  4.8503882E+03  4.1638003E+03  4.0767278E+03  4.0694922E+03  4.0678745E+03  4.0673435E+03  4.0671577E+03  4.0670872E+03  4.0670771E+03
  3.2000000E+03  6.4979336E+03  6.3795068E+03  5.9995103E+03  5.0439697E+03  4.4129312E+03  4.2978892E+03  4.2768252E+03  4.2714194E+03  4.2696191E+03  4.2688394E+03  4.2684688E+03
  3.5000000E+03  6.9013452E+03  6.8473740E+03  6.7676670E+03  6.5570835E+03  5.9715303E+03  5.1487441E+03  4.7312671E+03  4.6209995E+03  4.5914717E+03  4.5809478E+03  4.5763550E+03
  3.7500000E+03  7.2263867E+03  7.1774854E+03  7.1254141E+03  7.0559824E+03  6.9145479E+03  6.5342446E+03  5.7767095E+03  5.1681709E+03  4.9498413E+03  4.8791201E+03  4.8523511E+03
  4.0000000E+03  7.5504424E+03  7.5021572E+03  7.4534878E+03  7.4026919E+03  7.3426445E+03  7.2355610E+03  6.9805537E+03  6.3744966E+03  5.6857427E+03  5.3292896E+03  5.1949263E+03
  4.2500000E+03  7.8743784E+03  7.8261685E+03  7.7779111E+03  7.7293965E+03  7.6797534E+03  7.6151992E+03  7.5272573E+03  7.3498765E+03  6.9489390E+03  6.2517988E+03  5.7612812E+03
  4.5000000E+03  8.1983008E+03  8.1500991E+03  8.1018921E+03  8.0536538E+03  8.0052793E+03  7.9460435E+03  7.8816367E+03  7.8037676E+03  7.7339375E+03  7.4592974E+03  6.8326924E+03
  4.7500000E+03  8.5222207E+03  8.4740205E+03  8.4258193E+03  8.3776152E+03  8.3293936E+03  8.2708047E+03  8.2093037E+03  8.1446592E+03  8.1357676E+03  8.0935654E+03  7.9125703E+03
  5.0000000E+03  8.8461406E+03  8.7979404E+03  8.7497402E+03  8.7015391E+03  8.6533369E+03  8.5948252E+03  8.5336777E+03  8.4706543E+03  8.4695713E+03  8.4643018E+03  8.4387168E+03
  5.2500000E+03  9.1700605E+03  9.1218604E+03  9.0736602E+03  9.0254600E+03  8.9772588E+03  8.9187578E+03  8.8576523E+03  8.7948262E+03  8.7946943E+03  8.7940547E+03  8.7909004E+03
  5.5000000E+03  9.4939805E+03  9.4457803E+03  9.3975801E+03  9.3493799E+03  9.3011797E+03  9.2426787E+03  9.1815791E+03  9.1187764E+03  9.1187607E+03  9.1186826E+03  9.1183008E+03
  5.7500000E+03  9.8179004E+03  9.7697002E+03  9.7215000E+03  9.6732998E+03  9.6250996E+03  9.5665996E+03  9.5055000E+03  9.4427002E+03  9.4426973E+03  9.4426885E+03  9.4426426E+03
  6.0000000E+03  1.0141820E+04  1.0093620E+04  1.0045420E+04  9.9972197E+03  9.9490195E+03  9.8905195E+03  9.8294199E+03  9.7666201E+03  9.7666201E+03  9.7666191E+03  9.7666133E+03
