#Table Version   6
#[Z/Z_SOLAR]=-6.00 [A/Fe]= 0.0 A09     | VALID RANGE:   25  25  25  25  25  25  25  25  25  25  25
#Teff(K)| Pgas@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  1.5000000e+03  9.1749590e+07  2.1242087e+08  4.9180194e+08  1.1386318e+09  2.6361878e+09  6.1033658e+09  1.4130660e+10  3.2715646e+10  7.5744056e+10  1.7536447e+11  4.0600807e+11
  1.6000000e+03  6.2855246e+07  1.4543083e+08  3.3648941e+08  7.7854970e+08  1.8013632e+09  4.1678897e+09  9.6434215e+09  2.2312390e+10  5.1625114e+10  1.1944720e+11  2.7637000e+11
  1.7000000e+03  4.4059599e+07  1.0188124e+08  2.3558515e+08  5.4475546e+08  1.2596656e+09  2.9127886e+09  6.7353885e+09  1.5574580e+10  3.6013889e+10  8.3276739e+10  1.9256502e+11
  1.8000000e+03  3.1518220e+07  7.2839853e+07  1.6833578e+08  3.8903064e+08  8.9906518e+08  2.0777752e+09  4.8018205e+09  1.1097197e+10  2.5646061e+10  5.9269060e+10  1.3697314e+11
  1.9000000e+03  2.2958870e+07  5.3030398e+07  1.2248961e+08  2.8292651e+08  6.5350366e+08  1.5094628e+09  3.4865571e+09  8.0532496e+09  1.8601396e+10  4.2965505e+10  9.9241724e+10
  2.0000000e+03  1.6998065e+07  3.9242153e+07  9.0595403e+07  2.0915079e+08  4.8285068e+08  1.1147210e+09  2.5734725e+09  5.9411821e+09  1.3715960e+10  3.1665004e+10  7.3102611e+10
  2.1000000e+03  1.2770838e+07  2.9468802e+07  6.7999477e+07  1.5690929e+08  3.6206934e+08  8.3547765e+08  1.9278708e+09  4.4485760e+09  1.0265122e+10  2.3686843e+10  5.4657565e+10
  2.2000000e+03  9.7233800e+06  2.2426416e+07  5.1725238e+07  1.1930128e+08  2.7516154e+08  6.3464426e+08  1.4637704e+09  3.3761023e+09  7.7867855e+09  1.7959772e+10  4.1423181e+10
  2.3000000e+03  7.4934051e+06  1.7275486e+07  3.9827343e+07  9.1818966e+07  2.1168177e+08  4.8801652e+08  1.1250857e+09  2.5938010e+09  5.9798145e+09  1.3786016e+10  3.1782630e+10
  2.4000000e+03  5.8392496e+06  1.3456270e+07  3.1009328e+07  7.1459507e+07  1.6467500e+08  3.7948563e+08  8.7450641e+08  2.0152580e+09  4.6440653e+09  1.0702025e+10  2.4662303e+10
  2.5000000e+03  4.5968193e+06  1.0588859e+07  2.4391635e+07  5.6186589e+07  1.2942686e+08  2.9813719e+08  6.8676460e+08  1.5819751e+09  3.6441093e+09  8.3942739e+09  1.9336367e+10
  2.8000000e+03  2.3660000e+06  5.4440000e+06  1.2526262e+07  2.8822050e+07  6.6317515e+07  1.5259195e+08  3.5110337e+08  8.0786422e+08  1.8588389e+09  4.2770579e+09  9.8412101e+09
  3.0000000e+03  1.5791195e+06  3.6309565e+06  8.3488588e+06  1.9196992e+07  4.4140703e+07  1.0149515e+08  2.3337341e+08  5.3660836e+08  1.2338532e+09  2.8370668e+09  6.5234243e+09
  3.2000000e+03  9.1216769e+05  2.2245320e+06  5.4250362e+06  1.3230206e+07  3.2264921e+07  7.8685477e+07  1.9189275e+08  4.6797488e+08  1.1412650e+09  2.7832390e+09  6.7875724e+09
  3.5000000e+03  2.9298522e+05  7.7139722e+05  2.0310024e+06  5.3474014e+06  1.4079108e+07  3.7068713e+07  9.7597763e+07  2.5696396e+08  6.7655729e+08  1.7812995e+09  4.6899617e+09
  3.7500000e+03  8.8654824e+04  2.5644999e+05  7.4182760e+05  2.1458695e+06  6.2073125e+06  1.7955765e+07  5.1940273e+07  1.5024656e+08  4.3461513e+08  1.2572023e+09  3.6366831e+09
  4.0000000e+03  3.7972575e+04  1.0604171e+05  2.9613067e+05  8.2697059e+05  2.3093871e+06  6.4491638e+06  1.8009849e+07  5.0294066e+07  1.4045054e+08  3.9222032e+08  1.0953093e+09
  4.2500000e+03  2.0716539e+04  5.3764234e+04  1.3953068e+05  3.6211456e+05  9.3977144e+05  2.4389253e+06  6.3295781e+06  1.6426726e+07  4.2631173e+07  1.1063780e+08  2.8713082e+08
  4.5000000e+03  1.2943493e+04  3.1329337e+04  7.5831725e+04  1.8354843e+05  4.4427348e+05  1.0753507e+06  2.6028542e+06  6.3001308e+06  1.5249278e+07  3.6910423e+07  8.9340576e+07
  4.7500000e+03  8.2144506e+03  1.9083841e+04  4.4533239e+04  1.0438402e+05  2.4576216e+05  5.8120221e+05  1.3806091e+06  3.2941658e+06  7.8949871e+06  1.9005908e+07  4.5957573e+07
  5.0000000e+03  5.0883886e+03  1.1996093e+04  2.8178856e+04  6.5952432e+04  1.5380209e+05  3.5736958e+05  8.2736450e+05  1.9085350e+06  4.3865928e+06  1.0045660e+07  2.2922055e+07
  5.2500000e+03  3.3317636e+03  7.8221046e+03  1.8310549e+04  4.2737333e+04  9.9458470e+04  2.3078333e+05  5.3394361e+05  1.2317276e+06  2.8331021e+06  6.4973775e+06  1.4857382e+07
  5.5000000e+03  2.2370036e+03  5.2342412e+03  1.2230069e+04  2.8535946e+04  6.6488076e+04  1.5469754e+05  3.5942744e+05  8.3392538e+05  1.9321076e+06  4.4701652e+06  1.0327709e+07
  5.7500000e+03  1.5456656e+03  3.6031108e+03  8.4010371e+03  1.9592118e+04  4.5700722e+04  1.0662473e+05  2.4882043e+05  5.8077420e+05  1.3558817e+06  3.1661354e+06  7.3948670e+06
  6.0000000e+03  1.0602160e+03  2.4920700e+03  5.8534849e+03  1.3739065e+04  3.2224656e+04  7.5527966e+04  1.7689506e+05  4.1401114e+05  9.6827063e+05  2.2629237e+06  5.2848353e+06
#Teff(K)|    T@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00
  1.5000000E+03  2.3810000E+03  2.3810000E+03  2.3810000E+03  2.3810000E+03  2.3810000E+03  2.3810000E+03  2.3810000E+03  2.3810000E+03  2.3810000E+03  2.3810000E+03  2.3810000E+03
  1.6000000E+03  2.4810000E+03  2.4810000E+03  2.4810000E+03  2.4810000E+03  2.4810000E+03  2.4810000E+03  2.4810000E+03  2.4810000E+03  2.4810000E+03  2.4810000E+03  2.4810000E+03
  1.7000000E+03  2.5810000E+03  2.5810000E+03  2.5810000E+03  2.5810000E+03  2.5810000E+03  2.5810000E+03  2.5810000E+03  2.5810000E+03  2.5810000E+03  2.5810000E+03  2.5810000E+03
  1.8000000E+03  2.6810000E+03  2.6810000E+03  2.6810000E+03  2.6810000E+03  2.6810000E+03  2.6810000E+03  2.6810000E+03  2.6810000E+03  2.6810000E+03  2.6810000E+03  2.6810000E+03
  1.9000000E+03  2.7810000E+03  2.7810000E+03  2.7810000E+03  2.7810000E+03  2.7810000E+03  2.7810000E+03  2.7810000E+03  2.7810000E+03  2.7810000E+03  2.7810000E+03  2.7810000E+03
  2.0000000E+03  2.8810000E+03  2.8810000E+03  2.8810000E+03  2.8810000E+03  2.8810000E+03  2.8810000E+03  2.8810000E+03  2.8810000E+03  2.8810000E+03  2.8810000E+03  2.8810000E+03
  2.1000000E+03  2.9810000E+03  2.9810000E+03  2.9810000E+03  2.9810000E+03  2.9810000E+03  2.9810000E+03  2.9810000E+03  2.9810000E+03  2.9810000E+03  2.9810000E+03  2.9810000E+03
  2.2000000E+03  3.1213809E+03  3.0974866E+03  3.0810000E+03  3.0810000E+03  3.0810000E+03  3.0810000E+03  3.0810000E+03  3.0810000E+03  3.0810000E+03  3.0810000E+03  3.0810000E+03
  2.3000000E+03  3.2338594E+03  3.1990139E+03  3.1891084E+03  3.1810000E+03  3.1810000E+03  3.1810000E+03  3.1810000E+03  3.1810000E+03  3.1810000E+03  3.1810000E+03  3.1810000E+03
  2.4000000E+03  3.3450945E+03  3.3058381E+03  3.2899163E+03  3.2852524E+03  3.2810000E+03  3.2810000E+03  3.2810000E+03  3.2810000E+03  3.2810000E+03  3.2810000E+03  3.2810000E+03
  2.5000000E+03  3.4604697E+03  3.4132209E+03  3.3938691E+03  3.3867505E+03  3.3833291E+03  3.3810000E+03  3.3810000E+03  3.3810000E+03  3.3810000E+03  3.3810000E+03  3.3810000E+03
  2.8000000E+03  3.8299175E+03  3.7498386E+03  3.7132566E+03  3.6960032E+03  3.6877444E+03  3.6841953E+03  3.6823340E+03  3.6814573E+03  3.6813059E+03  3.6810000E+03  3.6810000E+03
  3.0000000E+03  4.1038633E+03  3.9929160E+03  3.9375112E+03  3.9091633E+03  3.8947783E+03  3.8877410E+03  3.8840879E+03  3.8823628E+03  3.8817158E+03  3.8813706E+03  3.8811890E+03
  3.2000000E+03  4.4113105E+03  4.2610552E+03  4.1787368E+03  4.1331929E+03  4.1082427E+03  4.0952390E+03  4.0878936E+03  4.0842781E+03  4.0827725E+03  4.0819712E+03  4.0814912E+03
  3.5000000E+03  4.9682285E+03  4.7421216E+03  4.5989634E+03  4.5093613E+03  4.4545449E+03  4.4228818E+03  4.4033374E+03  4.3926602E+03  4.3877490E+03  4.3848252E+03  4.3831270E+03
  3.7500000E+03  5.5669526E+03  5.2669658E+03  5.0497695E+03  4.8979858E+03  4.7958076E+03  4.7315366E+03  4.6886079E+03  4.6632783E+03  4.6506284E+03  4.6426768E+03  4.6378042E+03
  4.0000000E+03  6.3316089E+03  5.9765459E+03  5.6710913E+03  5.4272324E+03  5.2442212E+03  5.1181074E+03  5.0264995E+03  4.9681060E+03  4.9366758E+03  4.9157417E+03  4.9021865E+03
  4.2500000E+03  7.1468525E+03  6.8564829E+03  6.5285933E+03  6.2002627E+03  5.9069429E+03  5.6770518E+03  5.4907144E+03  5.3610122E+03  5.2857705E+03  5.2323628E+03  5.1957222E+03
  4.5000000E+03  7.7336411E+03  7.5726123E+03  7.3751836E+03  7.1279419E+03  6.8323848E+03  6.5313149E+03  6.2197695E+03  5.9644424E+03  5.7992261E+03  5.6703716E+03  5.5751528E+03
  4.7500000E+03  8.1810933E+03  8.0570293E+03  7.9263242E+03  7.7827573E+03  7.6160146E+03  7.4365752E+03  7.1719463E+03  6.8786655E+03  6.6424644E+03  6.4020601E+03  6.1888574E+03
  5.0000000E+03  8.6028369E+03  8.4841162E+03  8.3645156E+03  8.2431143E+03  8.1181030E+03  8.0124165E+03  7.8532793E+03  7.6848604E+03  7.5854351E+03  7.4217261E+03  7.1908965E+03
  5.2500000E+03  9.0211680E+03  8.9031309E+03  8.7849824E+03  8.6666025E+03  8.5477549E+03  8.4546387E+03  8.3191055E+03  8.1940508E+03  8.1777632E+03  8.1447480E+03  8.0804395E+03
  5.5000000E+03  9.4390693E+03  9.3211172E+03  9.2031523E+03  9.0851572E+03  8.9671035E+03  8.8756426E+03  8.7433662E+03  8.6248018E+03  8.6226680E+03  8.6181953E+03  8.6089023E+03
  5.7500000E+03  9.8569160E+03  9.7389766E+03  9.6210332E+03  9.5030869E+03  9.3851328E+03  9.2938828E+03  9.1620225E+03  9.0442998E+03  9.0440303E+03  9.0434609E+03  9.0422705E+03
  6.0000000E+03  1.0274757E+04  1.0156818E+04  1.0038879E+04  9.9209385E+03  9.8029971E+03  9.7117725E+03  9.5799648E+03  9.4623496E+03  9.4623164E+03  9.4622451E+03  9.4620947E+03
