#Table Version   6
#[Z/Z_SOLAR]=-0.50 [A/Fe]= 0.0 A09     | VALID RANGE:   25  25  25  25  25  25  25  25  25  25  25
#Teff(K)| Pgas@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  1.5000000e+03  2.8445355e+05  1.6048493e+06  9.0543473e+06  5.1083429e+07  2.8820595e+08  1.6260198e+09  9.1737885e+09  5.1757301e+10  2.9200784e+11  1.6474696e+12  9.2948054e+12
  1.6000000e+03  2.1694496e+05  1.1467410e+06  6.0615144e+06  3.2040327e+07  1.6936073e+08  8.9521741e+08  4.7319954e+09  2.5012673e+10  1.3221353e+11  6.9886243e+11  3.6940901e+12
  1.7000000e+03  1.6819895e+05  8.3627409e+05  4.1578996e+06  2.0672803e+07  1.0278381e+08  5.1103433e+08  2.5408290e+09  1.2632834e+10  6.2809618e+10  3.1228528e+11  1.5526618e+12
  1.8000000e+03  1.3231721e+05  6.2097136e+05  2.9142500e+06  1.3676722e+07  6.4185549e+07  3.0122602e+08  1.4136690e+09  6.6344198e+09  3.1135667e+10  1.4612126e+11  6.8575446e+11
  1.9000000e+03  1.0544962e+05  4.6858237e+05  2.0822212e+06  9.2526854e+06  4.1115797e+07  1.8270467e+08  8.1187761e+08  3.6077089e+09  1.6031435e+10  7.1238265e+10  3.1655870e+11
  2.0000000e+03  8.5021924e+04  3.5873538e+05  1.5136222e+06  6.3864685e+06  2.6946605e+07  1.1369656e+08  4.7972309e+08  2.0241090e+09  8.5403798e+09  3.6034663e+10  1.5204206e+11
  2.1000000e+03  6.9275608e+04  2.7824277e+05  1.1175512e+06  4.4886005e+06  1.8028288e+07  7.2409912e+07  2.9083157e+08  1.1681136e+09  4.6916826e+09  1.8843959e+10  7.5686024e+10
  2.2000000e+03  5.6986048e+04  2.1837757e+05  8.3684980e+05  3.2069118e+06  1.2289282e+07  4.7094045e+07  1.8047019e+08  6.9158406e+08  2.6502355e+09  1.0156029e+10  3.8919159e+10
  2.3000000e+03  4.7285437e+04  1.7324871e+05  6.3476447e+05  2.3257081e+06  8.5211421e+06  3.1220540e+07  1.1438867e+08  4.1910767e+08  1.5355650e+09  5.6261435e+09  2.0613579e+10
  2.4000000e+03  3.9549036e+04  1.3880705e+05  4.8717741e+05  1.7098687e+06  6.0012038e+06  2.1062698e+07  7.3924708e+07  2.5945691e+08  9.1062770e+08  3.1960714e+09  1.1217397e+10
  2.5000000e+03  3.3320560e+04  1.1222331e+05  3.7796696e+05  1.2729889e+06  4.2874136e+06  1.4439966e+07  4.8633657e+07  1.6379766e+08  5.5166887e+08  1.8580151e+09  6.2577761e+09
  2.8000000e+03  2.0706177e+04  6.2196198e+04  1.8682189e+05  5.6116643e+05  1.6856042e+06  5.0631353e+06  1.5208397e+07  4.5682238e+07  1.3721807e+08  4.1216890e+08  1.2380527e+09
  3.0000000e+03  1.5499485e+04  4.3423056e+04  1.2165319e+05  3.4082120e+05  9.5483803e+05  2.6750556e+06  7.4943837e+06  2.0996119e+07  5.8822319e+07  1.6479546e+08  4.6168776e+08
  3.2000000e+03  1.2196807e+04  3.2337994e+04  8.5739315e+04  2.2732486e+05  6.0271760e+05  1.5980148e+06  4.2368954e+06  1.1233489e+07  2.9783903e+07  7.8967528e+07  2.0937049e+08
  3.5000000e+03  1.0526804e+04  2.3058471e+04  5.2500255e+04  1.2424796e+05  3.0564272e+05  7.8151226e+05  2.0770860e+06  5.7381261e+06  1.6477171e+07  4.9180410e+07  1.5258034e+08
  3.7500000e+03  8.9363972e+03  1.7836192e+04  3.7514036e+04  8.3145252e+04  1.9419280e+05  4.7794814e+05  1.2395968e+06  3.3879118e+06  9.7574370e+06  2.9613614e+07  9.4710705e+07
  4.0000000e+03  7.2727109e+03  1.4172274e+04  2.8886038e+04  6.1580275e+04  1.3730947e+05  3.2023188e+05  7.8114896e+05  1.9930049e+06  5.3184869e+06  1.4844755e+07  4.3337433e+07
  4.2500000e+03  5.7013741e+03  1.1469120e+04  2.3631484e+04  4.9872629e+04  1.0780623e+05  2.3869089e+05  5.4130019e+05  1.2573346e+06  2.9913959e+06  7.2896604e+06  1.8194958e+07
  4.5000000e+03  4.5913214e+03  9.3638443e+03  1.9388803e+04  4.0759436e+04  8.6993271e+04  1.8850527e+05  4.1470728e+05  9.2627547e+05  2.1004822e+06  4.8359096e+06  1.1303624e+07
  4.7500000e+03  3.7363313e+03  7.6651878e+03  1.5914115e+04  3.3436782e+04  7.1096580e+04  1.5298725e+05  3.3315322e+05  7.3420116e+05  1.6374513e+06  3.6957621e+06  8.4415438e+06
  5.0000000e+03  3.0039656e+03  6.2176613e+03  1.2994941e+04  2.7424372e+04  5.8440541e+04  1.2574968e+05  2.7322141e+05  5.9942892e+05  1.3279319e+06  2.9704966e+06  6.7096129e+06
  5.2500000e+03  2.3317995e+03  4.9164930e+03  1.0432357e+04  2.2277796e+04  4.7876764e+04  1.0354762e+05  2.2538150e+05  4.9369553e+05  1.0883357e+06  2.4145121e+06  5.3908674e+06
  5.5000000e+03  1.7063301e+03  3.7157391e+03  8.1019865e+03  1.7688946e+04  3.8670208e+04  8.4647709e+04  1.8553166e+05  4.0717865e+05  8.9477962e+05  1.9688440e+06  4.3378113e+06
  5.7500000e+03  1.2283538e+03  2.7430347e+03  6.1190081e+03  1.3635550e+04  3.0353318e+04  6.7496552e+04  1.4993358e+05  3.3270406e+05  7.3749522e+05  1.6330602e+06  3.6123273e+06
  6.0000000e+03  8.4683283e+02  1.9557624e+03  4.4948824e+03  1.0280268e+04  2.3397763e+04  5.2994171e+04  1.1944437e+05  2.6790890e+05  5.9798793e+05  1.3282552e+06  2.9359894e+06
#Teff(K)|    T@  log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00
  1.5000000E+03  2.6488008E+03  2.6487998E+03  2.6487998E+03  2.6487998E+03  2.6487998E+03  2.6487998E+03  2.6487998E+03  2.6487998E+03  2.6487998E+03  2.6487998E+03  2.6487998E+03
  1.6000000E+03  2.7488059E+03  2.7488000E+03  2.7487998E+03  2.7487998E+03  2.7487998E+03  2.7487998E+03  2.7487998E+03  2.7487998E+03  2.7487998E+03  2.7487998E+03  2.7487998E+03
  1.7000000E+03  2.8488345E+03  2.8488005E+03  2.8487998E+03  2.8487998E+03  2.8487998E+03  2.8487998E+03  2.8487998E+03  2.8487998E+03  2.8487998E+03  2.8487998E+03  2.8487998E+03
  1.8000000E+03  2.9489907E+03  2.9488044E+03  2.9487998E+03  2.9487998E+03  2.9487998E+03  2.9487998E+03  2.9487998E+03  2.9487998E+03  2.9487998E+03  2.9487998E+03  2.9487998E+03
  1.9000000E+03  3.0498398E+03  3.0488257E+03  3.0488005E+03  3.0487998E+03  3.0488000E+03  3.0487998E+03  3.0487998E+03  3.0488000E+03  3.0487998E+03  3.0487998E+03  3.0487998E+03
  2.0000000E+03  3.1542925E+03  3.1489429E+03  3.1488032E+03  3.1488000E+03  3.1488000E+03  3.1488000E+03  3.1488000E+03  3.1488003E+03  3.1488005E+03  3.1487998E+03  3.1487998E+03
  2.1000000E+03  3.2759062E+03  3.2495806E+03  3.2488191E+03  3.2488008E+03  3.2488005E+03  3.2488005E+03  3.2488005E+03  3.2488005E+03  3.2488005E+03  3.2487998E+03  3.2487998E+03
  2.2000000E+03  3.4651997E+03  3.3529524E+03  3.3489067E+03  3.3488047E+03  3.3488030E+03  3.3488022E+03  3.3488020E+03  3.3488018E+03  3.3488018E+03  3.3487998E+03  3.3487998E+03
  2.3000000E+03  3.8397593E+03  3.4696145E+03  3.4493853E+03  3.4488252E+03  3.4488120E+03  3.4488076E+03  3.4488057E+03  3.4488044E+03  3.4488037E+03  3.4488032E+03  3.4487998E+03
  2.4000000E+03  4.4830571E+03  3.6409556E+03  3.5519343E+03  3.5489294E+03  3.5488462E+03  3.5488235E+03  3.5488147E+03  3.5488105E+03  3.5488083E+03  3.5488081E+03  3.5487998E+03
  2.5000000E+03  5.2322031E+03  3.9742212E+03  3.6647266E+03  3.6494573E+03  3.6489751E+03  3.6488723E+03  3.6488389E+03  3.6488250E+03  3.6488184E+03  3.6488137E+03  3.6488120E+03
  2.8000000E+03  6.4761479E+03  5.9669829E+03  4.6733525E+03  4.0165083E+03  3.9579629E+03  3.9508611E+03  3.9494976E+03  3.9491123E+03  3.9489722E+03  3.9489087E+03  3.9488760E+03
  3.0000000E+03  6.7868511E+03  6.6607402E+03  6.0925293E+03  4.8197827E+03  4.2591157E+03  4.1676167E+03  4.1535503E+03  4.1504785E+03  4.1495659E+03  4.1492144E+03  4.1490532E+03
  3.2000000E+03  7.0244517E+03  6.9850713E+03  6.8428701E+03  6.2411650E+03  5.1168882E+03  4.5035996E+03  4.3806694E+03  4.3577983E+03  4.3522051E+03  4.3503833E+03  4.3496577E+03
  3.5000000E+03  7.3590576E+03  7.3381938E+03  7.3089453E+03  7.2308564E+03  6.9478857E+03  6.0773701E+03  5.0967217E+03  4.7568828E+03  4.6805669E+03  4.6606025E+03  4.6540967E+03
  3.7500000E+03  7.6352637E+03  7.6157788E+03  7.5952964E+03  7.5688833E+03  7.5144360E+03  7.3130835E+03  6.6217866E+03  5.5846582E+03  5.0957695E+03  4.9613960E+03  4.9229292E+03
  4.0000000E+03  7.9112446E+03  7.8919229E+03  7.8724829E+03  7.8523379E+03  7.8288145E+03  7.7802056E+03  7.6267476E+03  7.0989546E+03  6.1056543E+03  5.4671445E+03  5.2580342E+03
  4.2500000E+03  8.1871982E+03  8.1678955E+03  8.1485796E+03  8.1291797E+03  8.1093784E+03  8.0805859E+03  8.0292510E+03  7.9135718E+03  7.5475337E+03  6.6335142E+03  5.8693574E+03
  4.5000000E+03  8.4631484E+03  8.4438496E+03  8.4245469E+03  8.4052354E+03  8.3858750E+03  8.3594570E+03  8.3210127E+03  8.2740918E+03  8.2200869E+03  7.9519995E+03  7.1517974E+03
  4.7500000E+03  8.7390986E+03  8.7197988E+03  8.7004990E+03  8.6811973E+03  8.6618906E+03  8.6357529E+03  8.5988457E+03  8.5604453E+03  8.5538623E+03  8.5165410E+03  8.3219893E+03
  5.0000000E+03  9.0150488E+03  8.9957490E+03  8.9764492E+03  8.9571494E+03  8.9378486E+03  8.9117451E+03  8.8750195E+03  8.8376338E+03  8.8368516E+03  8.8323379E+03  8.8063828E+03
  5.2500000E+03  9.2909990E+03  9.2716992E+03  9.2523994E+03  9.2330996E+03  9.2137998E+03  9.1877002E+03  9.1509971E+03  9.1137305E+03  9.1136377E+03  9.1131016E+03  9.1099814E+03
  5.5000000E+03  9.5669492E+03  9.5476494E+03  9.5283496E+03  9.5090498E+03  9.4897500E+03  9.4636504E+03  9.4269502E+03  9.3896982E+03  9.3896875E+03  9.3896230E+03  9.3892529E+03
  5.7500000E+03  9.8428994E+03  9.8235996E+03  9.8042998E+03  9.7850000E+03  9.7657002E+03  9.7396006E+03  9.7029004E+03  9.6656504E+03  9.6656484E+03  9.6656416E+03  9.6655977E+03
  6.0000000E+03  1.0118850E+04  1.0099550E+04  1.0080250E+04  1.0060950E+04  1.0041650E+04  1.0015551E+04  9.9788506E+03  9.9416006E+03  9.9416006E+03  9.9415996E+03  9.9415947E+03
